id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"ccsp-014","1","","","1.11","Y","software","software|development|activities|threat|modeling|coding","","","39","","5","A SaaS provider is mapping out a structured set of secure development activities"
"ccsp-015","1","","","1.08","Y","proprietary","proprietary","","","38","","5","A cloud customer wants assurance that, if its provider ceases operations or it m"
"ccsp-012","1","","","1.07","Y","decrypt","decrypt","","","37","","5","A regulated firm must encrypt cloud-stored data but, for compliance reasons, mus"
"ccsp-011","1","","","1.04","Y","visibility","visibility|users","","","45","","5","An organization wants to enforce consistent visibility and security policy — inc"
"ccsp-013","1","","","1.02","Y","destroy","destroy","","","37","","5","A cloud customer must permanently and verifiably render sensitive data unrecover"
"ccsp-001","1","","Y","0.71","","","","","","28","","4","A company migrates its email and collaboration workloads to a SaaS platform. Und"
"ccsp-003","1","","Y","0.71","","","","","","26","","4","At which phase of the cloud data lifecycle should data be classified and assigne"
"ccsp-005","1","","Y","0.69","","","","","","34","","5","An attacker exploits a flaw in the virtualization layer to break out of a guest "
"ccsp-002","1","","","0.66","Y","self-service","self-service","","","31","","4","A finance team provisions additional virtual machines through a self-service por"
"ccsp-008","1","","Y","0.55","","","","","","27","","5","An operations team builds every new cloud server from a hardened image that disa"
"ccsp-004","0","","","1.02","","","","","","29","","5","A retailer wants its cloud application database to stop holding actual primary a"
"ccsp-007","0","","","1.01","","","","","","27","","5","A SaaS provider wants enterprise customers' employees to sign in with their exis"
"ccsp-010","0","","","1","","","","","","29","","4","After analysis, a cloud customer decides not to launch a planned analytics featu"
"ccsp-016","0","","","0.97","","","","","","37","","5","A cloud operations team formalizes its IT service management so that proposed in"
"ccsp-006","0","","","0.71","","","","","","24","","5","Which cloud infrastructure component warrants the strictest access controls beca"
"ccsp-009","0","","","0.71","","","","","","35","","5","An enterprise wants an independent, NDA-restricted report describing both the de"
