id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"mdb-013","2","Y","","1.57","Y","majority","majority|client|session","","","37","","4","An application must read its own writes immediately after acknowledgement, even "
"mdb-011","2","Y","","1.44","Y","comment","comment|already","","","36","","4","A collection stores blog posts with an embedded `comments` array. A feature must"
"mdb-014","2","Y","","1.42","Y","products","products","","","28","","4","A `$lookup` joins `orders` to `products` on `productId`. The join is slow. Profi"
"mdb-018","2","Y","","1.35","Y","transaction","transaction|transienttransactionerror","","","18","","4","A multi-document transaction updates two collections. During commit the driver r"
"mdb-009","2","Y","","1.3","Y","majority","majority|writes","","","44","","3","An analytics service running against a three-node replica set issues a read with"
"mdb-008","2","Y","","1.26","Y","majority","majority","","","18","","3","An application writes a payment record with `{ writeConcern: { w: ""majority"" } }"
"mdb-007","2","","Y","0.62","Y","post","post","","","35","","3","Designing a schema for blog posts where every post has 5–20 short comments, comm"
"mdb-021","1","Y","","1.65","","","","","","41","","4","A query `db.events.find({ ts: { $gte: start, $lt: end } }).sort({ ts: -1 }).limi"
"mdb-019","1","Y","","1.5","","","","","","24","","4","An index `{ name: 1, email: 1 }` exists. A query does `db.users.find({ email: ""a"
"mdb-006","1","Y","","1.35","","","","","","33","","3","A query is `db.users.find({ email: ""a@b.com"" }, { _id: 0, email: 1, name: 1 })`."
"mdb-015","1","Y","","1.32","","","","","","38","","4","A team debates embedding order line-items versus referencing them in a separate "
"mdb-022","1","Y","","1.27","","","","","","39","","4","A schema stores a user's country as a string, but analytics queries frequently f"
"mdb-010","1","","","1.1","Y","operations","operations","","","36","","3","A booking app must debit `accounts` and insert into `ledger` atomically — either"
"mdb-002","0","","","1.15","","","","","","34","","3","A developer wants to set `status: ""paid""` and increment `paymentCount` by 1 on t"
"mdb-017","0","","","1.04","","","","","","30","","4","A pipeline needs to compute, per product category, the average price and a count"
"mdb-016","0","","","1.03","","","","","","29","","4","Which update correctly increments a document's `views` field by 1 and sets `last"
"mdb-003","0","","","1","","","","","","28","","3","Given `orders` documents like `{ customerId, total, status }`, which aggregation"
"mdb-004","0","","","0.99","","","","","","34","","3","An aggregation over `orders` needs to attach the matching `customers` document f"
"mdb-005","0","","","0.96","","","","","","30","","3","A reporting query filters orders by `region` (equality), then by `createdAt` (ra"
"mdb-012","0","","","0.96","","","","","","26","","4","Given a query `db.users.find({ status: ""active"", age: { $gt: 30 } }).sort({ age:"
"mdb-020","0","","","0.88","","","","","","34","","4","A profile API endpoint must return each user document with only the `name` and `"
"mdb-001","0","","","0.87","","","","","","32","","3","A Node.js service needs every document in the `orders` collection whose `total` "
