id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"scs-002","2","Y","1.3","Y","entity","entity","","46","","5","A security engineer needs to investigate a potential security incident involving"
"scs-008","2","Y","1.29","Y","port","port","","39","","5","A security engineer wants to detect when any VPC security group is modified to a"
"scs-037","2","Y","1.28","Y","microsoft","microsoft","","42","","5","A company wants to centrally manage access to all AWS accounts for 500 employees"
"scs-025","2","Y","1.26","Y","countries","countries","","45","","5","A company has deployed an Application Load Balancer accessible from the internet"
"scs-023","2","Y","1.25","Y","appliances","appliances|inline","","38","","5","A security architect needs to deploy an inline network security inspection layer"
"scs-016","2","Y","1.23","Y","sso","sso","","31","","5","An organization uses AWS IAM Identity Center (SSO) with their Active Directory a"
"scs-022","2","Y","1.23","Y","high","high|deployment","","34","","5","A company needs to scan all Docker images pushed to Amazon ECR for known CVEs be"
"scs-041","2","Y","1.22","Y","ssn","ssn|dob|stores","","36","","5","A company stores sensitive PII in DynamoDB. The legal team requires that specifi"
"scs-048","2","Y","1.22","Y","continuously","continuously","","34","","5","A company's security team wants to identify all IAM roles, S3 buckets, and Lambd"
"scs-001","2","Y","1.21","Y","quarantine","quarantine","","39","","5","GuardDuty generates a finding 'Recon:EC2/PortProbeUnprotectedPort' for multiple "
"scs-007","2","Y","1.18","Y","sql","sql|lake|months","","32","","5","A security engineer needs to query 18 months of CloudTrail history using SQL to "
"scs-014","2","Y","1.18","Y","auditors","auditors","","33","","5","A company needs to grant a third-party auditing firm temporary read-only access "
"scs-039","2","Y","1.18","Y","ddos","ddos","","39","","5","A company runs a web application on EC2 instances behind an ALB. AWS Shield Adva"
"scs-051","2","Y","1.15","Y","days","days","","39","","4","A company's security audit finds that IAM users have more permissions than they "
"scs-032","1","Y","1.32","","","","","39","","5","A company's security team receives a notification from AWS Abuse that an EC2 ins"
"scs-046","1","Y","1.32","","","","","36","","5","A company has a Lambda function that needs to access a Secrets Manager secret. T"
"scs-033","1","Y","1.29","","","","","49","","5","Amazon Macie is enabled on an S3 bucket containing employee records. Macie gener"
"scs-004","1","Y","1.28","","","","","38","","5","A security team receives a GuardDuty finding 'UnauthorizedAccess:IAMUser/Console"
"scs-006","1","Y","1.26","","","","","43","","5","A CloudTrail data event is required to log all S3 GetObject API calls on a speci"
"scs-019","1","Y","1.26","","","","","36","","5","A company needs to manage TLS certificates for 200 internal microservices using "
"scs-034","1","Y","1.26","","","","","28","","5","A company's developer accidentally committed AWS access keys to a public GitHub "
"scs-045","1","Y","1.26","","","","","39","","5","Security Hub is enabled with the AWS Foundational Security Best Practices (FSBP)"
"scs-011","1","Y","1.25","","","","","39","","5","A company wants to restrict all AWS API calls to originate only from the company"
"scs-027","1","Y","1.25","","","","","35","","5","A security engineer finds that an EC2 instance in a public subnet is sending lar"
"scs-024","1","Y","1.24","","","","","41","","5","An EC2 instance in a private subnet needs to access the S3 service API without t"
"scs-018","1","Y","1.23","","","","","37","","5","A security engineer needs to ensure all data stored in an S3 bucket is encrypted"
"scs-017","1","Y","1.16","","","","","37","","5","A company's S3 bucket stores confidential financial records. The security team r"
"scs-010","1","","1.15","Y","evidence","evidence","","40","","5","A security engineer needs to prove to auditors that their AWS environment meets "
"scs-021","1","","1.13","Y","mysql","mysql","","34","","5","A company requires that an RDS MySQL database connection uses TLS and that the c"
"scs-035","1","","1.12","Y","existing","existing","","35","","5","A company must ensure that all EBS volumes attached to EC2 instances are encrypt"
"scs-055","1","","1.12","Y","days","days","","52","","5","A company deploys Lambda functions using infrastructure-as-code. Security policy"
"scs-009","1","","1.11","Y","auto-remediation","auto-remediation","","33","","5","AWS Config detects that an EC2 instance is using an unapproved AMI. The security"
"scs-015","1","","1.11","Y","block","block|environment","","40","","5","A security engineer needs to create an IAM policy that allows EC2 instance start"
"scs-050","1","","1.11","Y","cognito","cognito","","41","","5","A company uses Amazon Cognito User Pools for their mobile application authentica"
"scs-026","1","","1.1","Y","firewall","firewall|manager","","35","","5","A company's AWS Firewall Manager administrator needs to enforce WAF rules across"
"scs-049","1","","1.1","Y","getobject","getobject|arn","","48","","5","A developer needs read access to an S3 bucket in Account B from an EC2 instance "
"scs-029","1","","1.09","Y","other","other","","36","","5","A company runs a multi-tier web application. The database tier contains credit c"
"scs-042","1","","1.09","Y","effective","effective","","34","","5","A permission boundary is attached to an IAM role. The role's identity-based poli"
"scs-040","1","","1.02","Y","control","control","","38","","5","A company has multiple AWS accounts managed under AWS Organizations. The securit"
"scs-003","1","","0.99","Y","shield","shield|ddos|protection|drt","","50","","5","A company is experiencing a suspected DDoS attack targeting its web application "
