id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"juniper-jncia-junos-008","2","Y","","1.75","Y","routes","routes","","","24","","4","Which Junos OS service is described as a protocol-independent property — meaning"
"juniper-jncia-junos-005","1","Y","","1.62","","","","","","22","","4","On a Juniper MX router an interface is shown as `ge-0/2/3.0`. What does the `.0`"
"juniper-jncia-junos-001","1","Y","","1.53","","","","","","22","","4","Which two software components of the Junos OS architecture are separated to ensu"
"juniper-jncia-junos-011","1","Y","","1.35","","","","","","21","","4","How many forwarding classes does Junos OS support by default, and what is each o"
"juniper-jncia-junos-016","1","Y","","1.3","","","","","","18","","3","Which command creates a static default route in Junos that sends all unmatched t"
"juniper-jncia-junos-003","1","Y","","1.19","","","","","","21","","4","Which Junos command applies the staged candidate configuration but reverts it au"
"juniper-jncia-junos-002","1","","","1.13","Y","yet","yet","","","24","","4","You have typed several `set` statements while in configuration mode but have not"
"juniper-jncia-junos-007","1","","","1.11","","","","","Y","11","","4","Which statement best describes a stateless firewall filter in Junos OS?"
"juniper-jncia-junos-019","1","","","1","","","","","Y","17","","3","In the output of `show route`, what does an asterisk (*) next to a route entry i"
"juniper-jncia-junos-017","1","","","0.95","Y","preference","preference","","","30","","3","A Junos router learns the prefix 172.16.0.0/16 from a static route, from OSPF in"
"juniper-jncia-junos-006","1","","","0.93","Y","preference","preference","","","32","","4","A Junos router has learned the same prefix 10.20.0.0/16 from OSPF (route prefere"
"juniper-jncia-junos-009","1","","","0.92","Y","configured","configured","","","20","","4","On a Junos EX Series switch interface configured for trunk mode, which type of f"
"juniper-jncia-junos-022","1","","","0.92","","","","","Y","15","","3","Which command begins the installation of a new Junos OS software package on a de"
"juniper-jncia-junos-013","1","","Y","0.79","","","","","","25","","3","Before activating a staged configuration, you want Junos to validate its syntax "
"juniper-jncia-junos-014","1","","Y","0.62","","","","","","23","","3","While in configuration mode you have staged several changes. Which command shows"
"juniper-jncia-junos-015","1","","Y","0.55","","","","","","31","","3","You are in configuration mode editing an interface and need to check reachabilit"
"juniper-jncia-junos-020","0","","","1.07","","","","","","25","","3","You have a saved configuration file and want to completely replace the candidate"
"juniper-jncia-junos-004","0","","","1.03","","","","","","19","","4","Which Junos login class permission grants full read-write access to every hierar"
"juniper-jncia-junos-021","0","","","1.01","","","","","","19","","3","While typing a command, a Junos operator presses the `?` key after `show interfa"
"juniper-jncia-junos-012","0","","","1","","","","","","25","","4","After committing a configuration that you suspect broke OSPF, which Junos comman"
"juniper-jncia-junos-018","0","","","0.94","","","","","","20","","3","On a Junos router, which type of traffic is processed by the Packet Forwarding E"
"juniper-jncia-junos-010","0","","","0.89","","","","","","20","","4","Which operational-mode command displays a summary of every interface on a Junos "
