id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"sc900-036","2","Y","","1.56","Y","cryptographic","cryptographic|vault|app","","","52","","3","In Azure Key Vault a developer stores a TLS private key and a database connectio"
"sc900-050","2","Y","","1.55","Y","progress","progress","","","22","","3","In Compliance Manager an administrator opens a regulatory template and sees a si"
"sc900-051","2","Y","","1.35","Y","vms","vms","","","19","","4","A company evaluates Azure Bastion for remote access to Azure VMs. Which statemen"
"sc900-022","2","Y","","1.25","Y","customers","customers","","","26","","4","A team builds a consumer-facing mobile app where customers can sign up with thei"
"sc900-052","2","","Y","0.62","Y","trust","trust","","","25","","4","Which security model treats trust as never assumed by default, fully verifies ev"
"sc900-017","1","Y","","1.75","","","","","","28","","4","A team wants Global Administrators to hold elevated rights only when actively wo"
"sc900-060","1","Y","","1.65","","","","","","32","","5","A company must ensure that only devices that are enrolled with the company and m"
"sc900-001","1","Y","","1.44","","","","","","25","","4","Which Zero Trust guiding principle states that access should be granted based on"
"sc900-023","1","Y","","1.42","","","","","","35","","3","A platform team wants one service that continuously benchmarks their Azure and A"
"sc900-038","1","Y","","1.25","","","","","","27","","4","Which Microsoft Sentinel component connects Sentinel to external log sources — E"
"sc900-053","1","Y","","1.25","","","","","","44","","3","A developer registers a new application in Entra ID so it can call Microsoft Gra"
"sc900-019","1","Y","","1.24","","","","","","31","","4","An administrator wants to periodically confirm that users still need their curre"
"sc900-044","1","Y","","1.23","","","","","","27","","4","A security team wants to stop employees from emailing documents that contain pat"
"sc900-007","1","Y","","1.21","","","","","","29","","4","An attacker secretly positions themselves between a user and a banking website a"
"sc900-042","1","Y","","1.2","","","","","","33","","5","A legal team needs to search a specific employee's emails and Teams messages fro"
"sc900-049","1","Y","","1.2","","","","","","28","","4","Microsoft Purview Communication Compliance helps organisations detect messages i"
"sc900-004","1","Y","","1.18","","","","","","19","","5","An organisation encrypts customer data stored in its database. Which property of"
"sc900-057","1","Y","","1.15","","","","","","22","","5","Azure DDoS Protection defends against layer-3/4 network attacks. Which type of a"
"sc900-010","1","","","1.06","Y","password","password","","","25","","4","A user forgets their password and resets it themselves through a web portal with"
"sc900-008","1","","","1","","","","","Y","12","","4","Which scenario describes encryption IN TRANSIT (as opposed to encryption at rest"
"sc900-033","1","","","0.95","Y","ddos","ddos","","","29","","4","A company is concerned about large volumetric attacks (UDP floods, DNS amplifica"
