id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"dp-600-016","2","Y","","1.34","Y","directquery","directquery","","","32","","3","A Direct Lake semantic model sometimes answers queries much slower than usual, a"
"dp-600-008","2","Y","","1.24","Y","during","during","","","42","","4","A semantic model in Direct Lake mode is consumed by a high-concurrency Power BI "
"dp-600-018","2","Y","","1.2","Y","connect","connect","","","29","","3","A modeler wants to manage a Fabric semantic model with Tabular Editor and run DA"
"dp-600-012","1","Y","","1.65","","","","","","34","","4","Governance requires that sensitive financial reports built in Fabric inherit the"
"dp-600-010","1","Y","","1.62","","","","","","36","","4","An analytics engineer needs to identify which DAX measure is causing a slow Powe"
"dp-600-003","1","Y","","1.59","","","","","","55","","4","An analytics engineer needs to enforce that sales managers only see rows for the"
"dp-600-005","1","Y","","1.29","","","","","","35","","4","A measure must return year-to-date Sales for the currently selected period in a "
"dp-600-006","1","Y","","1.28","","","","","","46","","4","A Dataflow Gen2 cleans and joins multiple CSV files in ADLS Gen2, then publishes"
"dp-600-022","1","","","1.18","Y","recent","recent","","","29","","3","A Dataflow Gen2 ingests a large transactional table daily, but reprocessing all "
"dp-600-004","1","Y","","1.16","","","","","","44","","4","A workspace administrator wants developers to author semantic models and reports"
"dp-600-011","1","","","1.05","Y","calculation","calculation","","","45","","4","A semantic model defines 18 separate time-intelligence measures (MTD, QTD, YTD, "
"dp-600-009","1","","","1.04","Y","kql","kql","","","44","","4","A team must analyze high-volume IoT telemetry arriving from Event Hubs with sub-"
"dp-600-020","1","","","1.04","Y","rls","rls","","","32","","3","What is the recommended practice regarding the DEFAULT semantic model that Fabri"
"dp-600-015","1","","","0.96","Y","rules","rules","","","28","","3","Fabric content must flow Dev → Test → Prod with controlled promotion, environmen"
"dp-600-014","1","","","0.92","Y","adls","adls","","","37","","3","Curated Delta tables already exist in an ADLS Gen2 account owned by another plat"
"dp-600-001","1","","Y","0.78","","","","","","39","","4","An analytics engineer must build a Power BI semantic model in Microsoft Fabric t"
"dp-600-019","0","","","1.01","","","","","","29","","3","In a Fabric notebook, transformed Spark DataFrame results must land in the lakeh"
"dp-600-013","0","","","0.99","","","","","","32","","3","In Microsoft Fabric, one team's engineers transform data with Spark notebooks wh"
"dp-600-017","0","","","0.95","","","","","","25","","3","An analytics team wants its Fabric workspace items version-controlled: commits o"
"dp-600-021","0","","","0.94","","","","","","30","","3","An analyst on the warehouse needs to join a warehouse table to a table that live"
"dp-600-007","0","","","0.92","","","","","","39","","4","An analytics engineer needs to query a Fabric semantic model from a Python noteb"
"dp-600-002","0","","","0.88","","","","","","42","","4","A team manages curated tables in an Azure SQL Database that must be queried from"
