id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"databricks-de-assoc-010","2","Y","","1.83","Y","merge","merge","","","37","","4","A daily upsert job must merge a CDC source into the `customers` Delta table: ins"
"databricks-de-assoc-018","2","Y","","1.72","Y","read","read","","","36","","4","A downstream report accidentally read a Delta table after a bad batch overwrote "
"databricks-de-assoc-022","2","Y","","1.64","Y","auto","auto|loader","","","38","","4","A raw JSON source has an evolving schema — new fields appear over time. An Auto "
"databricks-de-assoc-014","2","Y","","1.5","Y","violation","violation","","","30","","4","A Delta Live Tables pipeline defines a table with an expectation `CONSTRAINT val"
"databricks-de-assoc-002","2","Y","","1.46","Y","workflow","workflow","","","29","","4","An engineer is choosing the cluster type for a nightly transformation pipeline t"
"databricks-de-assoc-016","2","Y","","1.29","Y","depend","depend|parallel","","","36","","4","A job must run three notebooks where task B and task C both depend on task A, an"
"databricks-de-assoc-003","2","Y","","1.22","Y","evolution","evolution","","","38","","4","An ingestion pipeline must continuously load many small JSON files dropped into "
"databricks-de-assoc-011","2","Y","","1.2","Y","workflow","workflow","","","32","","4","A multi-step Databricks Workflow needs Task B to run only after Task A succeeds,"
"databricks-de-assoc-012","1","Y","","2.11","","","","","","39","","4","A data engineer must let the `bi_team` group read every current and future table"
"databricks-de-assoc-019","1","Y","","1.88","","","","","","38","","4","In Unity Catalog, an analyst can query a table through a SQL warehouse but gets "
"databricks-de-assoc-021","1","Y","","1.74","","","","","","32","","4","A team wants a lightweight, metadata-only copy of a large Delta table for a shor"
"databricks-de-assoc-020","1","Y","","1.64","","","","","","36","","4","A streaming query reads from a Delta table and writes to another with a checkpoi"
"databricks-de-assoc-017","1","Y","","1.54","","","","","","34","","4","A team needs an interactive cluster for exploratory notebook work by several ana"
"databricks-de-assoc-015","1","Y","","1.53","","","","","","31","","4","After many small MERGE operations, a Delta table has thousands of tiny files and"
"databricks-de-assoc-009","1","Y","","1.51","","","","","","25","","4","After a large DELETE, an engineer runs `VACUUM sales RETAIN 0 HOURS` to immediat"
"databricks-de-assoc-013","1","Y","","1.5","","","","","","29","","4","A Delta table receives a daily CDC feed with inserts, updates, and deletes keyed"
"databricks-de-assoc-001","1","Y","","1.38","","","","","","39","","4","A team migrating from raw Parquet files in S3 to Databricks Delta Lake wants to "
"databricks-de-assoc-007","1","Y","","1.27","","","","","","46","","4","Business analysts query Delta tables from Power BI dashboards backed by Databric"
"databricks-de-assoc-004","0","","","1.11","","","","","","35","","3","Inside a Delta Live Tables pipeline written in SQL, a developer must declare a t"
"databricks-de-assoc-005","0","","","1.05","","","","","","41","","3","A nightly job accidentally overwrote the `sales` Delta table at 03:00 UTC with b"
"databricks-de-assoc-008","0","","","0.98","","","","","","36","","4","An engineer wants a full, independent point-in-time copy of a Delta table at a n"
"databricks-de-assoc-006","0","","","0.97","","","","","","23","","3","A team is creating tables in a Unity-Catalog-enabled workspace. How many object "
