id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"dva-009","1","","","1.05","Y","locally","locally","","","43","","5","A developer is building a serverless application with AWS SAM. The template defi"
"dva-014","1","","","1.05","Y","parallel","parallel","","","48","","5","A developer needs to implement a workflow where Step A must complete before Step"
"dva-025","1","","","1.05","Y","proxy","proxy","","","35","","5","A developer builds an API Gateway REST API with Lambda proxy integration. The fr"
"dva-017","1","","","1.04","Y","role","role","","","28","","5","A developer needs to call an AWS Lambda function in Account B from Account A. Th"
"dva-033","1","","","1.04","Y","attribute","attribute","","","39","","5","A developer needs to query items from a DynamoDB table where items may NOT have "
"dva-042","1","","","1.04","Y","instance","instance|general1","","","28","","5","A developer's CodeBuild project fails with 'BUILD_GENERAL1_SMALL instance does n"
"dva-046","1","","","1.04","Y","visibility","visibility|timeout","","","41","","5","A Lambda function processes messages from an SQS queue. During testing, the deve"
"dva-051","1","","","1.04","Y","beanstalk","beanstalk|stages","","","34","","6","A developer needs to build a CI/CD pipeline where source code in CodeCommit trig"
"dva-056","1","","","1.04","Y","transform","transform|deploy","","","46","","5","A developer writes a SAM template that defines a Lambda function with an API eve"
"dva-044","1","","","1.03","Y","define","define|infrastructure","","","33","","5","A developer is using the AWS CDK (Cloud Development Kit) to define infrastructur"
"dva-018","1","","","1.02","Y","records","records","","","41","","5","An application uses Lambda and DynamoDB Streams. The Lambda function processes s"
"dva-020","1","","","1.02","Y","dependencies","dependencies","","","36","","5","A developer has multiple Lambda functions that all share the same custom logging"
"dva-003","1","","","1.01","Y","cache","cache","","","30","","4","A developer needs to expose a REST API that invokes Lambda functions. The API mu"
"dva-007","1","","","1.01","Y","write","write","","","32","","5","A developer uses DynamoDB and needs to implement optimistic locking to prevent a"
"dva-015","1","","","1.01","Y","generate","generate|url|credentials","","","33","","4","A developer stores user-uploaded files in S3. The application must generate a do"
"dva-030","1","","","1.01","Y","prod","prod|alias","","","41","","6","A developer deploys a new Lambda function version and creates an alias `prod` po"
"dva-031","1","","","1.01","Y","preview","preview","","","40","","5","A developer uses CloudFormation to manage infrastructure. A stack update causes "
"dva-038","1","","","1.01","Y","metric","metric","","","38","","5","A developer wants to monitor the number of orders processed per minute by a Lamb"
"dva-050","1","","","1.01","Y","imports","imports","","","47","","5","A developer writes a CloudFormation template that creates an S3 bucket and expor"
"dva-005","1","","","1","Y","sorted","sorted|date","","","40","","5","A developer is designing a DynamoDB schema for an e-commerce application. Each o"
"dva-012","1","","","1","Y","concurrency","concurrency","","","26","","5","A developer uses Lambda with a provisioned concurrency of 100. During a traffic "
"dva-041","1","","","1","Y","dek","dek|data","","","37","","5","A developer wants to implement envelope encryption for sensitive data stored in "
"dva-052","1","","","1","Y","records","records","","","35","","6","A developer adds an SQS event source mapping to a Lambda function. Messages cont"
"dva-057","1","","","1","Y","x-ray","x-ray","","","34","","6","A developer migrates an existing application to use AWS SDK v3 (JavaScript/TypeS"
