id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"devnet-012","2","Y","","1.56","Y","controller","controller","","","33","","3","In a Cisco ACI fabric, which controller exposes the northbound REST API that dev"
"devnet-011","2","Y","","1.39","Y","bot","bot|webex","","","36","","3","You are building a Webex chatbot that must reply in any space it is added to. Wh"
"devnet-008","2","Y","","1.21","Y","room","room","","","42","","3","An app currently polls a Webex REST endpoint every 5 seconds to learn when new m"
"devnet-017","2","","","1.06","Y","integration","integration","","Y","11","","3","In a CI/CD pipeline, what characterizes the CONTINUOUS INTEGRATION stage specifi"
"devnet-010","1","Y","","1.36","","","","","","33","","3","An Ansible playbook with the task `ios_config: lines: ['ntp server 10.0.0.1']` i"
"devnet-007","1","Y","","1.31","","","","","","26","","3","A developer runs `docker build -t myapp:1.0 .` followed by `docker run -d myapp:"
"devnet-009","1","","","1.11","Y","config","config","","","35","","3","While reviewing a containerised microservice against the Twelve-Factor App metho"
"devnet-002","1","","","1.1","Y","grant","grant|access","","","38","","3","You are integrating a third-party application with the Webex REST API on behalf "
"devnet-004","1","","","1.01","Y","top","top","","","52","","3","Two developers have been working on parallel feature branches. Before merging in"
"devnet-019","1","","","1.01","Y","lab","lab","","","36","","3","A developer wants to test scripts against a real Cisco DNA Center and IOS XE dev"
"devnet-016","1","","","1","Y","source","source","","","22","","3","A reviewer rejects a pull request because the script contains `API_KEY = ""a91xZ…"
"devnet-020","1","","","1","","","","","Y","10","","3","How many usable host addresses does the subnet 192.168.10.0/28 provide?"
"devnet-015","1","","","0.99","","","","","Y","7","","3","Which statement correctly contrasts RESTCONF with NETCONF?"
"devnet-021","1","","Y","0.66","","","","","","31","","3","A Python script must stop with a clear error when an API call fails, instead of "
"devnet-001","0","","","1.13","","","","","","33","","3","A developer issues a POST to `/api/v1/devices` and the server creates the new de"
"devnet-005","0","","","1.11","","","","","","30","","3","A script that pulls clients from the Meraki Dashboard API receives an HTTP 200 w"
"devnet-018","0","","","1.1","","","","","","18","","3","Which snippet is valid YAML for a list of two interfaces, each with a name and a"
"devnet-006","0","","","1.01","","","","","","30","","3","Your team needs a single controller that provides intent-based, automated provis"
"devnet-014","0","","","1","","","","","","23","","3","A request with a valid, unexpired token returns HTTP 403 from one endpoint while"
"devnet-013","0","","","0.99","","","","","","23","","3","A script calling a REST API suddenly receives HTTP 429 responses with a `Retry-A"
"devnet-022","0","","","0.99","","","","","","26","","3","A teammate asks you to copy a repository from GitHub to your laptop so you can w"
"devnet-003","0","","","0.92","","","","","","32","","3","A network engineer wants to programmatically configure an IOS XE device using a "
