id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"pde-014","1","","1.04","Y","attach","attach","","48","","2","A data governance team needs to attach business-context metadata — such as data "
"pde-003","1","","0.99","Y","server","server","","42","","2","A data engineering team needs to migrate 200 TB of historical log files from an "
"pde-048","1","","0.76","Y","dataset","dataset","","45","","2","A BigQuery dataset is accessed by 200 analysts across 5 business units. Each bus"
"pde-019","0","","1.13","","","","","46","","2","A data team stores 500 TB of raw JSON log files in Cloud Storage. The data is ac"
"pde-022","0","","1.13","","","","","43","","2","A Pub/Sub topic receives messages that contain a mix of `order_placed`, `order_s"
"pde-018","0","","1.11","","","","","43","","2","A retail company ingests product catalog data from an on-premises Oracle databas"
"pde-002","0","","1.1","","","","","47","","2","A streaming pipeline built on Dataflow ingests IoT sensor readings from 10,000 d"
"pde-040","0","","1.08","","","","","39","","2","A team maintains a Cloud Spanner database for a global inventory management syst"
"pde-028","0","","1.07","","","","","50","","2","A BigQuery dataset contains a column `annual_income` with numeric salary values."
"pde-009","0","","1.06","","","","","56","","2","A startup ingests clickstream events into Pub/Sub and processes them with a Data"
"pde-025","0","","1.06","","","","","43","","2","A BigQuery table named `events` is partitioned by `event_date` and has 3 years o"
"pde-042","0","","1.04","","","","","44","","2","A data engineering team needs to run a short-lived Spark job to process a daily "
"pde-024","0","","1.03","","","","","43","","2","A fraud detection model deployed on Vertex AI Prediction needs to be retrained w"
"pde-047","0","","1.03","","","","","47","","2","A company is designing a Cloud Spanner schema for a multi-tenant SaaS applicatio"
"pde-012","0","","1.01","","","","","44","","2","A financial company needs to train a regression model to predict loan default pr"
"pde-035","0","","1.01","","","","","39","","2","A streaming Dataflow pipeline reads sensor telemetry from Pub/Sub. A downstream "
"pde-008","0","","0.99","","","","","40","","2","A company stores raw event logs in a BigQuery table partitioned by `event_date`."
"pde-058","0","","0.99","","","","","53","","2","A data team uses Dataplex to manage a multi-zone data lake. They need to ensure "
"pde-033","0","","0.96","","","","","40","","2","A retail company wants to predict customer churn using 20 features from BigQuery"
"pde-034","0","","0.96","","","","","43","","2","A company stores 10 years of financial transaction data in BigQuery. The complia"
"pde-041","0","","0.96","","","","","53","","2","A BigQuery table has 2 TB of data partitioned by `created_date`. A data engineer"
"pde-054","0","","0.96","","","","","43","","2","A company stores 50 TB of Parquet files in Cloud Storage. They want data analyst"
"pde-006","0","","0.94","","","","","46","","2","A data platform team wants to enforce data quality rules across raw and curated "
"pde-059","0","","0.94","","","","","54","","2","A company runs a Cloud Composer pipeline that ingests data from 50 different sou"
"pde-023","0","","0.93","","","","","42","","2","A data platform team has a Bigtable cluster serving read-heavy workloads for a g"
"pde-030","0","","0.88","","","","","40","","2","A data science team trains a TensorFlow model on Vertex AI custom training. Afte"
"pde-037","0","","0.83","","","","","35","","2","A company runs multiple Cloud Composer environments across 3 GCP projects. They "
"pde-021","0","","0.8","","","","","49","","2","A machine learning team needs to share engineered features — such as user purcha"
"pde-015","0","","0.75","","","","","38","","2","A data engineering team runs large Apache Spark ETL jobs on Dataproc. The jobs r"
"pde-038","0","","0.74","","","","","39","","2","A data engineering team uses Dataplex to organize their Cloud Storage data lake."
"pde-057","0","","0.61","","","","","60","","2","A data science team at a pharmaceutical company needs to train a model on clinic"
"pde-020","0","","0.6","","","","","46","","2","A company's BigQuery analytics workload has unpredictable query volume — some da"
"pde-031","0","","0.59","","","","","30","","2","A gaming company stores player leaderboard data in Bigtable. A single global lea"
"pde-045","0","","0.56","","","","","51","","2","A Cloud Composer DAG orchestrates a multi-step ETL pipeline. One step calls an e"
"pde-050","0","","0.56","","","","","48","","2","A BigQuery project runs thousands of queries per day. The data engineering team "
"pde-055","0","","0.53","","","","","49","","2","A data engineer needs to build a pipeline that reads raw user events from Cloud "
"pde-007","0","","0.52","","","","","44","","2","An e-commerce company's Dataflow streaming pipeline processes order events from "
"pde-052","0","","0.51","","","","","46","","2","A data team is building a Vertex AI ML pipeline that trains a model on Vertex AI"
"pde-043","0","","0.5","","","","","49","","2","A company has a Pub/Sub subscription that feeds a Dataflow pipeline. During a de"
"pde-046","0","","0.5","","","","","55","","2","A company wants to build a real-time analytics dashboard showing aggregated sale"
"pde-017","0","","0.48","","","","","54","","2","A telecom company needs to detect anomalous call patterns in real time. Their Da"
"pde-039","0","","0.48","","","","","44","","2","A company needs to build a data pipeline that reads from a legacy Hadoop HDFS cl"
"pde-049","0","","0.48","","","","","54","","2","A Dataflow streaming pipeline processes payment transactions and emits fraud ale"
"pde-056","0","","0.48","","","","","50","","2","A company is migrating a MySQL database with 5 TB of data to Cloud SQL. The migr"
"pde-005","0","","0.46","","","","","42","","2","A healthcare company needs to load 10 years of patient visit records stored as A"
"pde-010","0","","0.45","","","","","39","","2","A logistics company needs to replicate ongoing changes from a PostgreSQL databas"
"pde-026","0","","0.45","","","","","47","","2","A company wants to understand which customer data fields in their BigQuery table"
