id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"aws-dea-c01-014","1","","1.11","Y","discover","discover|classify|sensitive","","36","","4","A data lake on S3 contains personally identifiable information. The governance t"
"aws-dea-c01-012","1","","1.09","Y","capture","capture|mysql","","40","","4","A team must capture every row-level INSERT, UPDATE, and DELETE from an Amazon RD"
"aws-dea-c01-015","1","","1.05","Y","lookup","lookup|executor","","32","","5","An Apache Spark job on Amazon EMR repeatedly fails with executor out-of-memory e"
"aws-dea-c01-004","1","","1.02","Y","class","class","","38","","4","Regulatory archives must remain on Amazon S3 for seven years, are accessed less "
"aws-dea-c01-009","1","","1.02","Y","formation","formation|permissions","","32","","4","An analytics account needs to query specific AWS Glue Data Catalog tables that l"
"aws-dea-c01-010","1","","1.02","Y","object","object","","30","","4","An Amazon S3 bucket using SSE-KMS for billions of small object writes is incurri"
"aws-dea-c01-005","1","","0.99","Y","customer","customer","","27","","4","A Redshift fact table with billions of rows is joined daily to a 50-million-row "
"aws-dea-c01-011","1","","0.98","Y","output","output","","40","","4","A daily Glue ETL job writes its output to S3 as thousands of small files, and do"
"aws-dea-c01-016","1","","0.97","Y","enrich","enrich","","36","","4","A near-real-time pipeline ingests events with Amazon Data Firehose and must enri"
"aws-dea-c01-008","1","","0.96","Y","python","python","","32","","4","A pipeline must run nightly with up to fifty interdependent Python tasks, retry "
"aws-dea-c01-006","0","","1.03","","","","","32","","4","A DynamoDB table keyed on date_only (YYYY-MM-DD) throttles heavily on writes eac"
"aws-dea-c01-013","0","","1.02","","","","","30","","4","An analytics team wants to load query results from Amazon S3 into Amazon Redshif"
"aws-dea-c01-002","0","","1","","","","","36","","4","An AWS Glue Spark job reads daily files from an S3 prefix and must process only "
"aws-dea-c01-003","0","","1","","","","","27","","4","A Kinesis Data Streams application must keep events for the same user_id strictl"
"aws-dea-c01-007","0","","1","","","","","35","","4","An Athena workload scans a JSON dataset partitioned by event_date and is both sl"
"aws-dea-c01-001","0","","0.99","","","","","36","","4","A team must continuously deliver clickstream events to Amazon S3 in Apache Parqu"
