id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"cka-038","2","Y","","1.34","Y","mount","mount","","","25","","4","You need to mount a Secret as a volume in a pod so the application can read secr"
"cka-044","2","Y","","1.34","Y","nfs","nfs","","","34","","5","You run `kubectl get events -n production --sort-by=.lastTimestamp` and see repe"
"cka-045","2","Y","","1.32","Y","termination","termination","","","30","","4","A Deployment rolling update is stuck. `kubectl rollout status deployment/api` ha"
"cka-006","2","Y","","1.3","Y","serviceaccount","serviceaccount","","","26","","4","You need to grant a ServiceAccount named 'deploy-bot' in the 'ci' namespace read"
"cka-013","2","Y","","1.28","Y","manifest","manifest|placed","","","25","","4","A static pod manifest placed in /etc/kubernetes/manifests/ is not starting. The "
"cka-028","2","Y","","1.24","Y","empty","empty|policytypes","","","39","","4","A NetworkPolicy is applied to pods labeled `app=api`. After applying it, the API"
"cka-035","2","Y","","1.21","Y","access","access|mode","","","27","","5","A PersistentVolume is created with `accessModes: [ReadWriteOnce]` and `capacity:"
"cka-043","2","Y","","1.18","Y","credentials","credentials","","","27","","4","A pod is in ImagePullBackOff trying to pull `registry.company.com/app:v1.2`. The"
"cka-049","1","Y","","1.52","","","","","","34","","3","An admin investigates why kube-controller-manager keeps restarting on a control-"
"cka-016","1","Y","","1.43","","","","","","34","","4","A Deployment named 'web-app' has 5 replicas but only 3 pods are running. `kubect"
"cka-046","1","Y","","1.4","","","","","","27","","4","You need to run a temporary debug container in a running pod `web-pod` to troubl"
"cka-029","1","Y","","1.39","","","","","","22","","5","Pods in namespace `frontend` cannot resolve the DNS name `backend-svc.backend.sv"
"cka-002","1","Y","","1.36","","","","","","27","","4","A worker node needs to join an existing cluster but the bootstrap token has expi"
"cka-019","1","Y","","1.35","","","","","","31","","4","A pod is stuck in `Pending`. `kubectl describe pod my-pod` shows: `Warning Faile"
"cka-060","1","","","1.33","Y","deployments","deployments|list","","","33","","5","You need to quickly test whether a newly created ClusterRole `deployment-viewer`"
"cka-008","1","Y","","1.3","","","","","","26","","4","You need to verify what actions the ServiceAccount 'reporter' in namespace 'moni"
"cka-055","1","Y","","1.26","","","","","","30","","4","A pod has been `Terminating` for 20 minutes and will not fully delete. `kubectl "
"cka-017","1","","","1.25","Y","node-role","node-role|noschedule","","","27","","4","You need a DaemonSet to run on every node including control plane nodes, which c"
"cka-023","1","Y","","1.25","","","","","","25","","4","You want to prevent a specific pod from being co-located on the same node as any"
"cka-001","1","Y","","1.23","","","","","","31","","4","You are initializing a new Kubernetes control plane with kubeadm. You want the A"
"cka-020","1","Y","","1.23","","","","","","29","","4","You want a pod to prefer scheduling on nodes labeled `disktype=ssd` but still sc"
"cka-007","1","Y","","1.22","","","","","","33","","4","A developer reports that `kubectl get pods` returns `Error from server (Forbidde"
"cka-003","1","Y","","1.19","","","","","","36","","4","You need to take a snapshot backup of etcd running as a static pod. The data dir"
"cka-048","1","","","1.12","Y","healthz","healthz","","","32","","4","A pod has `livenessProbe: httpGet: path: /healthz port: 8080 initialDelaySeconds"
"cka-059","1","","","1.1","Y","inside","inside","","","20","","4","A pod's application writes logs to /var/log/app.log inside the container. `kubec"
"cka-051","1","","","1.09","Y","requests","requests","","","35","","5","You observe that a pod is being evicted every few hours. `kubectl describe pod` "
"cka-053","1","","","1.09","Y","token","token","","","30","","5","A pod running with a projected ServiceAccount token cannot call the Kubernetes A"
"cka-057","1","","","1.09","Y","readiness","readiness","","","32","","4","A Deployment's readinessProbe fails during application startup, so Service traff"
"cka-024","1","","","1.07","Y","usage","usage|200m","","","26","","4","A pod spec defines `resources.requests.cpu: 100m` and `resources.limits.cpu: 200"
"cka-031","1","","","1.05","Y","cannot","cannot","","","22","","4","CoreDNS is running but pods cannot resolve external hostnames like `google.com`."
"cka-033","1","","","1.01","Y","cni","cni","","","32","","4","You roll out a CNI plugin and notice that pods on different nodes cannot reach e"
"cka-025","1","","","0.92","Y","clusterip","clusterip","","","28","","4","You need a ClusterIP Service for an application and want to assign a specific cl"
"cka-036","1","","Y","0.7","","","","","","28","","4","You need a volume that is shared between two containers in the same pod and is d"
"cka-012","1","","Y","0.55","","","","","","31","","4","You need to prevent new pods from being scheduled on node 'worker-3' while leavi"
"cka-056","1","","Y","0.48","","","","","","29","","5","You need to check the container runtime version and status on a node where Docke"
"cka-009","1","","Y","0.42","","","","","","19","","4","The kube-apiserver certificate on a kubeadm cluster is about to expire. Which co"
"cka-058","0","","","1.14","","","","","","34","","5","You run `kubectl get nodes` and see node `worker-3` in NotReady. `kubectl descri"
"cka-014","0","","","1.13","","","","","","36","","4","You want to add a second control plane node for high availability. After running"
"cka-005","0","","","1.09","","","","","","26","","3","A cluster admin is upgrading a kubeadm-managed cluster from Kubernetes v1.29 to "
"cka-040","0","","","1.09","","","","","","26","","5","A pod is in `OOMKilled` status. `kubectl describe pod crashed-pod` shows `Last S"
"cka-050","0","","","1.09","","","","","","22","","5","A node's `DiskPressure` condition is True and pods on it are being evicted. What"
