id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"rhce-012","2","Y","","2.02","Y","path","path|doesn|exist","","","34","","3","An engineer runs `ansible-playbook site.yml --syntax-check` and gets `ok`, then "
"rhce-011","2","Y","","1.9","Y","overridable","overridable","","","33","","4","An engineer wants the `webapp` role's variables in `defaults/main.yml` to be ove"
"rhce-019","2","Y","","1.77","Y","failure","failure","","","28","","4","A block of tasks may fail, and the playbook must run cleanup tasks whether or no"
"rhce-018","2","Y","","1.71","Y","template","template|render","","","18","","4","A template must render a config file listing every host in the play's group. Whi"
"rhce-016","2","Y","","1.6","Y","extra-vars","extra-vars","","","24","","4","Two variable definitions for the same name exist: one in `group_vars` and one pa"
"rhce-014","2","Y","","1.54","Y","changed","changed","","","22","","4","A task installs a package and should only restart the service when the package a"
"rhce-017","2","Y","","1.54","Y","firewalld","firewalld|service","","","21","","4","A playbook must open the `https` service in firewalld and make the change persis"
"rhce-021","2","Y","","1.53","Y","easily","easily|override","","","25","","4","A reusable role must ship sensible default variable values that a playbook can e"
"rhce-022","2","Y","","1.48","Y","list","list|users","","","22","","4","A task must loop over a list of users and create each one. Which is the current,"
"rhce-006","2","Y","","1.27","Y","mode","mode","","","24","","4","A task must create the directories `/srv/app/{cache,logs,uploads}` with mode `07"
"rhce-005","2","Y","","1.23","Y","dba","dba","","","44","","3","A play needs to create the same user account on every host in a group, but the u"
"rhce-007","2","","Y","0.81","Y","ipv4","ipv4|address","","","19","","4","An engineer writes a Jinja2 template `httpd.conf.j2` that should render the serv"
"rhce-004","2","","Y","0.67","Y","encrypt","encrypt","","","29","","3","An engineer needs to encrypt the file `group_vars/db/vault.yml` so it can be com"
"rhce-020","1","Y","","1.93","","","","","","23","","4","An engineer wants to preview what a playbook would change without applying it. W"
"rhce-015","1","Y","","1.66","","","","","","24","","4","Sensitive variables (passwords) must live in the repo but never in plaintext. Wh"
"rhce-001","1","","","1.08","Y","cfg","cfg","","","44","","3","An engineer creates the file `/etc/ansible/hosts` on the control node, but `ansi"
"rhce-009","1","","Y","0.8","","","","","","28","","3","A task uses the `ansible.posix.firewalld` module to open TCP port 8080. The engi"
"rhce-003","0","","","1.14","","","","","","43","","3","A task installs the `httpd` package and is followed by a handler that restarts `"
"rhce-013","0","","","1.14","","","","","","31","","4","A play must run a task only on hosts in the `webservers` group and skip others, "
"rhce-010","0","","","1.04","","","","","","36","","3","An engineer needs to attempt a risky migration step, run a cleanup task whether "
"rhce-002","0","","","0.93","","","","","","31","","3","A playbook must run on hosts in the `webservers` group, connecting as user `devo"
"rhce-008","0","","","0.9","","","","","","32","","3","A role called `webapp` lives in `~/ex294/roles/webapp/`. The engineer wants to c"
