id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"crisc-018","2","Y","","2.02","Y","reporting","reporting","","","18","","4","The board asks for risk reporting that helps them make decisions. Which reportin"
"crisc-012","2","Y","","1.75","Y","formal","formal|acceptance","","","32","","4","An IT risk register entry has been open for 18 months with no risk-response acti"
"crisc-013","2","Y","","1.69","Y","owner","owner","","","35","","4","A newly identified risk exceeds the organization's risk appetite. The business o"
"crisc-019","2","Y","","1.67","Y","remains","remains","","","37","","4","During a control review a practitioner must clearly separate the exposure that e"
"crisc-004","2","Y","","1.63","Y","performance","performance","","","45","","4","A risk committee is confused because a metric labeled a KRI on one report appear"
"crisc-021","2","Y","","1.55","Y","indicator","indicator","","","22","","4","A key risk indicator (KRI) has been chosen for a critical risk. Which characteri"
"crisc-011","2","Y","","1.22","Y","organisation","organisation","","","20","","4","A third-party vendor will process sensitive customer data on behalf of the organ"
"crisc-016","1","Y","","1.94","","","","","","22","","4","A risk practitioner is building a risk register entry. Which combination BEST ex"
"crisc-022","1","Y","","1.77","","","","","","27","","4","After treatment, a residual risk still sits slightly above appetite, and further"
"crisc-020","1","Y","","1.76","","","","","","23","","4","An emerging technology is being adopted rapidly across business units without ce"
"crisc-017","1","Y","","1.6","","","","","","23","","4","Management decides to move a data-processing activity to a third party to reduce"
"crisc-010","1","Y","","1.59","","","","","","20","","4","A risk practitioner is preparing the quarterly IT risk report for the board. Whi"
"crisc-006","1","Y","","1.56","","","","","","23","","4","Senior management decides to formally accept a residual risk that exceeds the do"
"crisc-015","1","Y","","1.4","","","","","","32","","4","During quantitative risk analysis, a single-loss expectancy (SLE) is $50,000 and"
"crisc-008","1","Y","","1.39","","","","","","37","","4","A penetration test discovers a critical vulnerability in a production applicatio"
"crisc-014","1","Y","","1.32","","","","","","24","","4","A control has been implemented to treat a risk. Which metric BEST tells manageme"
"crisc-009","1","Y","","1.31","","","","","","36","","4","A practitioner must explain to business owners how the controls they operate cha"
"crisc-007","1","Y","","1.24","","","","","","30","","4","An organisation's recovery time objective (RTO) for its order-entry system is 4 "
"crisc-002","1","","Y","0.69","","","","","","19","","4","An organisation is finalising its IT risk management framework. Who is ULTIMATEL"
"crisc-003","0","","","0.98","","","","","","40","","4","During a risk assessment, the practitioner determines that a critical legacy app"
"crisc-005","0","","","0.97","","","","","","32","","4","A risk practitioner is calculating annualised loss expectancy (ALE) for a ransom"
"crisc-001","0","","","0.89","","","","","","24","","3","A newly appointed risk practitioner is asked to build an IT risk management prog"
