id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"ckad-049","2","Y","","1.28","Y","changes","changes","","","26","","4","A Deployment named `app` is currently paused (via `kubectl rollout pause`). A de"
"ckad-052","2","Y","","1.15","Y","create","create|--save-config","","","31","","4","A developer runs `kubectl apply -f deployment.yaml` and sees a warning: `kubectl"
"ckad-022","1","Y","","1.29","","","","","","21","","4","A developer sets `resources.requests.cpu: 250m` and `resources.limits.cpu: 500m`"
"ckad-012","1","Y","","1.28","","","","","","23","","4","A developer configures a readiness probe and a liveness probe on the same contai"
"ckad-015","1","Y","","1.28","","","","","","20","","5","A container repeatedly fails with OOMKilled (exit code 137). What is MOST likely"
"ckad-036","1","Y","","1.26","","","","","","22","","4","A developer sees `kubectl describe pod` for a failing Pod reports `Failed to pul"
"ckad-055","1","Y","","1.23","","","","","","20","","4","A developer sets `spec.activeDeadlineSeconds: 300` on a Job. What happens if the"
"ckad-047","1","Y","","1.22","","","","","","25","","5","A developer configures `securityContext.readOnlyRootFilesystem: true` on a conta"
"ckad-028","1","Y","","1.2","","","","","","24","","4","A StatefulSet is used instead of a Deployment for a database application. Which "
"ckad-023","1","Y","","1.18","","","","","","31","","5","A developer creates a ClusterIP Service named `api-service` in namespace `backen"
"ckad-053","1","","","1.18","Y","dns","dns|hostname","","","22","","5","A developer needs a Service that maps a cluster-internal DNS name to an external"
"ckad-027","1","Y","","1.17","","","","","","22","","4","A developer applies a NetworkPolicy with `spec.podSelector: {}` (empty selector)"
"ckad-057","1","","","1.15","Y","present","present","","","19","","4","A developer creates a Pod with `imagePullPolicy: Never`. The image `my-app:lates"
"ckad-025","1","","","1.14","Y","path","path|frontend","","","37","","5","A developer has two applications — `frontend` on path `/` and `api` on path `/ap"
"ckad-033","1","","","1.11","Y","type","type","","","22","","5","A developer wants to expose an application to other Pods inside the cluster but "
"ckad-050","1","","","1.09","Y","tls","tls","","","32","","5","A developer creates an Ingress with TLS configured. The Ingress references a Sec"
"ckad-029","1","","","1.08","Y","pvc","pvc","","","32","","4","A developer creates a PersistentVolumeClaim (PVC) and mounts it in a Pod. If the"
"ckad-030","1","","","1.05","Y","deleted","deleted","","","31","","5","A developer needs temporary scratch space shared between two containers in the s"
"ckad-002","1","","","1.03","Y","once","once","","","37","","4","A developer needs to ensure that a database is reachable before the main applica"
"ckad-008","1","","","1.03","Y","history","history","","","26","","5","A new application version has a problem and the team wants to revert to the prev"
"ckad-040","1","","","0.86","Y","scale","scale","","","22","","5","A developer wants to scale a Deployment named `web` to 5 replicas without editin"
"ckad-048","1","","Y","0.82","","","","","","25","","4","A developer creates a ServiceAccount named `monitor-sa` and wants a Pod to use i"
"ckad-003","1","","Y","0.81","","","","","","36","","3","A developer runs `kubectl get pods` on a new Deployment and sees a Pod stuck wit"
"ckad-010","1","","Y","0.68","","","","","","34","","4","A Helm release was just upgraded to v2.0 of a chart and the new version has a cr"
"ckad-051","0","","","1.17","","","","","","24","","4","A developer adds a taint `key=value:NoSchedule` to a node. New Pods are still be"
"ckad-056","0","","","1.13","","","","","","19","","5","A developer runs `kubectl top pods` and receives `error: Metrics API not availab"
"ckad-024","0","","","1.12","","","","","","20","","5","A developer creates a Service of type NodePort for a web application. Which stat"
"ckad-046","0","","","1.12","","","","","","24","","5","A developer needs to create a Kubernetes Secret from a literal value using an im"
"ckad-021","0","","","1.11","","","","","","23","","4","A developer wants to prevent a container from running as root and ensure it cann"
"ckad-037","0","","","1.08","","","","","","29","","5","A developer wants to use Kustomize to modify a base Kubernetes Deployment (chang"
"ckad-059","0","","","1.08","","","","","","34","","5","A developer wants to generate a Pod YAML template using a dry-run command to spe"
"ckad-041","0","","","1.05","","","","","","26","","5","A developer creates a CronJob but after the scheduled time, no Job is created. `"
"ckad-016","0","","","1.04","","","","","","28","","4","A developer creates a ConfigMap with two keys: `APP_ENV=production` and `LOG_LEV"
"ckad-019","0","","","1.04","","","","","","27","","4","A developer needs to pass a database password stored in a Kubernetes Secret as a"
"ckad-026","0","","","1.04","","","","","","31","","5","A developer needs to restrict traffic so that only Pods labelled `app=frontend` "
"ckad-014","0","","","1.02","","","","","","24","","4","A developer wants to open an interactive bash shell inside a running container c"
"ckad-058","0","","","1.02","","","","","","37","","5","A NetworkPolicy allows egress from Pods labelled `app=worker` to port 5432 (Post"
"ckad-004","0","","","1.01","","","","","","29","","5","A developer needs to run a batch process that completes 10 items in total, runni"
"ckad-017","0","","","1.01","","","","","","31","","4","A developer needs an application to read a configuration file at `/etc/app/confi"
"ckad-007","0","","","0.99","","","","","","35","","5","An application runs 5 replicas in a Deployment. During a rolling update, the dev"
"ckad-042","0","","","0.99","","","","","","29","","5","A developer creates an Ingress resource but external traffic still reaches an ol"
"ckad-043","0","","","0.99","","","","","","23","","5","A developer needs to add an environment variable to a running Deployment and tri"
