id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"az140-010","2","Y","1.18","Y","workbook","workbook","","45","","5","Support needs to investigate why a specific user takes 90+ seconds to sign in to"
"az140-004","1","Y","1.18","","","","","29","","4","Your security team requires multi-factor authentication on every connection to A"
"az140-011","1","","1.14","Y","corporate","corporate","","36","","4","A finance group must connect to AVD only from corporate-managed Windows devices "
"az140-007","1","","1.12","Y","ramp-down","ramp-down","","50","","4","After business hours your pooled host pool sits mostly idle, but you still pay f"
"az140-009","1","","1.07","Y","versioned","versioned","","40","","4","You want a session host image that is patched monthly, has the AVD agent install"
"az140-006","1","","0.86","Y","package","package","","42","","3","You need to deliver a Win32 application to AVD session hosts without baking it i"
"az140-002","0","","1.14","","","","","55","","4","Users on a pooled Windows 11 multi-session host pool complain that their Outlook"
"az140-012","0","","1.05","","","","","43","","4","You are deploying a personal host pool for 50 developers, each needing a persist"
"az140-001","0","","1.01","","","","","46","","3","A team plans an Azure Virtual Desktop deployment for 200 task workers who all ne"
"az140-003","0","","0.99","","","","","42","","5","You are sizing an Azure Files Premium share to host FSLogix profile containers f"
"az140-008","0","","0.94","","","","","47","","5","You are deploying Windows 11 multi-session session hosts that must be joined dir"
"az140-005","0","","0.93","","","","","34","","3","You publish only Microsoft Edge and a finance line-of-business application from "
