id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"prometheus-pca-014","2","Y","","2.19","Y","batch","batch","","","28","","4","A batch job runs to completion in seconds and Prometheus never scrapes it in tim"
"prometheus-pca-013","2","Y","","2.12","Y","counter","counter|restart","","","29","","4","An engineer writes `rate(http_requests_total[5m])` for a counter but sees the va"
"prometheus-pca-018","2","Y","","1.77","Y","related","related|notification|alert","","","37","","4","Alertmanager is receiving many alerts during an outage. The team wants a single "
"prometheus-pca-019","2","Y","","1.72","Y","aggregated","aggregated|percentiles","","","30","","4","A developer instruments a service and must choose between a Histogram and a Summ"
"prometheus-pca-022","2","Y","","1.64","Y","aggregated","aggregated","","","29","","4","A team runs one Prometheus per datacenter and wants a global Prometheus to pull "
"prometheus-pca-004","2","Y","","1.3","Y","port","port","","","40","","4","Using Kubernetes service discovery, an operator wants to scrape ONLY the pods th"
"prometheus-pca-007","2","Y","","1.21","Y","sharing","sharing|notification","","","41","","4","A team needs Alertmanager to send `severity=critical` alerts to PagerDuty and `s"
"prometheus-pca-020","1","Y","","1.85","","","","","","25","","4","An operator wants Prometheus to keep 30 days of local data but is concerned abou"
"prometheus-pca-017","1","Y","","1.83","","","","","","31","","4","An expensive dashboard query aggregates millions of series every refresh. The te"
"prometheus-pca-016","1","Y","","1.7","","","","","","25","","4","In a Prometheus scrape config using Kubernetes service discovery, you want to ke"
"prometheus-pca-021","1","Y","","1.59","","","","","","22","","4","A query `sum(rate(node_cpu_seconds_total{mode=""idle""}[5m])) by (instance)` retur"
"prometheus-pca-015","1","Y","","1.54","","","","","","28","","4","A service exposes latency as a classic histogram metric `http_request_duration_s"
"prometheus-pca-010","1","Y","","1.4","","","","","","35","","3","An operator is adding host-level CPU, memory, and disk metrics to a fleet of Lin"
"prometheus-pca-005","1","Y","","1.17","","","","","","38","","4","An SRE team sizing disk for a Prometheus 2.x server needs to understand how the "
"prometheus-pca-008","1","","","1.11","Y","expensive","expensive","","","29","","3","A team keeps re-running the same expensive aggregation in dashboards and alerts "
"prometheus-pca-001","1","","","1.09","Y","counter","counter","","","29","","4","A Grafana panel that graphs request throughput over a 6-hour window queries the "
"prometheus-pca-011","1","","","1.02","Y","match","match","","","34","","3","A central Prometheus needs to ingest only a curated subset of pre-aggregated ser"
"prometheus-pca-012","1","","","1","Y","condition","condition","","","26","","4","An operator wants the per-cluster sum of `kube_pod_status_ready{condition=""true"""
"prometheus-pca-006","0","","","1.02","","","","","","38","","5","An HTTP server library wants the server itself to compute pre-aggregated request"
"prometheus-pca-009","0","","","0.97","","","","","","36","","4","An operator wants to rewrite the `path` label so values ending in `/v1` (for exa"
"prometheus-pca-003","0","","","0.95","","","","","","35","","5","Service `api` exposes a histogram named `http_request_duration_seconds_bucket` w"
"prometheus-pca-002","0","","","0.91","","","","","","34","","4","A team's short-lived batch CronJobs finish before Prometheus has a chance to scr"
