id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"github-actions-016","1","","","1.04","Y","policy","policy|third-party","","","32","","5","An organization owner wants to restrict which actions repositories may use in wo"
"github-actions-002","1","","","1","Y","dependency","dependency|graph","","","32","","5","A CI workflow has three jobs: `build`, `unit-test`, and `deploy`. `unit-test` mu"
"github-actions-010","1","","","0.99","Y","production","production","","","37","","5","A release team requires that any workflow job deploying to the production enviro"
"github-actions-004","1","","","0.97","Y","integration-test","integration-test","","","34","","5","A `build` job produces a compiled binary that a downstream `integration-test` jo"
"github-actions-007","0","","","1.05","","","","","","26","","5","A custom composite action accepts a `target-environment` string from callers and"
"github-actions-009","0","","","1.04","","","","","","29","","6","A team wants to deploy to AWS from GitHub Actions without storing long-lived AWS"
"github-actions-003","0","","","1","","","","","","30","","5","A workflow step must authenticate to an external API using a sensitive token sto"
"github-actions-001","0","","","0.99","","","","","","26","","5","A platform team needs a single workflow file that runs on pull requests targetin"
"github-actions-005","0","","","0.98","","","","","","33","","5","A DevOps team wants multiple product teams across the organization to invoke a s"
"github-actions-012","0","","","0.98","","","","","","39","","5","A build job downloads the same npm dependencies on every run, slowing the pipeli"
"github-actions-015","0","","","0.97","","","","","","41","","5","A composite action defines a step that runs a shell command. The author wants th"
"github-actions-014","0","","","0.96","","","","","","42","","5","A workflow has a `deploy` job that must run a cleanup step even when an earlier "
"github-actions-013","0","","","0.92","","","","","","34","","5","A repository's default `GITHUB_TOKEN` permissions were reduced to read-only org-"
"github-actions-006","0","","","0.91","","","","","","34","","5","A developer wants to create a GitHub Action that runs a Node.js script to post a"
"github-actions-008","0","","","0.91","","","","","","30","","5","An enterprise needs production workflows to run on company-owned servers inside "
"github-actions-011","0","","","0.91","","","","","","29","","5","A workflow declares a job with `strategy.matrix.node-version: [16, 18, 20]`. A t"
