id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"nse4-051","2","Y","","1.23","Y","memory","memory","","","27","","4","A FortiGate displays a warning: 'conserve mode'. CPU and memory usage are within"
"nse4-055","2","Y","","1.19","Y","sensitive","sensitive|servers","","","38","","4","A FortiGate security policy has 'Log All Sessions' enabled. The administrator no"
"nse4-054","1","","","1.14","Y","profiles","profiles","","","37","","4","A FortiGate is deployed as a perimeter firewall with multiple security profiles "
"nse4-038","1","","","1.09","Y","pass","pass","","","37","","4","A FortiGate IPS sensor has a signature with a default action of 'Pass'. The admi"
"nse4-022","1","","","1.06","Y","supports","supports|large","","","31","","4","FortiOS antivirus scanning can operate in two inspection modes. A large enterpri"
"nse4-049","1","","","1.06","Y","explicit","explicit","","","30","","4","An administrator is configuring explicit web proxy on FortiGate for users who ha"
"nse4-041","1","","","1.05","Y","browser","browser|error|instead","","","39","","4","A FortiGate web filter profile is configured to redirect blocked websites to a F"
"nse4-029","1","","","1.04","Y","botnet","botnet","","","18","","4","An organization wants FortiGate to block access to known botnet command-and-cont"
"nse4-008","1","","","1.03","Y","signature","signature","","","33","","4","A FortiGate IPS profile is set to Block for a known exploit signature. During te"
"nse4-030","1","","","1.03","","","","Y","","34","","4","A FortiGate administrator needs to collect and correlate logs from multiple Fort"
"nse4-033","1","","","1.03","Y","change","change|static","","","39","","4","A FortiGate is receiving IPsec VPN connections from remote FortiClients but some"
"nse4-004","1","","","1.02","Y","mon","mon|fri","","","33","","4","An administrator must prevent all users on the internal network from accessing s"
"nse4-016","1","","","1.02","Y","secondary","secondary","","","30","","4","FortiGate is configured with an active-passive HA cluster. After a power failure"
"nse4-007","1","","","1.01","Y","nat","nat|outgoing","","","33","","4","A FortiGate administrator wants to ensure that outgoing traffic from the LAN net"
"nse4-009","1","","","1.01","Y","session","session","","","30","","4","An administrator must ensure a FortiGate high-availability (HA) active-passive c"
"nse4-019","1","","","1","Y","pre-shared","pre-shared|key","","","38","","4","An administrator needs to configure a site-to-site IPsec VPN between a FortiGate"
"nse4-044","1","","","1","Y","data","data","","","31","","4","A FortiGate is deployed at a healthcare organization. The administrator must ens"
"nse4-047","1","","","1","Y","encrypted","encrypted","","","31","","4","A FortiGate administrator needs to prevent specific hosts on the internal networ"
"nse4-003","1","","","0.99","Y","filtering","filtering|url","","","23","","4","FortiGuard provides various subscription services. An administrator wants to ena"
"nse4-036","1","","","0.98","Y","link","link","","","32","","4","A FortiGate has two virtual domains (VDOMs): VDOM_A for sales and VDOM_B for eng"
"nse4-013","1","","","0.97","Y","admin","admin","","","30","","4","An administrator creates a new admin account on FortiGate with the 'Read Only' p"
"nse4-039","1","","","0.96","Y","forticlient","forticlient|vpn","","","28","","4","An administrator wants to ensure that only compliant endpoints (running FortiCli"
"nse4-042","1","","","0.96","Y","outbound","outbound","","","35","","4","A company needs to monitor all outbound email traffic for data loss prevention ("
"nse4-045","1","","","0.91","Y","segment","segment|own","","","36","","4","An administrator wants to implement network segmentation by creating multiple is"
"nse4-056","1","","","0.91","Y","area","area","","","41","","4","A company's FortiGate uses OSPF to exchange routing information with an internal"
"nse4-023","0","","","1.15","","","","","","25","","4","A FortiGate administrator needs to run diagnostic commands on FortiGate to captu"
"nse4-015","0","","","1.12","","","","","","26","","4","An administrator wants to prevent internal users from using applications like Bi"
"nse4-040","0","","","1.09","","","","","","38","","4","FortiGate has an IPsec VPN tunnel that has been working correctly. Users report "
"nse4-043","0","","","1.06","","","","","","37","","4","An administrator has configured a FortiGate policy with source address 'all' and"
"nse4-001","0","","","1.05","","","","","","37","","4","An administrator needs to insert a FortiGate into an existing network between tw"
"nse4-031","0","","","1.05","","","","","","41","","4","A FortiGate security policy allows traffic from LAN to WAN but users cannot reac"
