id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"cehv12-022","2","Y","","1.64","Y","tls","tls","","","35","","4","A scan of a container host reveals the Docker Engine API listening on TCP 2375 w"
"cehv12-018","2","Y","","1.61","Y","arp","arp","","","41","","4","An attacker on the same subnet as a target sends a stream of gratuitous ARP repl"
"cehv12-013","2","Y","","1.6","Y","ntlm","ntlm|admin","","","47","","4","A red team has a low-privilege shell on a Windows host and recovers the local SA"
"cehv12-021","2","Y","","1.6","Y","isolated","isolated|production","","","44","","4","A team wants to detect attackers early and gather intelligence on their techniqu"
"cehv12-014","2","Y","","1.58","Y","community","community|string","","","32","","4","During enumeration of an internal network, a tester runs `snmpwalk` against a ro"
"cehv12-019","2","Y","","1.45","Y","cloud","cloud","","","42","","4","A tester finds a parameter that fetches a URL supplied by the client so the serv"
"cehv12-015","2","Y","","1.42","Y","cookie","cookie","","","45","","4","A web app sets its session cookie without the HttpOnly and Secure flags, and ref"
"cehv12-016","2","Y","","1.42","Y","offline","offline","","","25","","4","A tester captures the WPA2-PSK 4-way handshake for a target SSID and wants to re"
"cehv12-017","2","Y","","1.39","Y","spf","spf","","","35","","4","A phishing email passes SPF because it was sent through a permitted relay, yet i"
"cehv12-020","1","Y","","1.42","","","","","","21","","4","An organization asks whether MD5 is acceptable for storing user passwords. As th"
"cehv12-010","1","Y","","1.35","","","","","","37","","4","A pentester recovers a database of unsalted MD5 password hashes and cracks 70% o"
"cehv12-008","1","Y","","1.21","","","","","","27","","4","WPA2-Personal is vulnerable to offline dictionary attacks against captured four-"
"cehv12-001","1","Y","","1.17","","","","","","35","","4","During an external assessment, a pentester wants to map open TCP ports on a targ"
"cehv12-003","1","","","1.13","Y","ntlm","ntlm","","","34","","5","An attacker who has extracted NTLM hashes from a compromised Windows host re-aut"
"cehv12-009","1","","","1.12","Y","larger","larger|source","","","45","","4","An attacker sends small DNS queries with the victim's IP spoofed as the source t"
"cehv12-011","1","","","1.11","Y","cloud","cloud|acl|bucket|policy","","","43","","4","A pentester discovers that a corporate AWS S3 bucket containing customer invoice"
"cehv12-006","1","","","1.1","Y","sql","sql","","","40","","4","A login form concatenates user input directly into the SQL statement without par"
"cehv12-002","1","","","1.08","Y","reconnaissance","reconnaissance|sending","","","36","","4","A red-team operator pulls WHOIS records, enumerates DNS, scrapes LinkedIn employ"
"cehv12-004","1","","","1.02","Y","kernel-mode","kernel-mode|user-mode","","","37","","4","Malware loads a signed kernel-mode driver that hooks system-call tables so that "
"cehv12-012","0","","","1.15","","","","","","46","","4","An IP camera ships with a fixed Telnet account `root / xc3511` documented in its"
"cehv12-005","0","","","1.11","","","","","","41","","4","An attacker is plugged into a modern switched LAN and wants to capture traffic f"
"cehv12-007","0","","","1.05","","","","","","37","","4","A single-page application reads its hash fragment via `location.hash` and writes"
