id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"ms900-044","2","Y","","1.22","Y","features","features|rolling|launched|target|dates","","","24","","2","Where should an admin look for upcoming Microsoft 365 features that are in previ"
"ms900-055","2","Y","","1.19","Y","goals","goals|objectives|key|results|check-ins|dashboards","","","31","","2","A company wants to give employees a way to record their personal goals, key resu"
"ms900-021","2","Y","","1.15","Y","videos","videos|permissions","","","26","","2","An organization wants to host video content for the entire company so videos inh"
"ms900-023","2","Y","","1.15","Y","learning","learning|training","","","29","","2","An organization wants to assign and track Word, Excel, and PowerPoint training c"
"ms900-043","2","","Y","0.83","Y","onboarding","onboarding|program","","","32","","2","An enterprise has 500 Microsoft 365 licenses and wants Microsoft engineers to he"
"ms900-010","2","","Y","0.82","Y","personalized","personalized|employee","","","24","","2","An organization wants a curated employee experience platform inside Teams that s"
"ms900-054","2","","Y","0.76","Y","shared","shared","","","39","","2","An admin is asked which Microsoft 365 service provides shared mailboxes that don"
"ms900-053","1","Y","","1.2","","","","","","33","","2","An IT manager wants to provide a managed Windows 11 multi-session environment in"
"ms900-058","1","","","1.14","Y","phishing-resistant","phishing-resistant|credentials","","","19","","3","Which authentication method is considered the strongest passwordless option for "
"ms900-008","1","","","1.12","Y","files","files|locally","","","27","","2","A consultant frequently works offline on a plane and needs cloud files to be ava"
"ms900-027","1","","","1.12","Y","credential","credential","","","21","","2","Which Microsoft Defender XDR component is specifically designed to detect latera"
"ms900-048","1","","","1.11","Y","cloud-native","cloud-native|siem|soar","","","29","","2","Which Microsoft service is a cloud-native SIEM and SOAR solution that ingests si"
"ms900-006","1","","","1.1","Y","groups","groups","","","27","","2","A company creates a distribution group for its sales team so that one email addr"
"ms900-032","1","","","1.1","Y","hold","hold|mailboxes|sites|legal","","","28","","3","Lawyers need to place certain mailboxes and SharePoint sites on legal hold and s"
"ms900-050","1","","","1.09","Y","communicating","communicating","","","26","","3","Two business divisions inside the same tenant must be prevented from communicati"
"ms900-007","1","","","1.08","Y","small","small|editorial","","","35","","2","An HR department wants a centralized intranet site with news, policy documents, "
"ms900-003","1","","","1.07","Y","on-premises","on-premises|through","","","33","","2","A regulated bank wants to keep some workloads on-premises for compliance reasons"
"ms900-029","1","","","1.07","Y","casb","casb","","","31","","2","An admin wants visibility into shadow IT — unsanctioned cloud apps employees use"
"ms900-037","1","","","1.07","Y","just-in-time","just-in-time|role","","","30","","3","An admin needs to grant a user the Global Administrator role only for a 4-hour c"
"ms900-015","1","","","1.06","Y","unified","unified|rest|exposes","","","27","","2","A developer wants a single REST API to read Outlook calendar, OneDrive files, an"
"ms900-030","1","","","1.05","Y","labels","labels","","","33","","2","An information-protection team wants to apply labels such as 'Confidential' or '"
