id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"aws-050","2","Y","","1.51","Y","synchronous","synchronous|standby|asynchronous","","","45","","2","An RDS engineer compares two HA-vs-scaling options: (A) a synchronous standby in"
"aws-100","2","Y","","1.42","Y","free","free|pay-as-you-go|discount|interruptible|spare","","","41","","3","A finance team compares EC2 cost models: (a) ~12 months of free usage on small i"
"aws-044","2","Y","","1.4","Y","ddos","ddos|protection|automatic","","","47","","4","A public-facing web tier is hit with a sustained Layer-3/4 volumetric DDoS (SYN "
"aws-038","2","Y","","1.36","Y","pull-based","pull-based|push-based|pub|sub","","","35","","2","An architect compares two AWS messaging services: (A) pull-based; consumer reads"
"aws-079","2","Y","","1.36","Y","transitive","transitive|vpcs","","","59","","4","A network team is connecting 10 VPCs. With VPC Peering each pair needs its own p"
"aws-087","2","Y","","1.34","Y","edge","edge|pops|tls|shield","","","40","","3","A media site's static assets must be delivered with sub-50 ms latency to users i"
"aws-027","2","Y","","1.26","Y","stateful","stateful|stateless","","","34","","3","An architect compares two VPC firewall constructs: (A) stateful, attached to ENI"
"aws-056","2","Y","","1.19","Y","guardrail","guardrail|caps|permissions","","","45","","3","Inside AWS Organizations, a permission GUARDRAIL applies at the OU or account le"
"aws-020","2","","Y","0.8","Y","attached","attached","","","43","","4","A security team wants to grant the IAM principal `arn:aws:iam::111:role/web` acc"
"aws-091","2","","Y","0.8","Y","start","start","","","32","","3","Security best practice in IAM says: a new IAM principal should START WITH ZERO p"
"aws-034","2","","Y","0.78","Y","accounts","accounts","","","35","","3","A new AWS account holder is reading the Free Tier offer. AWS publishes three cat"
"aws-070","2","","Y","0.72","Y","aws-native","aws-native|orchestrator","","","31","","3","A team wants to run Docker workloads with AWS-native orchestration (no Kubernete"
"aws-060","1","Y","","1.72","","","","","","41","","3","An auditor asks AWS who is responsible for: (1) the physical security of the dat"
