id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"cloudflare-cass-003","1","","","1.06","Y","other","other|common","","","34","","5","A team wants broad coverage against SQL injection, cross-site scripting, and oth"
"cloudflare-cass-006","1","","","1.06","Y","administrator","administrator","","","33","","5","An administrator must cap each visitor to ten POST requests per minute against `"
"cloudflare-cass-009","1","","","1.04","Y","access","access|email|domain|mfa","","","41","","5","A team must protect an internal admin panel hosted behind Cloudflare so that onl"
"cloudflare-cass-005","1","","","1.03","Y","verified","verified|bots","","","29","","5","A web application must allow verified search engine crawlers and other known-goo"
"cloudflare-cass-010","1","","","1.02","Y","per-request","per-request|bot|rate-limit","","","41","","5","After a suspected scraping incident, an engineer needs to inspect per-request se"
"cloudflare-cass-014","1","","","1.01","Y","free","free|cloudflare-to-origin","","","37","","5","An operator wants to issue a free TLS certificate that is trusted specifically b"
"cloudflare-cass-008","1","","","0.99","Y","javascript","javascript","","","41","","5","An e-commerce site is concerned about Magecart-style attacks in which an attacke"
"cloudflare-cass-015","1","","","0.99","Y","servers","servers","","","39","","5","A serverless team wants to run custom request-handling logic — such as adding se"
"cloudflare-cass-016","1","","","0.99","Y","contract","contract","","","44","","5","A team running an API behind API Shield has uploaded an OpenAPI specification an"
"cloudflare-cass-012","1","","","0.97","Y","behavior","behavior","","","42","","5","A site owner wants requests for static assets (images, CSS, JS) to be served fro"
"cloudflare-cass-001","0","","","1.06","","","","","","30","","5","A team adds a new origin server `api.example.com` in Cloudflare DNS but observes"
"cloudflare-cass-004","0","","","1.05","","","","","","43","","5","A site is hit by a high-volume HTTP GET flood from many residential IPs whose re"
"cloudflare-cass-002","0","","","1.04","","","","","","39","","5","An operator wants end-to-end encryption between visitor and Cloudflare and betwe"
"cloudflare-cass-007","0","","","1.03","","","","","","46","","5","An API serves only mobile clients that ship with X.509 client certificates issue"
"cloudflare-cass-013","0","","","0.98","","","","","","41","","5","A security engineer wants to block all traffic to the zone originating from a sp"
"cloudflare-cass-011","0","","","0.97","","","","","","47","","5","A team needs to expose a web application running on a private server that has no"
