id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"scor-018","1","","1.18","Y","browser","browser","","34","","3","A Cisco Secure Web Appliance (WSA) is deployed in explicit proxy mode. Users rep"
"scor-048","1","","1.18","Y","architecture","architecture|verifies|request|regardless","","56","","3","A security architect is briefing leadership on a model that assumes the network "
"scor-050","1","","1.17","Y","registry","registry","","29","","3","A container security engineer wants to ensure that only signed images from an ap"
"scor-024","1","","1.16","Y","inline","inline|tagging|support","","29","","3","A security engineer is designing SXP (SGT Exchange Protocol) between ISE and an "
"scor-002","1","","1.13","Y","plane","plane","","44","","3","An engineer is hardening the control plane of a core Cisco IOS-XE router. Traffi"
"scor-001","1","","1.11","Y","ipsec","ipsec|rekey","","45","","4","A financial services company is designing an IPsec site-to-site VPN between two "
"scor-021","1","","1.09","Y","customer-managed","customer-managed|iam","","36","","3","A healthcare company stores PHI in an AWS S3 bucket. They must ensure data is en"
"scor-012","1","","1.06","Y","esa","esa","","41","","3","A company's Cisco Secure Email (ESA) is receiving a spike in spoofed messages cl"
"scor-033","1","","1.06","Y","saas","saas","","25","","2","A CASB product (Cisco Cloudlock) flags that several employees uploaded sensitive"
"scor-023","1","","1.04","Y","securex","securex|response|integration","","42","","4","A Cisco Secure Firewall Management Center (FMC) generates an intrusion event for"
"scor-049","1","","1.04","Y","path","path|admin","","44","","3","A Snort 3 rule on Cisco Secure Firewall reads: `alert http any any -> any any (m"
"scor-019","1","","1.03","Y","isr","isr|sig","","37","","4","An engineer deploys Cisco Umbrella SIG for a remote branch. They want web traffi"
"scor-035","1","","1.03","Y","getvpn","getvpn","","37","","3","An architect is choosing between Cisco DMVPN and GETVPN for a large multi-site M"
"scor-046","1","","1.03","Y","context","context","","37","","3","A forensic team investigates an insider threat. They need to correlate user logi"
"scor-059","1","","1.03","Y","active","active|directory","","32","","3","An engineer designs Secure Internet access for branch offices. Umbrella SIG poli"
"scor-029","1","","1.02","Y","dns","dns|fast-flux","","33","","3","A Cisco Umbrella Investigate analyst notices a domain with a high risk score, re"
"scor-052","1","","1.02","Y","services","services","","22","","2","A cloud team must ensure that EC2 instances cannot reach the Internet but can ca"
"scor-038","1","","1.01","Y","communication","communication","","36","","3","An analyst investigates suspicious PowerShell activity on a Windows endpoint usi"
"scor-040","1","","1.01","Y","admin","admin","","38","","2","A security engineer wants an AAA design where the same policy server provides RA"
"scor-053","1","","1.01","Y","encryption","encryption|aes-ni","","29","","2","An engineer wants to encrypt a flash disk image backup using strong symmetric en"
"scor-056","1","","1.01","Y","mail","mail","","28","","3","A Cisco ESA administrator needs to prevent users from seeing marketing or promot"
"scor-008","1","","1","Y","managed","managed","","39","","3","A security team is rolling out Cisco Umbrella as the primary DNS-layer security "
"scor-020","1","","1","Y","radius","radius","","34","","3","A Cisco ISE administrator wants non-compliant devices to be automatically quaran"
"scor-055","1","","1","Y","flexvpn","flexvpn|shortcut|switching","","24","","3","An engineer deploys FlexVPN on a hub-spoke topology using IKEv2. Which feature a"
"scor-034","1","","0.99","Y","authorization","authorization|accounting","","25","","3","A corporate policy states that privileged network device administrators must aut"
"scor-013","1","","0.98","Y","process","process","","39","","3","A SOC analyst investigates a malware detection on an endpoint reported by Cisco "
"scor-015","1","","0.98","Y","validation","validation","","33","","3","A company uses a private Cisco PKI for issuing certificates to VPN users. Employ"
"scor-042","1","","0.98","Y","wan","wan|cloud-delivered|nearest|pop","","48","","3","A global enterprise wants to consolidate WAN, SD-WAN, SWG, CASB, ZTNA, and FWaaS"
"scor-010","1","","0.97","Y","internal","internal","","39","","4","A manufacturing company uses Cisco Stealthwatch (Secure Network Analytics) to de"
"scor-025","1","","0.96","Y","workload","workload","","19","","3","A CIO is evaluating Cisco Secure Workload (Tetration). Which primary security be"
"scor-031","1","","0.96","Y","changes","changes","","39","","4","A Cisco Secure Email Gateway is configured with Advanced Malware Protection (AMP"
"scor-044","1","","0.96","Y","tokens","tokens","","26","","3","A company evaluates authenticated API access for partners calling its gateway. W"
"scor-011","1","","0.95","Y","remediation","remediation","","34","","3","An engineer must enforce posture compliance so that only laptops with up-to-date"
"scor-043","1","","0.94","Y","workflows","workflows","","39","","3","A security analyst wants to automate incident response: when Cisco Secure Endpoi"
"scor-047","1","","0.94","Y","anyconnect","anyconnect|ssl|https","","38","","3","An engineer must decide between Cisco AnyConnect SSL VPN and IPsec IKEv2 remote "
"scor-006","1","","0.93","Y","tags","tags|ingress|egress","","40","","3","A company wants to enforce user-based segmentation without rewriting ACLs on eve"
"scor-060","1","","0.92","Y","collision-resistant","collision-resistant","","28","","2","A forensic engineer must validate the integrity of a captured disk image against"
"scor-022","1","","0.91","Y","templates","templates","","27","","3","An engineer enables NetFlow on a Cisco Catalyst switch to feed Stealthwatch. Whi"
"scor-054","1","","0.91","Y","eap","eap","","29","","3","An ISE administrator configures a policy where machine authentication must succe"
"scor-016","1","","0.9","Y","authenticated","authenticated|encryption","","34","","4","A security architect is choosing an IPsec IKEv2 proposal. The traffic is high-th"
"scor-036","1","","0.9","Y","byte","byte|distribution|metadata","","36","","4","Security Operations wants to detect malware in encrypted TLS traffic without dec"
"scor-039","0","","1.21","","","","","24","","3","An organization wants NTP to be authenticated between routers to prevent an atta"
"scor-028","0","","1.18","","","","","31","","3","A penetration tester gains access to a VLAN through a vulnerable kiosk and sends"
"scor-051","0","","1.11","","","","","29","","3","A Cisco Firepower Threat Defense (FTD) deployment must block outbound connection"
"scor-014","0","","1.08","","","","","18","","3","An engineer configures a Cisco ASA running multiple context mode. Which statemen"
"scor-027","0","","1.07","","","","","23","","2","A company wants to allow contractors temporary wireless access via a self-regist"
"scor-030","0","","1.04","","","","","27","","3","An engineer configures Cisco AnyConnect (Secure Client) remote access VPN on an "
"scor-041","0","","1.03","","","","","26","","3","An engineer configures a Cisco ASA for Active/Standby failover. Which requiremen"
"scor-032","0","","1","","","","","27","","3","An engineer configures OSPF authentication between two Cisco routers. The securi"
"scor-026","0","","0.98","","","","","25","","3","An engineer troubleshoots an IKEv2 site-to-site VPN stuck in MM_WAIT_MSG2. Both "
"scor-037","0","","0.98","","","","","33","","2","An engineer is configuring a Cisco Secure Firewall access control policy. A rule"
"scor-057","0","","0.96","","","","","30","","3","A corporate policy requires that laptops be automatically enrolled with a client"
"scor-003","0","","0.95","","","","","31","","3","A security architect wants to prevent rogue DHCP servers on an access switch and"
"scor-005","0","","0.95","","","","","50","","3","A network engineer is configuring 802.1X on Cisco Catalyst switches. Corporate l"
"scor-007","0","","0.95","","","","","38","","3","An engineer observes that a Cisco Secure Firewall (FTD) managed by FMC is blocki"
"scor-017","0","","0.95","","","","","25","","3","A DevSecOps team wants to catch vulnerable dependencies and insecure code patter"
"scor-004","0","","0.94","","","","","39","","3","An enterprise is deploying Cisco ISE 3.x in a distributed architecture with two "
"scor-045","0","","0.94","","","","","33","","3","A malicious actor is performing a MAC flooding attack against an access switch, "
"scor-009","0","","0.92","","","","","38","","3","A developer integrates a third-party application with Cisco FMC using the REST A"
"scor-058","0","","0.91","","","","","35","","3","A security engineer wants to prevent IP address spoofing at the edge of the netw"
