id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"comptia-server-005","2","Y","","1.39","Y","single-bit","single-bit|errors","","","41","","4","A finance database server is experiencing intermittent crashes that logs trace t"
"comptia-server-011","2","Y","","1.33","Y","uefi","uefi","","","32","","4","After replacing a server's motherboard, the administrator wants to ensure the sy"
"comptia-server-003","2","Y","","1.24","Y","cooling","cooling|management","","","34","","4","A data center needs to deploy 32 compute nodes in the smallest possible footprin"
"comptia-server-012","1","Y","","1.34","","","","","","34","","4","A data center is suffering from hot spots in the racks and rising cooling costs."
"comptia-server-008","1","Y","","1.32","","","","","","28","","4","On an iSCSI SAN, an administrator is mapping a new LUN to a server. Which statem"
"comptia-server-009","1","Y","","1.28","","","","","","26","","4","A critical server is installed with dual hot-swappable power supplies. To realiz"
"comptia-server-002","1","Y","","1.27","","","","","","34","","4","A company wants to consolidate ten physical servers onto two large hosts and nee"
"comptia-server-004","1","","","1.13","Y","present","present","","","31","","4","An administrator must present raw, block-level storage to a virtualization clust"
"comptia-server-007","1","","","1.1","Y","files","files|recent|type","","","50","","4","A backup policy runs a full backup every Sunday and a different backup every oth"
"comptia-server-022","1","","","0.96","Y","hostname","hostname","","","29","","3","Users report a server is reachable by its IP address but not by its hostname, wh"
"comptia-server-013","1","","","0.93","Y","disk","disk|failures","","","35","","3","A server has four identical disks. The business needs the fault tolerance to sur"
"comptia-server-016","1","","","0.93","Y","monday","monday|through","","","27","","3","A backup policy runs a full backup Sunday and INCREMENTAL backups Monday through"
"comptia-server-001","0","","","1.12","","","","","","43","","4","An administrator is configuring a new database server and needs to combine four "
"comptia-server-014","0","","","1.08","","","","","","34","","3","After a power event, a server with a hardware RAID 5 array reports the array is "
"comptia-server-010","0","","","1.04","","","","","","22","","4","An administrator is hardening a newly installed Windows Server. Which action fol"
"comptia-server-019","0","","","1.04","","","","","","18","","3","A technician hardening a new server applies the principle of least functionality"
"comptia-server-006","0","","","1.02","","","","","","34","","4","A business-continuity plan states that after an outage the order-processing syst"
"comptia-server-015","0","","","1.01","","","","","","21","","3","A technician must justify to management why production servers run ECC memory wh"
"comptia-server-020","0","","","1","","","","","","23","","3","Servers in a rack are overheating. The data center uses a hot-aisle/cold-aisle l"
"comptia-server-017","0","","","0.99","","","","","","27","","3","A disaster recovery plan specifies an RPO of 15 minutes and an RTO of 4 hours fo"
"comptia-server-021","0","","","0.96","","","","","","29","","3","A server's dual hot-swap power supplies are both plugged into the same rack PDU."
"comptia-server-018","0","","","0.92","","","","","","37","","3","Two servers must share access to the same block storage LUNs on a Fibre Channel "
