id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"tf-005","3","Y","","1.2","Y","infrastructure","infrastructure","","Y","16","","3","How does Terraform know which real-world infrastructure already exists, detect d"
"tf-016","2","Y","","1.8","Y","hcl","hcl|syntax","","","46","","3","Before commit, the CI pipeline runs `terraform validate`. This command does NOT "
"tf-061","2","Y","","1.8","Y","namespace","namespace","","","29","","3","The Terraform Registry hosts modules under a 3-part name + provider format: `mod"
"tf-135","2","Y","","1.79","Y","map","map","","","60","","3","Two meta-arguments to create multiple instances of a resource. `count = N` produ"
"tf-147","2","Y","","1.78","Y","null","null","","","32","","3","A `local.azs = [""us-east-1a"", """", ""us-east-1b"", null, ""us-east-1c""]` accidentall"
"tf-029","2","Y","","1.75","Y","stores","stores","","","50","","3","A `terraform { backend ""s3"" { bucket = … key = … } }` block defines WHERE Terraf"
"tf-067","2","Y","","1.75","Y","applies","applies","","","55","","3","Two ways to apply Terraform changes. (A) `terraform apply` — applies all planned"
"tf-105","2","Y","","1.75","Y","keys","keys|map|sorted","","","38","","3","A map `{c=3, a=1, b=2}` needs its KEYS as a sorted list (`[""a"",""b"",""c""]`) and VA"
"tf-020","2","Y","","1.73","Y","managed","managed","","","62","","2","HashiCorp Terraform Cloud is a managed SaaS that provides BEYOND open-source Ter"
"tf-075","2","Y","","1.71","Y","declarative","declarative|import","","","45","","3","Terraform 1.5+ introduces a NEW declarative `import` block: `import { to = aws_s"
"tf-079","2","Y","","1.71","Y","pull","pull|remote","","","52","","3","Two backend-state CLI subcommands. `terraform state pull` — DOWNLOADS the curren"
"tf-085","2","Y","","1.71","Y","skips","skips|infrastructure","","","50","","3","Standard `terraform plan` REFRESHES state against real infrastructure (each prov"
"tf-119","2","Y","","1.71","Y","converts","converts|ordered","","","43","","3","Two conversion functions: `tolist(set)` converts an unordered set to an ordered "
"tf-128","2","Y","","1.71","Y","import","import","","","58","","3","Terraform 1.5+ introduces an `import { to = aws_s3_bucket.legacy; id = ""my-bucke"
"tf-033","2","Y","","1.68","Y","built-in","built-in","","","42","","3","Terraform expressions can use BUILT-IN functions for transformations: STRING (`f"
"tf-132","2","Y","","1.68","Y","renamed","renamed","","","52","","3","A `moved { from = aws_instance.web; to = module.web_tier.aws_instance.web }` blo"
"tf-050","2","Y","","1.66","Y","evaluates","evaluates|expressions","","","37","","3","A Terraform expression `try(var.config.deeply.nested.value, ""default"")` evaluate"
"tf-086","2","Y","","1.66","Y","argument","argument","","","34","","3","An expression `coalesce(var.region_override, var.region_default, ""us-east-1"")` r"
"tf-090","2","Y","","1.66","Y","schema","schema|json","","","43","","3","An engineer needs to PROGRAMMATICALLY inspect a provider's resources + data sour"
"tf-093","2","Y","","1.66","Y","maps","maps","","","36","","3","Two maps `common_tags = {env=""prod"", owner=""web""}` and `extra = {region=""us-east"
"tf-021","2","Y","","1.65","Y","named","named|instances|single","","","49","","2","A SINGLE Terraform configuration must manage `dev`, `staging`, and `prod` enviro"
"tf-103","2","Y","","1.64","Y","null","null|empty","","","31","","3","A list `[""a"", """", null, ""b""]` should be reduced to `[""a"", ""b""]` (drop nulls + em"
"tf-066","2","Y","","1.63","Y","per-resource","per-resource|timeouts","","","44","","3","A resource creation sometimes takes longer than the provider's default timeout ("
"tf-027","2","Y","","1.62","Y","machine","machine","","","57","","2","Terraform's PROVISIONERS execute commands during resource lifecycle. Two flavour"
"tf-088","2","Y","","1.58","Y","replace","replace|search|replacement","","","37","","3","An expression `replace(""foo-bar-baz"", ""-"", ""_"")` returns `foo_bar_baz`. The `rep"
"tf-068","2","Y","","1.57","Y","parses","parses|yaml","","","46","","3","A Terraform configuration needs to READ a YAML config file (`config.yaml`) and c"
"tf-139","2","Y","","1.56","Y","ephemeral","ephemeral","","","49","","3","Terraform 1.10+ introduces EPHEMERAL VALUES — values that exist only during a si"
"tf-041","2","Y","","1.54","Y","-refresh-only","-refresh-only","","","52","","3","Real-world infrastructure was manually modified (a colleague added a tag in the "
"tf-034","2","Y","","1.53","Y","expression","expression","","","37","","3","A Terraform configuration computes a value (`coalesce(var.env, ""dev"")`) and uses"
"tf-044","2","Y","","1.53","Y","-auto-approve","-auto-approve","","","56","","3","In a CI/CD pipeline (GitHub Actions / Jenkins / GitLab), `terraform apply` norma"
"tf-060","2","Y","","1.53","Y","check","check","","","37","","3","Terraform 1.5+ introduces a `check` block at root configuration level. It declar"
"tf-065","2","Y","","1.53","Y","test","test","","","35","","3","Terraform 1.6 introduces a NATIVE TESTING framework. Test files use `.tftest.hcl"
"tf-133","2","Y","","1.53","Y","outputs","outputs","","","52","","3","Two separate Terraform configurations share infrastructure: STACK A creates a VP"
"tf-024","2","Y","","1.51","Y","constraint","constraint|operators","","","44","","3","A `terraform` block declares `required_providers { aws = { source = ""hashicorp/a"
"tf-064","2","Y","","1.46","Y","precondition","precondition","","","38","","3","Inside a resource block, Terraform supports two condition gates. PRECONDITION ru"
"tf-106","2","Y","","1.46","Y","condition","condition|regex","","","49","","3","A variable should accept only DNS-safe names (lowercase, alphanumeric, hyphen, 3"
"tf-087","2","Y","","1.45","Y","abs","abs","","","33","","3","A Terraform expression `abs(-5)` returns 5, `signum(-3)` returns -1, `signum(0)`"
"tf-032","2","Y","","1.43","Y","lockfile","lockfile","","","49","","3","Terraform writes a LOCKFILE `.terraform.lock.hcl` after `init`. It pins the EXAC"
"tf-059","2","Y","","1.43","Y","adds","adds|checksums","","","54","","3","A team using Terraform across Linux + macOS + Windows wants the lockfile (`.terr"
"tf-046","2","Y","","1.41","Y","code","code|git|truth","","","54","","3","A GitOps workflow for infrastructure: Terraform code lives in a git repository ("
"tf-057","2","Y","","1.41","Y","explicitly","explicitly","","","45","","3","A `sensitive = true` value should APPEAR in a `null_resource` provisioner comman"
"tf-072","2","Y","","1.4","Y","override","override|named","","","48","","3","A file named `override.tf` (or any `*_override.tf`) in a Terraform configuration"
"tf-091","2","Y","","1.4","Y","format","format","","","27","","3","An expression `format(""%s/%s"", var.bucket, var.prefix)` returns `""my-bucket/logs"
"tf-078","2","Y","","1.38","Y","free","free","","","48","","3","HashiCorp ships THREE tiers of Terraform. (OSS) Free CLI, local plan / apply, no"
"tf-038","2","Y","","1.35","Y","sensitive","sensitive","","","58","","3","A `variable ""db_password"" { sensitive = true; type = string }` flags the variabl"
"tf-130","2","Y","","1.35","Y","templatefile","templatefile|path|vars","","","39","","3","A configuration needs to render a TEMPLATE FILE (`config.yaml.tmpl`) substitutin"
"tf-146","2","Y","","1.35","Y","hashicorp","hashicorp|policy-as-code|framework","","","26","","3","A regulated bank on Terraform Cloud must HARD-FAIL plans that violate policy (pu"
"tf-126","2","Y","","1.33","Y","sensitive","sensitive","","","41","","3","An expression `sensitive(var.password)` returns the same value but MARKED SENSIT"
"tf-101","2","Y","","1.32","Y","current","current|utc|rfc","","","51","","3","A tag `LastDeployed` should record the time of the latest Terraform apply. `time"
"tf-003","2","Y","","1.31","Y","initialises","initialises","","","52","","3","An engineer runs `terraform init` in a fresh clone of an infrastructure-as-code "
"tf-150","2","Y","","1.31","Y","feature","feature","","","60","","3","A Terraform Cloud plan introduces 12 EC2 instances + 3 RDS databases. Before app"
"tf-141","2","Y","","1.27","","","","","Y","12","","3","Terraform keeps both `terraform.tfstate` and `terraform.tfstate.backup`. What is"
"tf-157","2","Y","","1.26","Y","known","known|after|attribute","","","27","","4","You have two resources where resource B needs an attribute from resource A that "
"tf-026","2","Y","","1.25","Y","null","null","","","59","","3","A Terraform config needs to RUN A LOCAL COMMAND that has no real-cloud counterpa"
"tf-112","2","Y","","1.25","Y","jsondecode","jsondecode","","","47","","3","A configuration reads `policy.json` (an AWS IAM policy as JSON) and passes it to"
"tf-098","2","Y","","1.23","Y","userdata","userdata","","","27","","3","A shell script lives in `userdata.sh` and must be injected as EC2 user-data, rea"
"tf-145","2","Y","","1.23","Y","generates","generates|repeated|nested|blocks","","","26","","3","An `aws_security_group` needs one `ingress` nested block per allowed port, drive"
