id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"oci-foundations-010","2","Y","","1.22","Y","indefinitely","indefinitely","","","27","","3","A student wants to run a small Autonomous Database and a Compute instance indefi"
"oci-foundations-017","2","","Y","0.83","Y","events","events","","","31","","3","A piece of code must run only when an object lands in an Object Storage bucket, "
"oci-foundations-016","2","","Y","0.58","Y","kubernetes","kubernetes","","","23","","3","A development team wants to run containerized microservices on managed Kubernete"
"oci-foundations-009","1","Y","","1.59","","","","","","42","","3","A team is choosing between Oracle Autonomous Database and a self-managed OCI Dat"
"oci-foundations-007","1","Y","","1.52","","","","","","21","","4","For a workload that needs the highest IOPS per gigabyte on OCI Block Volumes, wh"
"oci-foundations-004","1","","","1.13","Y","span","span","","","21","","4","You are designing a VCN whose workload must span multiple availability domains f"
"oci-foundations-021","1","","","1.08","Y","cpu","cpu","","","24","","3","Operations wants an email whenever a production instance's CPU stays above 90% f"
"oci-foundations-018","1","","","1.04","Y","cpu","cpu","","","24","","3","A web tier on OCI must automatically add instances when average CPU exceeds 75% "
"oci-foundations-014","1","","","1.03","Y","rules","rules|vnics","","","29","","3","An architect wants firewall rules that apply only to a specific group of compute"
"oci-foundations-020","1","","","1.01","","","","","Y","11","","3","What is the relationship between a tenancy and compartments in OCI?"
"oci-foundations-022","1","","","0.99","","","","","Y","17","","3","Oracle differentiates its cloud SLAs by covering three distinct dimensions for k"
"oci-foundations-002","1","","","0.98","Y","tenancy","tenancy","","","29","","4","A finance team needs strict isolation of their OCI resources from engineering, b"
"oci-foundations-008","1","","Y","0.81","","","","","","26","","4","Which OCI Object Storage tier is designed for data that is rarely accessed and c"
"oci-foundations-011","1","","Y","0.73","","","","","","20","","5","Which OCI service should be used to centrally generate, store, and rotate encryp"
"oci-foundations-013","1","","Y","0.2","","","","","","31","","3","Instances in a private OCI subnet must download OS updates from repositories on "
"oci-foundations-015","1","","Y","0.18","","","","","","28","","3","A bank needs private connectivity from its on-premises data centre to OCI with c"
"oci-foundations-006","0","","","1.11","","","","","","34","","3","While sizing compute instances in OCI, an architect is deciding between flexible"
"oci-foundations-019","0","","","1.1","","","","","","30","","3","A script running ON an OCI compute instance must call OCI APIs to manage Object "
"oci-foundations-003","0","","","1.09","","","","","","23","","3","Which statement is valid OCI IAM policy syntax to let members of the group NetAd"
"oci-foundations-001","0","","","1","","","","","","35","","5","An architect is designing a highly available deployment on OCI and must place re"
"oci-foundations-012","0","","","0.99","","","","","","31","","4","A customer commits to a one-year spend with Oracle in exchange for discounted ra"
"oci-foundations-005","0","","","0.85","","","","","","32","","4","An OCI compute instance in a private subnet must pull packages from Oracle YUM r"
