id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"csa-018","1","","","1.13","Y","transform","transform|map","","","34","","5","A ServiceNow administrator configures a Transform Map for importing external dat"
"csa-023","1","","","1.13","Y","see","see|own","","","41","","5","A large organization hosts multiple business units on a single ServiceNow instan"
"csa-042","1","","Y","0.76","","","","","","39","","5","A ServiceNow administrator creates a list view for Incidents and wants to save t"
"csa-005","1","","Y","0.74","","","","","","25","","4","A ServiceNow administrator needs to promote custom configurations (Business Rule"
"csa-053","1","","Y","0.68","","","","","","34","","5","A company wants to use ServiceNow to manage software license compliance. The CMD"
"csa-043","1","","Y","0.65","","","","","","30","","5","A company uses ServiceNow Event Management. An external monitoring tool sends ev"
"csa-046","1","","Y","0.61","","","","","","38","","5","A ServiceNow instance is being upgraded to a new platform version. The upgrade p"
"csa-007","1","","Y","0.56","","","","","","33","","4","A ServiceNow Business Rule needs to automatically set the Incident Priority fiel"
"csa-033","1","","Y","0.56","","","","","","41","","4","A Service Catalog administrator creates a laptop request catalog item. Multiple "
"csa-045","1","","Y","0.56","","","","","","30","","5","A company's ServiceNow system property 'glide.ui.activity.stream.enabled' needs "
"csa-038","1","","Y","0.55","","","","","","42","","5","A company's ServiceNow administrator notices that a Business Rule is running on "
"csa-032","1","","Y","0.54","","","","","","34","","5","A ServiceNow administrator needs to connect ServiceNow to Jira Cloud so that whe"
"csa-054","1","","Y","0.53","","","","","","31","","5","A ServiceNow Flow Designer flow needs to call a third-party REST API and handle "
"csa-024","1","","Y","0.52","","","","","","35","","5","A developer wants to add a 'Mark Duplicate' button to the Incident form that set"
"csa-028","1","","Y","0.5","","","","","","36","","5","An employee wants to submit a new laptop request through a modern, consumer-styl"
"csa-022","1","","Y","0.49","","","","","","33","","5","An IT Operations team wants to automatically restart a Windows service on a serv"
"csa-044","1","","Y","0.48","","","","","","35","","5","A ServiceNow administrator needs to configure the system so that all users in th"
"csa-051","1","","Y","0.48","","","","","","41","","5","A ServiceNow administrator needs to restrict a field on the Incident form so tha"
"csa-048","1","","Y","0.47","","","","","","39","","5","An organization wants all employees to be able to view an IT status page in Serv"
"csa-034","1","","Y","0.46","","","","","","36","","5","A ServiceNow CMDB is being used for change impact analysis. Before approving a c"
"csa-060","1","","Y","0.46","","","","","","56","","5","A new employee starts at a company. Their onboarding requires: creating a user a"
"csa-015","1","","Y","0.44","","","","","","35","","5","A ServiceNow administrator needs to import user data from an HR system CSV file "
"csa-037","1","","Y","0.44","","","","","","36","","5","A MID Server is installed on a Windows VM inside the corporate network. The Disc"
"csa-035","1","","Y","0.43","","","","","","37","","4","A ServiceNow Knowledge Base article is being written to document the workaround "
"csa-039","1","","Y","0.43","","","","","","36","","5","A ServiceNow administrator needs to give a vendor's application in another accou"
"csa-041","1","","Y","0.43","","","","","","34","","5","A company uses a custom table 'x_vendor_orders' in a scoped application. A Globa"
"csa-017","1","","Y","0.42","","","","","","33","","5","A company wants to track 'Mean Time to Resolve' (MTTR) for incidents over the pa"
"csa-056","1","","Y","0.42","","","","","","33","","5","A ServiceNow virtual agent chatbot is being deployed to help employees self-reso"
