id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"cks-055","3","","Y","0.58","Y","user","user","Y","","21","","4","A security incident requires identifying which user deleted a Secret in the `pro"
"cks-034","2","","Y","0.84","","","","Y","","38","","3","A cluster stores Kubernetes Secrets in etcd with default base64 encoding only. T"
"cks-015","2","","","0.83","Y","user","user|system|group","Y","","41","","3","On a hardened control plane, the operator sets `--anonymous-auth=false` on the k"
"cks-054","2","","Y","0.61","","","","Y","","38","","3","A SOC analyst writes a Falco rule that should fire whenever an attacker drops in"
"cks-010","2","","Y","0.2","","","","Y","","51","","3","A cluster admin is moving control-plane nodes from v1.29 to v1.30 using kubeadm."
"cks-018","1","","","0.99","","","","Y","","43","","3","A security engineer is hardening worker nodes against the CIS Kubernetes Benchma"
"cks-048","1","","","0.99","","","","Y","","19","","4","You configure an `ImagePolicyWebhook` with `defaultAllow: false`. The webhook se"
"cks-057","1","","","0.99","","","","Y","","36","","3","Forensic logs show attackers reading `/proc/1/environ` inside containers, extrac"
"cks-032","1","","","0.98","","","","Y","","22","","4","After labeling `prod` namespace with `pod-security.kubernetes.io/enforce: restri"
"cks-009","1","","","0.96","Y","own","own","","","20","","4","You want to prevent kubelets from modifying Node or Pod objects outside their ow"
"cks-013","1","","","0.95","","","","Y","","22","","4","Your security team requires that no Pod can run with `privileged: true`. Which b"
"cks-023","1","","","0.95","","","","Y","","41","","3","A team wants to prevent attackers who land remote code execution from installing"
"cks-058","1","","","0.93","","","","Y","","27","","4","A runtime security incident is detected in a container. You need to capture its "
"cks-019","1","","","0.92","","","","Y","","20","","4","You need to permanently prevent the `dccp` kernel module from loading on a Kuber"
"cks-020","1","","","0.91","","","","Y","","31","","4","A container escapes and needs root on the host. Which kernel feature in Kubernet"
"cks-017","1","","","0.79","","","","Y","","23","","4","You want a container to use the `RuntimeDefault` seccomp profile to restrict its"
"cks-045","1","","Y","0.78","","","","","","23","","4","During a security audit, you must produce a Software Bill of Materials (SBOM) fo"
"cks-038","1","","","0.75","","","","Y","","29","","4","You want to statically analyze a Pod YAML manifest for security risks before app"
"cks-024","1","","Y","0.72","","","","","","18","","4","Which Pod spec setting represents the MOST dangerous privilege escalation risk a"
"cks-037","1","","Y","0.7","","","","","","18","","4","You are building a Go binary container image. Which Dockerfile pattern produces "
"cks-033","1","","Y","0.69","","","","","","24","","4","An attacker obtained a Kubernetes Secret. The external token has been rotated bu"
"cks-043","1","","Y","0.69","","","","","","26","","4","You deploy a mutating admission webhook that injects sidecars into Pods. The web"
"cks-049","1","","Y","0.69","","","","","","20","","4","You want a Falco rule to alert when a process inside any container reads `/etc/s"
"cks-056","1","","Y","0.59","","","","","","51","","3","During incident response on a compromised microservice, the IR lead replaces the"
"cks-004","1","","Y","0.58","","","","","","49","","3","An admin is initialising a cluster via `kubeadm init` and needs the API server c"
"cks-053","1","","Y","0.58","","","","","","19","","4","You want to stream Kubernetes audit logs to an external SIEM in near-real time. "
"cks-050","1","","Y","0.54","","","","","","19","","4","Your audit policy generates too many low-value events. How do you suppress `get`"
"cks-041","1","","Y","0.47","","","","","","52","","3","A platform team is choosing a base image for production Go services. They evalua"
"cks-047","1","","Y","0.42","","","","","","18","","4","You integrate vulnerability scanning into your CI pipeline. At which stage shoul"
"cks-021","1","","Y","0.35","","","","","","21","","4","A container needs to bind to port 80 but must not have any other elevated privil"
"cks-014","1","","Y","0.33","","","","","","20","","4","Kubernetes service account tokens have no expiration by default. What mechanism "
"cks-016","1","","Y","0.32","","","","","","25","","4","You want to apply an AppArmor profile named `no-write-etc` (already loaded on th"
"cks-001","1","","Y","0.31","","","","","","29","","4","A namespace `prod` contains a web app that should only accept traffic from Pods "
"cks-multi-1","1","","","0","","","","Y","","28","","3","A team wants to reduce the blast radius of a process running inside a container "
"cks-051","0","","","1.14","","","","","","41","","3","A team enforcing immutable container infrastructure wants three properties combi"
"cks-011","0","","","1.13","","","","","","23","","4","A microservice needs to read ConfigMaps in `config` namespace and list Deploymen"
"cks-040","0","","","1.13","","","","","","18","","4","You want to prevent Pods from pulling images from registries other than `registr"
"cks-052","0","","","1.12","","","","","","30","","3","A team runs Falco as a runtime threat detector in their cluster. They want every"
"cks-022","0","","","1.1","","","","","","21","","4","You want to prevent a container from gaining additional privileges via setuid/se"
"cks-060","0","","","1.1","","","","","","29","","4","You have a RuntimeClass `gvisor` with handler `runsc`. You want all Pods in the "
"cks-006","0","","","1.09","","","","","","21","","4","The CIS Kubernetes Benchmark recommends disabling anonymous authentication on th"
"cks-026","0","","","1.09","","","","","","21","","4","You want to use OPA Gatekeeper to prevent Pods from using the `latest` image tag"
"cks-008","0","","","1.07","","","","","","27","","4","A batch job Pod does not need to communicate with the Kubernetes API. What is th"
"cks-046","0","","","1.07","","","","","","24","","4","A Deployment needs to pull from a private registry requiring authentication. How"
"cks-012","0","","","1.05","","","","","","23","","4","Compliance requires that all Secret read operations are recorded with full reque"
"cks-036","0","","","1.05","","","","","","18","","4","A developer asks why Kubernetes Secrets are not truly secure by default. What is"
"cks-007","0","","","1.04","","","","","","20","","4","A developer needs to list and get Pods in the `dev` namespace only. Which RBAC c"
"cks-027","0","","","1.04","","","","","","24","","4","Your security team requires that Secret values never appear in `kubectl describe"
"cks-005","0","","","1.03","","","","","","23","","4","You need to expose a service via Ingress with TLS termination using a Kubernetes"
"cks-042","0","","","1.03","","","","","","18","","4","You write a Gatekeeper ConstraintTemplate to block images not from `registry.int"
"cks-030","0","","","1","","","","","","25","","4","You need to scan the `nginx:1.25` image for CRITICAL severity CVEs and fail the "
"cks-002","0","","","0.98","","","","","","25","","4","You run kube-bench against your cluster and it reports: `1.2.6 Ensure that the -"
"cks-003","0","","","0.98","","","","","","22","","4","Pods in your cluster should not be able to access the cloud provider's instance "
"cks-031","0","","","0.98","","","","","","20","","4","You have installed gVisor (`runsc`) on worker nodes and configured containerd wi"
"cks-028","0","","","0.97","","","","","","28","","5","A regulated environment requires stronger isolation than the default container r"
"cks-029","0","","","0.97","","","","","","21","","4","You want `production` namespace to deny non-compliant Pods, `staging` to warn, a"
"cks-044","0","","","0.96","","","","","","22","","4","You want to scan all running container images in the Kubernetes cluster for HIGH"
"cks-039","0","","","0.95","","","","","","18","","4","Your team uses Sigstore Cosign to sign images. Which command verifies that `regi"
"cks-035","0","","","0.88","","","","","","23","","4","Your organization uses HashiCorp Vault. Which approach integrates Vault with Kub"
"cks-025","0","","","0.86","","","","","","27","","4","Pod Security Admission is set to `restricted` on the `payments` namespace. A Pod"
"cks-059","0","","","0.84","","","","","","23","","4","Your audit policy logs Secrets at `RequestResponse` level, exposing base64 Secre"
