id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"salesforce-adm-201-009","2","Y","","1.43","Y","load","load","","","24","","4","An admin must load 600,000 Account records from a CSV exported by the legacy CRM"
"salesforce-adm-201-012","2","Y","","1.35","Y","industry","industry|public|read","","","34","","4","Account OWD is Private. The CFO needs all users in the 'Finance' public group to"
"salesforce-adm-201-005","2","Y","","1.24","Y","picklist","picklist|values","","","37","","3","A company sells both consumer products and enterprise services and needs differe"
"salesforce-adm-201-019","2","","Y","0.79","Y","agents","agents","","","25","","3","Call-centre agents must only be able to log in from the office network and only "
"salesforce-adm-201-003","1","Y","","1.51","","","","","","27","","3","With Opportunity OWD set to Private and 'Grant Access Using Hierarchies' enabled"
"salesforce-adm-201-011","1","Y","","1.27","","","","","","28","","3","HR needs the Compensation field on the Employee object to be invisible to standa"
"salesforce-adm-201-002","1","","","1.11","Y","setting","setting","","","31","","4","An admin wants to make the Opportunity object private by default so users only s"
"salesforce-adm-201-001","1","","","1.04","Y","regional","regional","","","45","","4","All users in an org have the Sales User profile, but a small group of regional m"
"salesforce-adm-201-008","1","","","1.03","Y","full","full|production","","","30","","3","Before a major release, the team needs an exact, near-real-time copy of producti"
"salesforce-adm-201-014","1","","","1.02","Y","named","named","","","34","","3","Web leads from the EMEA region must route automatically to a shared pool that se"
"salesforce-adm-201-016","1","","","1.01","Y","picklist","picklist","","","25","","3","When users pick Country on a record, the State picklist must show only the state"
"salesforce-adm-201-017","1","","","0.99","Y","fuzzy","fuzzy","","","34","","3","Reps keep creating Accounts that already exist under slightly different names. T"
"salesforce-adm-201-020","1","","Y","0.77","","","","","","34","","3","Sales leadership wants ONE dashboard where each manager sees data calculated fro"
"salesforce-adm-201-006","0","","","1.1","","","","","","29","","3","Salesforce has retired Workflow Rules and Process Builder for new automations. W"
"salesforce-adm-201-007","0","","","1.08","","","","","","43","","3","When an Opportunity Amount exceeds $250,000 it must be reviewed by the VP of Sal"
"salesforce-adm-201-022","0","","","1.05","","","","","","31","","3","An admin removes the Cost field from the Opportunity page layout for the Sales p"
"salesforce-adm-201-013","0","","","1.03","","","","","","37","","3","Each Invoice record must belong to exactly one Account, be deleted automatically"
"salesforce-adm-201-004","0","","","1.01","","","","","","35","","3","Sales leadership requires that an Opportunity cannot be saved with Stage = 'Clos"
"salesforce-adm-201-015","0","","","1","","","","","","28","","3","Support requires that any high-priority Case still unresolved 4 hours after crea"
"salesforce-adm-201-021","0","","","0.94","","","","","","25","","3","The company website must let visitors submit support requests that become Case r"
"salesforce-adm-201-010","0","","","0.92","","","","","","32","","3","A sales manager wants a report that shows opportunities grouped by Stage with su"
"salesforce-adm-201-018","0","","","0.9","","","","","","35","","3","Compliance asks two things: (1) who changed the Discount field on a specific Opp"
