id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"md-102-011","2","Y","","1.76","Y","but","but","","","50","","4","A field laptop is being reassigned from a departing employee to a new one. Corpo"
"md-102-006","2","Y","","1.54","Y","upload","upload","","","33","","4","You must deploy a 200-MB legacy line-of-business installer (setup.exe with sever"
"md-102-005","2","Y","","1.5","Y","catalog","catalog","","","35","","4","You must disable the Microsoft Edge built-in password manager on all managed Win"
"md-102-008","2","Y","","1.5","Y","encryption","encryption|drive|recovery","","","35","","4","You must silently enable BitLocker on the operating system drive of all corporat"
"md-102-004","2","Y","","1.48","Y","online","online|marked","","","27","","4","Only Intune-managed laptops marked compliant should be allowed to access SharePo"
"md-102-012","2","Y","","1.37","Y","android","android","","","31","","4","Corporate policy states that personally-owned Android devices are not allowed to"
"md-102-021","2","Y","","1.33","Y","mde","mde","","","25","","3","Security wants every Intune-managed Windows device automatically onboarded to Mi"
"md-102-003","2","Y","","1.3","Y","ring","ring|days|production","","","43","","4","You manage 500 Windows 11 devices in Intune. Change control requires that any ne"
"md-102-002","2","Y","","1.28","Y","anyway","anyway","","","50","","4","You configure a Windows Autopilot user-driven profile and an Enrollment Status P"
"md-102-007","1","Y","","1.6","","","","","","46","","4","Sales staff want to read corporate email and SharePoint files on their personal "
"md-102-022","1","Y","","1.21","","","","","","32","","3","An organization co-manages devices with Configuration Manager and Intune. They w"
"md-102-013","1","","","1.2","","","","","Y","13","","3","What is the difference between an Intune COMPLIANCE policy and a CONFIGURATION p"
"md-102-015","1","","","1.17","Y","imported","imported","","","31","","3","Finance department laptops must receive a specific Autopilot deployment profile "
"md-102-009","1","","","1.12","Y","applications","applications|creating|child","","","42","","4","Your security team wants to stop Office applications from creating child process"
"md-102-001","1","","","1.11","Y","required","required","","","51","","4","Contoso ships brand-new corporate laptops directly from the OEM to remote employ"
"md-102-018","1","","","0.99","Y","quality","quality","","","30","","3","A zero-day is being exploited and Microsoft has released an out-of-band quality "
"md-102-017","1","","","0.88","Y","schedule","schedule","","","37","","3","Helpdesk keeps fixing the same issue: a registry value reverting and breaking a "
"md-102-019","0","","","1.11","","","","","","28","","3","Branch offices with thin WAN links suffer when hundreds of devices each download"
"md-102-014","0","","","1.05","","","","","","31","","3","An employee with a personally-owned, Intune-enrolled laptop is leaving. Corporat"
"md-102-020","0","","","1","","","","","","25","","3","A warehouse needs shared Windows devices that boot straight into a single invent"
"md-102-016","0","","","0.97","","","","","","25","","3","Security requires that every managed Windows device have a unique, automatically"
"md-102-010","0","","","0.9","","","","","","44","","4","A new branch of a cloud-first company will deploy 50 freshly imaged Windows 11 l"
