id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"ccsk-010","1","Y","","1.24","","","","","","18","","4","Which control most directly reduces the risk that tampered or unauthorised code "
"ccsk-001","1","Y","","1.23","","","","","","22","","3","Under the shared responsibility model for a typical IaaS deployment, which area "
"ccsk-006","1","Y","","1.22","","","","","","34","","4","A security team discovers that thousands of permissions granted to users and mac"
"ccsk-002","1","Y","","1.15","","","","","","29","","3","Several government agencies with similar mission and compliance requirements sha"
"ccsk-009","1","","","1.12","Y","key","key","","","32","","4","A regulated organisation stores sensitive data with a SaaS provider but wants th"
"ccsk-004","1","","","1.05","Y","management","management|plane|apis","","","22","","3","In CSA's logical model of cloud computing, the management plane, APIs and identi"
"ccsk-007","1","","","1.01","Y","policies","policies|workloads","","","31","","3","An architecture team wants east-west traffic between workloads inside the same V"
"ccsk-018","1","","","0.96","Y","availability","availability","","","27","","3","An architect must keep a customer-facing service available even if an entire ava"
"ccsk-005","1","","","0.92","Y","registry","registry","","","25","","4","An auditor wants to review a cloud provider's self-attestation against the Cloud"
"ccsk-013","1","","Y","0.42","","","","","","38","","3","A security team wants a tool that continuously scans its IaaS accounts for misco"
"ccsk-011","0","","","1.14","","","","","","22","","3","What is the most distinctive forensic challenge of investigating a security inci"
"ccsk-008","0","","","1.12","","","","","","33","","3","A platform team decides that no running instance will ever be patched in place. "
"ccsk-019","0","","","1.07","","","","","","27","","3","During a suspected compromise of a cloud VM, the responder wants to contain the "
"ccsk-016","0","","","1.06","","","","","","29","","3","A European customer is legally required to keep personal data within the EU. Whi"
"ccsk-003","0","","","1.04","","","","","","31","","3","A developer wants to upload code that runs on demand, with the provider transpar"
"ccsk-014","0","","","1.02","","","","","","26","","3","An enterprise wants its employees to access multiple cloud providers without man"
"ccsk-020","0","","","1.02","","","","","","18","","3","In a managed Kubernetes service (such as EKS, AKS or GKE), which security respon"
"ccsk-022","0","","","1.01","","","","","","29","","3","A CIO worries the company is becoming so dependent on one cloud provider's propr"
"ccsk-012","0","","","0.96","","","","","","23","","3","Which statement best captures the core principles of Zero Trust as it applies to"
"ccsk-021","0","","","0.93","","","","","","23","","3","A team stores regulated data in a provider's object storage with provider-manage"
"ccsk-017","0","","","0.91","","","","","","33","","3","After a risk assessment, an organisation decides its cloud workload's residual b"
"ccsk-015","0","","","0.89","","","","","","41","","3","A company must guarantee that customer data is irrecoverable when it leaves a Sa"
