id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"f5201-008","2","Y","1.93","Y","unit","unit","","20","","3","Two BIG-IPs run a sync-failover device group. When the active unit fails, which "
"f5201-002","2","Y","1.68","Y","layer","layer","","28","","3","An administrator needs a virtual server that accelerates TCP traffic at Layer 4 "
"f5201-003","2","Y","1.53","Y","connections","connections","","18","","3","Which load-balancing method directs each new connection to the pool member that "
"f5201-004","1","Y","1.88","","","","","25","","3","A web pool must be marked UP only when each member answers ICMP and returns HTTP"
"f5201-010","1","Y","1.66","","","","","34","","3","An engineer is documenting a BIG-IP HA pair when a colleague asks how the two ki"
"f5201-005","1","Y","1.61","","","","","33","","3","A web application rate-limits and logs by client IP, so the servers behind a BIG"
"f5201-006","1","Y","1.24","","","","","44","","3","A web application requires that, once a user is steered to a pool member, all su"
"f5201-007","1","Y","1.15","","","","","24","","3","The BIG-IP must terminate HTTPS from clients and forward clear-text HTTP to pool"
"f5201-011","1","","0.86","Y","request","request","","28","","3","Which iRule event fires after the BIG-IP has fully parsed an HTTP request header"
"f5201-012","1","","0.84","Y","ltm","ltm","","30","","3","An administrator notices pool members are being marked DOWN intermittently. Whic"
"f5201-001","0","","1.14","","","","","32","","3","A new administrator is studying the BIG-IP TMOS architecture and how responsibil"
"f5201-009","0","","1.11","","","","","31","","3","After making several changes in tmsh on a BIG-IP, an engineer needs to persist t"
