id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"casp-016","2","Y","","1.86","Y","edge","edge","","","27","","4","An enterprise adopts a Secure Access Service Edge (SASE) model. What is the prim"
"casp-011","2","Y","","1.81","Y","metadata","metadata|ssrf|role","","","35","","3","An attacker exploits an SSRF in a public web app to reach the cloud instance met"
"casp-022","2","Y","","1.76","Y","while","while","","","32","","4","An architect must protect sensitive data used by analysts who need to run querie"
"casp-015","2","Y","","1.75","Y","pipeline","pipeline","","","25","","4","A DevSecOps team wants to catch insecure code before it is merged, with minimal "
"casp-018","2","Y","","1.74","Y","running","running","","","27","","4","An incident responder must preserve evidence from a running Linux server suspect"
"casp-013","2","Y","","1.65","Y","device","device|posture|user","","","36","","4","A security architect must design authentication for a zero-trust network. A user"
"casp-021","2","Y","","1.63","Y","adversary","adversary","","","20","","4","A threat-intelligence program wants to move from reacting to alerts toward antic"
"casp-008","2","Y","","1.6","Y","customer","customer","","","35","","3","A SaaS vendor proposes inline access to customer email for spam classification. "
"casp-012","2","Y","","1.53","Y","forensic","forensic","","","20","","3","Forensic responders arrive at a compromised Linux host that is still powered on."
"casp-004","2","Y","","1.5","Y","sbom","sbom|artefact","","","35","","3","A regulator now requires the firm to produce a Software Bill of Materials (SBOM)"
"casp-019","2","Y","","1.46","Y","client","client","","","29","","4","A company deploys an API gateway in front of dozens of microservices. Which cont"
"casp-002","2","Y","","1.35","Y","algorithm","algorithm","","","34","","3","An architect is asked to make the firm ""crypto-agile"" ahead of NIST's post-quant"
"casp-005","2","Y","","1.33","Y","require","require","","","34","","3","A bank is re-issuing its internal PKI. Auditors require that the root CA's priva"
"casp-014","1","Y","","2.06","","","","","","29","","4","An organization is preparing for the migration risk posed by future quantum comp"
"casp-020","1","Y","","1.76","","","","","","23","","4","A regulated firm must prove that cryptographic keys used to sign transactions ca"
"casp-017","1","Y","","1.66","","","","","","25","","4","A merger requires connecting two companies' networks quickly while limiting the "
"casp-010","1","Y","","1.49","","","","","","29","","3","A DLP rollout keeps blocking legitimate finance traffic because executives mail "
"casp-009","1","Y","","1.42","","","","","","25","","3","An architect is designing a Zero Trust deployment for a hybrid workforce. Which "
"casp-003","1","Y","","1.34","","","","","","45","","3","During threat modelling of a new payments microservice, the team is using STRIDE"
"casp-006","1","Y","","1.31","","","","","","26","","3","The SOC is buried in low-fidelity SIEM alerts and wants to bring mean-time-to-re"
"casp-007","1","Y","","1.18","","","","","","37","","3","During a tabletop, the IR lead notes that the firm's BC/DR plan promises a four-"
"casp-001","0","","","1.08","","","","","","45","","3","A multinational firm is consolidating identity onto a single cloud IdP and wants"
