id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"cism-008","3","Y","","1.32","Y","production","production","","Y","17","","3","Which of the following is the PRIMARY purpose of separating duties between devel"
"cism-005","2","Y","","1.32","","","","","Y","14","","3","Which of the following BEST describes the difference between inherent risk and r"
"cism-012","2","Y","","1.21","Y","credentials","credentials","","","23","","3","An information security manager learns that a developer has stored production da"
"cism-010","2","Y","","1.19","Y","response","response","","","28","","3","A ransomware incident is in progress. Threat actors have encrypted file servers "
"cism-007","1","Y","","1.27","","","","","","21","","3","An information security manager is building the security program roadmap. Which "
"cism-011","1","Y","","1.25","","","","","","25","","3","After containing a major incident, the security manager is preparing the post-in"
"cism-006","1","Y","","1.17","","","","","","25","","3","A business unit proposes adopting a SaaS application that processes regulated cu"
"cism-003","1","","","1.11","Y","management","management","","","23","","3","Which of the following is the MOST important reason for an organization to defin"
"cism-001","1","","","1.1","Y","strategy","strategy","","","24","","3","A newly hired information security manager finds that the organization has no do"
"cism-018","1","","","1.04","","","","","Y","11","","3","What is the PRIMARY function of an information security steering committee?"
"cism-022","1","","","1.02","","","","","Y","17","","3","When reporting the state of information risk to the board of directors, which ap"
"cism-020","1","","","0.98","","","","","Y","14","","3","Which measure BEST demonstrates that a security awareness program is actually ch"
"cism-009","1","","","0.9","Y","response","response","","","20","","3","When establishing an incident response capability, which document defines the ma"
"cism-014","1","","","0.88","","","","","Y","13","","3","Who is PRIMARILY responsible for assigning the classification level of a custome"
"cism-017","1","","Y","0.64","","","","","","20","","3","During business continuity planning, which exercise PRIMARILY determines the max"
"cism-002","0","","","1.13","","","","","","23","","3","The board asks the information security manager how to demonstrate that the secu"
"cism-016","0","","","1.11","","","","","","43","","3","A critical application cannot be patched against a known vulnerability for six m"
"cism-004","0","","","1.08","","","","","","33","","3","During a risk assessment a critical legacy application is found to have an unacc"
"cism-013","0","","","1.05","","","","","","30","","3","An organization documents that all laptops MUST use full-disk encryption with AE"
"cism-015","0","","","1.03","","","","","","29","","3","The security manager tracks 'percentage of critical systems with patches older t"
"cism-019","0","","","0.92","","","","","","21","","3","At which point in a system development project is it MOST cost-effective for the"
"cism-021","0","","","0.86","","","","","","33","","3","A fire has made the primary data centre unusable and the recovery time objective"
