id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"pcne-014","1","","","1.06","Y","port","port","","","55","","4","A managed instance group of backend VMs sits behind an internal passthrough Netw"
"pcne-001","1","","","1.03","Y","projects","projects","","","40","","4","A company has 12 GCP projects organized by team. The platform team owns network "
"pcne-004","1","","","1.03","Y","next-hop","next-hop","","","38","","4","All internet egress from a VPC's two regions must flow through a centralized nex"
"pcne-007","1","","","1.03","Y","dedicated","dedicated","","","31","","4","A company needs 12 Gbps of dedicated, low-latency connectivity between a single "
"pcne-016","1","","","1.03","Y","provide","provide","","","47","","4","VMs in a subnet have only internal IP addresses and must make outbound connectio"
"pcne-009","1","","","1.02","Y","packet","packet","","","35","","4","The security team operates an existing Suricata-based intrusion detection platfo"
"pcne-010","0","","","1.04","","","","","","43","","4","GCE VMs in a subnet have only internal IP addresses and need to call BigQuery an"
"pcne-013","0","","","1.03","","","","","","55","","4","An on-premises network is connected to a GCP VPC over HA VPN with Cloud Router u"
"pcne-012","0","","","1.02","","","","","","57","","4","Two custom-mode VPCs, vpc-a (10.10.0.0/16) and vpc-b (10.20.0.0/16), are connect"
"pcne-003","0","","","1","","","","","","44","","4","You are sizing subnet ranges for a VPC-native GKE cluster expected to grow to 20"
"pcne-005","0","","","0.99","","","","","","36","","4","A backend service on GKE in us-central1 must be reachable from on-premises clien"
"pcne-011","0","","","0.99","","","","","","54","","4","A public-facing HTTPS service behind a global external Application Load Balancer"
"pcne-015","0","","","0.97","","","","","","52","","4","A platform team is designing a new VPC for a large enterprise that already opera"
"pcne-006","0","","","0.95","","","","","","42","","4","Workloads in a GCP VPC must resolve hostnames in the on-premises corp.example.co"
"pcne-008","0","","","0.94","","","","","","38","","4","Twelve project VPCs need full-mesh reachability with each other and with on-prem"
"pcne-002","0","","","0.89","","","","","","36","","4","An e-commerce site runs identical backend services in us-central1 and europe-wes"
