id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"saa-021","2","","Y","0.8","Y","cidr","cidr","","","47","","4","A security engineer is hardening an EC2 web server in a public subnet that requi"
"saa-028","2","","Y","0.66","Y","production","production","","","45","","4","A DevOps engineer with full console access accidentally runs `aws cloudformation"
"saa-004","1","","","1","Y","us-east-1a","us-east-1a","","","54","","4","An e-commerce site runs EC2 instances behind an ALB, with all instances in a sin"
"saa-017","1","","","0.94","Y","uploads","uploads","","","68","","4","A media sharing platform lets users upload large video files from a browser. Cur"
"saa-036","1","","","0.91","Y","sns","sns","","","58","","4","A company's analytics portal lets users request custom PDF reports that take 8–1"
"saa-059","1","","Y","0.85","","","","","","58","","5","A financial services firm must satisfy a compliance mandate that all AWS API act"
"saa-005","1","","Y","0.84","","","","","","46","","4","A DevOps engineer discovers that an EC2 web application is calling S3 using acce"
"saa-010","1","","Y","0.84","","","","","","51","","5","An e-commerce platform's order service publishes completed orders to three indep"
"saa-049","1","","Y","0.84","","","","","","56","","4","A financial services company operates 14 AWS accounts under a single AWS Organiz"
"saa-003","1","","Y","0.82","","","","","","34","","4","An application stores user-uploaded files in S3. Files are frequently accessed f"
"saa-035","1","","Y","0.8","","","","","","46","","4","A startup is migrating its monolith to about 20 containerized microservices. The"
"saa-030","1","","Y","0.76","","","","","","66","","4","A financial services company stores sensitive compliance reports in an S3 bucket"
"saa-053","1","","Y","0.76","","","","","","68","","4","A fintech startup's web API sits behind an Application Load Balancer. A penetrat"
"saa-040","1","","Y","0.75","","","","","","59","","4","A genomics company runs a batch analysis pipeline on EC2 that processes 3 TB of "
"saa-025","1","","Y","0.74","","","","","","61","","4","A mobile app startup has an existing Cognito User Pool for authentication. The d"
"saa-002","1","","Y","0.72","","","","","","69","","5","An online gaming platform stores a real-time leaderboard mapping player IDs to s"
"saa-044","1","","Y","0.63","","","","","","38","","4","A financial company's on-premises Oracle 19c database is written to 24/7 and mus"
"saa-007","0","","","1.08","","","","","","48","","4","A startup's production environment has web servers in public subnets and applica"
"saa-033","0","","","1.04","","","","","","52","","4","An e-commerce checkout API runs on an EC2 Auto Scaling group. Flash sale announc"
"saa-056","0","","","1.03","","","","","","61","","4","A web application runs on an EC2 instance with an instance profile granting s3:*"
"saa-009","0","","","1.02","","","","","","46","","4","A security audit finds that a Lambda function processing payment records connect"
"saa-020","0","","","1.02","","","","","","52","","4","A security engineer at a financial services company needs all S3 buckets in the "
"saa-018","0","","","1.01","","","","","","56","","4","A company has grown to 15 AWS accounts across different business units. The secu"
"saa-050","0","","","1.01","","","","","","55","","4","A fintech company's SOC 2 audit requires that third-party auditors, who operate "
"saa-060","0","","","1.01","","","","","","68","","4","A development team is decomposing a monolithic order platform into ECS Fargate m"
"saa-023","0","","","1","","","","","","56","","4","A healthcare startup stores de-identified patient records in S3. A new complianc"
"saa-046","0","","","1","","","","","","51","","4","A SaaS provider runs a payment-processing API inside their AWS VPC. A customer c"
"saa-047","0","","","1","","","","","","67","","4","A team's serverless checkout API runs on API Gateway backed by Lambda. During a "
"saa-006","0","","","0.98","","","","","","64","","4","A SaaS company's CRM application uses Amazon RDS MySQL as its primary database. "
"saa-012","0","","","0.98","","","","","","40","","4","A company runs a compliance archival system where regulatory documents are uploa"
"saa-034","0","","","0.98","","","","","","61","","4","A company's security policy requires that IAM users cannot perform any AWS API a"
"saa-041","0","","","0.98","","","","","","54","","4","A SaaS company wants to enforce HTTPS on its public web application. Users who a"
"saa-022","0","","","0.97","","","","","","39","","4","A data analytics pipeline ingests hundreds of thousands of events per second fro"
"saa-037","0","","","0.97","","","","","","33","","4","An Aurora MySQL cluster needs to handle a sudden 10x increase in read traffic du"
"saa-026","0","","","0.96","","","","","","76","","4","An operations team at a regional bank runs a critical MySQL database on Amazon R"
"saa-031","0","","","0.96","","","","","","50","","4","An image-processing service is triggered by S3 uploads and runs on AWS Lambda. H"
"saa-048","0","","","0.96","","","","","","49","","4","A data engineering team stores 18 months of clickstream logs in Amazon S3 as Par"
"saa-052","0","","","0.96","","","","","","59","","5","A media company built a proprietary transcoding engine that runs as a Docker con"
"saa-019","0","","","0.95","","","","","","57","","4","A company's EC2 instances run in a private subnet with no internet access. The i"
"saa-057","0","","","0.95","","","","","","44","","4","A company runs an active-passive disaster-recovery configuration across two AWS "
"saa-008","0","","","0.94","","","","","","62","","5","A global software vendor needs to publish product documentation, images, and dow"
"saa-051","0","","","0.94","","","","","","57","","4","A Lambda function reads 15 SSM Parameter Store values synchronously on every inv"
"saa-015","0","","","0.93","","","","","","36","","3","A company needs to migrate 50 TB of data to S3. Their internet connection is 100"
"saa-024","0","","","0.93","","","","","","63","","4","A security audit at a three-tier e-commerce company reveals that the RDS MySQL d"
"saa-038","0","","","0.93","","","","","","49","","4","A cloud security team must deploy a standard AWS CloudTrail configuration to all"
"saa-039","0","","","0.93","","","","","","53","","4","A fintech company stores payment transactions in DynamoDB. For regulatory compli"
"saa-013","0","","","0.92","","","","","","57","","4","A financial application processes wire transfer instructions from an SQS queue u"
"saa-032","0","","","0.92","","","","","","61","","4","A startup operates 50 Lambda functions and an EC2 Auto Scaling group, all of whi"
"saa-054","0","","","0.92","","","","","","69","","4","A three-tier e-commerce application runs web servers, app servers, and an RDS My"
"saa-016","0","","","0.9","","","","","","57","","4","A financial reporting service writes an account balance to DynamoDB and immediat"
"saa-042","0","","","0.9","","","","","","58","","5","A bank's compliance team must ensure that API audit logs shipped to an S3 bucket"
"saa-043","0","","","0.9","","","","","","39","","4","A company's e-commerce platform is fully stateless and handles flash sales that "
"saa-055","0","","","0.9","","","","","","56","","4","A media company's BI team runs nightly reports that JOIN a 3 TB fact table again"
"saa-001","0","","","0.89","","","","","","45","","4","A retail website runs on EC2 instances behind an ALB. Server load surges without"
"saa-014","0","","","0.89","","","","","","51","","4","A horizontally scaled web tier runs across multiple EC2 instances behind an ALB."
"saa-011","0","","","0.88","","","","","","64","","4","A financial services firm transfers 4 TB of market-data feeds per day from its c"
"saa-029","0","","","0.88","","","","","","47","","4","An e-commerce platform sends 2 million order confirmations and password-reset em"
"saa-058","0","","","0.88","","","","","","77","","4","An operations team manages EC2 instances in private subnets with no NAT gateway "
"saa-027","0","","","0.86","","","","","","43","","4","A SaaS company serves 2 million active users spread across North America, Europe"
"saa-045","0","","","0.84","","","","","","45","","4","An enterprise manages a central networking account containing a VPC with careful"
