id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"kcna-005","1","","","1.03","Y","interface","interface|widely|deployed","","","33","","5","Since the dockershim was removed from Kubernetes, which interface does the kubel"
"kcna-009","1","","","1","Y","backends","backends","","","37","","5","A platform engineer must collect metrics, logs, and traces from heterogeneous se"
"kcna-012","1","","","1","Y","job","job","","","37","","5","A batch job must run to completion exactly once, retrying on failure but not res"
"kcna-008","1","","","0.99","Y","serverless","serverless|top","","","39","","5","A team wants to run an HTTP function that wakes on request, scales out as traffi"
"kcna-011","1","","","0.99","Y","non-sensitive","non-sensitive|confidential|environment|mounted","","","40","","5","An application reads its connection string from an environment variable and a TL"
"kcna-016","1","","","0.97","Y","operators","operators|override","","","38","","5","A developer wants to package a Kubernetes application as a versioned, parameteri"
"kcna-015","1","","","0.96","Y","projects","projects|mature","","","35","","5","An organization wants to compare and select CNCF projects based on their maturit"
"kcna-013","1","","","0.87","Y","status","status","","","32","","5","On a node, which Kubernetes component is responsible for watching the API server"
"kcna-002","1","","","0.82","Y","reachable","reachable","","","37","","5","An internal API must be reachable from other workloads in the cluster by a stabl"
"kcna-014","0","","","1.02","","","","","","25","","5","A team needs to set CPU and memory `requests` and `limits` correctly. Which stat"
"kcna-006","0","","","1","","","","","","18","","5","According to the Kubernetes networking model, which statement is always true abo"
"kcna-010","0","","","0.99","","","","","","29","","5","A team adopts GitOps for application delivery using a controller such as Argo CD"
"kcna-004","0","","","0.94","","","","","","32","","5","A Pod requires durable storage that survives Pod restarts and rescheduling onto "
"kcna-003","0","","","0.88","","","","","","41","","5","A platform team must roll out a new version of a stateless web service with zero"
"kcna-001","0","","","0.86","","","","","","35","","5","Two containers in the same Pod can reach each other on `localhost` and read file"
"kcna-007","0","","","0.83","","","","","","36","","5","A workload's CPU usage varies sharply between business hours and overnight, and "
