id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"vault-024","2","Y","","1.22","Y","mounted","mounted|current","","","19","","4","Which Vault secrets engine is automatically mounted, scoped exclusively to the c"
"vault-025","2","Y","","1.21","Y","value","value","","","19","","4","An operator needs to revoke a specific token without knowing the token's actual "
"vault-027","2","","Y","0.84","Y","once","once|initial","","","48","","3","On a brand-new Vault server with no data, an operator runs a single command that"
"vault-044","2","","Y","0.79","Y","relinquish","relinquish|leadership|election","","","49","","3","An operator wants to force a controlled leader election on a Vault HA cluster — "
"vault-014","1","Y","","1.29","","","","","","37","","4","A team uses response wrapping to deliver an AppRole secret_id to a new service. "
"vault-045","1","Y","","1.27","","","","","","24","","4","Which Vault feature allows path-based routing rules to override or deny access b"
"vault-021","1","","","1.08","Y","projected","projected|service-account|jwt","","","41","","3","A pod running in a managed cluster needs to read database credentials from Vault"
"vault-013","1","","","1.07","Y","daemon","daemon|files","","","21","","3","Which Vault component runs as a client-side daemon, handles automatic authentica"
"vault-046","1","","","1.06","Y","acl","acl","","","28","","4","A team stores secrets at `secret/data/team-a/db`. They want to enforce that only"
"vault-040","1","","","1.05","Y","revoked","revoked","","","51","","3","A workload requests a token whose lifetime should NOT depend on the lifetime of "
"vault-018","1","","","1.04","Y","consensus","consensus","","","37","","3","A team is choosing the storage backend for a production Vault cluster. They want"
"vault-032","1","","","1.03","Y","ssh","ssh|pam","","","40","","3","An infrastructure team wants to grant engineers SSH access to ephemeral VMs with"
"vault-037","1","","","1.03","Y","file","file|listener|telemetry|seal","","","43","","3","A platform engineer is installing a Vault binary on a fresh host. Before startin"
"vault-038","1","","","1.03","Y","health","health","","","40","","3","An administrator is exploring Vault's HTTP API. They notice that mount tuning, h"
"vault-043","1","","","1.03","Y","method","method","","","20","","4","An application runs in AWS EC2. Which Vault auth method allows the EC2 instance "
"vault-002","1","","","1.02","Y","generates","generates","","","19","","4","Which Vault secrets engine generates real AWS IAM credentials with a configurabl"
"vault-015","1","","","1.02","Y","write","write","","","35","","3","A security-conscious operator configures multiple audit devices on a Vault clust"
"vault-007","1","","","0.98","Y","generated","generated|lease","","","51","","3","A microservice requests a database credential. Instead of being handed a long-li"
"vault-011","1","","","0.97","Y","short-lived","short-lived|demand","","","21","","4","A company wants to eliminate long-lived TLS certificates (valid 1–2 years). Whic"
"vault-004","1","","","0.96","Y","accessor","accessor","","","41","","3","After any successful authentication against Vault (userpass, AppRole, AWS IAM, K"
"vault-035","1","","","0.95","Y","streams","streams|store|local","","","56","","3","A Vault HA cluster runs on integrated storage. The operator needs to take a cons"
"vault-006","1","","","0.94","Y","adds","adds|versioning|soft-delete","","","32","","3","A team is choosing between two flavours of the static-secrets engine. One stores"
"vault-049","1","","","0.94","Y","environment","environment|variable|address","","","24","","4","What is the vault CLI environment variable used to set the Vault server address "
"vault-031","1","","","0.85","Y","max","max","","","31","","4","A Vault token has a TTL of 1 hour but the application needs it to remain valid f"
"vault-008","0","","","1.14","","","","","","23","","4","A Vault lease is about to expire. The application calls `vault lease renew`. Wha"
"vault-009","0","","","1.13","","","","","","18","","3","In AppRole authentication, which component is considered NON-sensitive and can b"
"vault-050","0","","","1.1","","","","","","28","","5","A company wants to ensure that even if the Vault database is stolen, stored secr"
"vault-047","0","","","1.09","","","","","","45","","3","A new operator on a fresh Vault server wants to enable the database secrets engi"
"vault-010","0","","","1.08","","","","","","27","","4","An application needs to encrypt sensitive data before storing it in a database b"
"vault-039","0","","","1.08","","","","","","27","","4","A Vault admin wants to provide an external team temporary read access to a speci"
"vault-033","0","","","1.07","","","","","","46","","3","A new client authenticates and receives a token with two policies listed: the ap"
"vault-003","0","","","1.06","","","","","","19","","4","An application needs to authenticate to Vault without human interaction. Which a"
"vault-023","0","","","1.06","","","","","","20","","4","A high-throughput application creates thousands of Vault tokens per second. Whic"
"vault-019","0","","","1.05","","","","","","22","","4","A user authenticates to Vault via LDAP and also via GitHub. How does Vault's ide"
"vault-042","0","","","1.05","","","","","","34","","3","On a KV-v2 mount, an operator runs `vault kv delete secret/app/db` then later ru"
"vault-016","0","","","1.04","","","","","","18","","4","A Vault server starts and is in 'sealed' state. What must happen before it can s"
"vault-020","0","","","1.04","","","","","","18","","4","Vault Namespaces is a feature that allows multi-tenant deployments within a sing"
"vault-028","0","","","1.04","","","","","","24","","4","A team wants to create a Vault policy that allows listing secrets in `secret/tea"
"vault-029","0","","","1.04","","","","","","39","","3","A regulated bank wants to avoid distributing unseal-key shares to five humans. I"
"vault-048","0","","","1.04","","","","","","18","","4","An operator runs `vault token lookup` and sees `renewable: false`. What does thi"
"vault-026","0","","","1.03","","","","","","39","","3","A policy attached to a token reads: `path ""secret/data/app/*"" { capabilities = ["
"vault-030","0","","","1.03","","","","","","31","","3","A dynamic database credential was issued with a 1-hour lease. After 10 minutes t"
"vault-041","0","","","1.01","","","","","","19","","4","A Vault audit log shows a request with HMAC-ed token value. Why are token values"
"vault-001","0","","","0.99","","","","","","50","","3","A fintech platform stores database passwords, API keys, and TLS private keys sca"
"vault-017","0","","","0.99","","","","","","20","","4","In a Vault HA cluster, a client sends a request to a standby node. What does the"
"vault-022","0","","","0.97","","","","","","38","","3","An administrator is scripting Vault setup. All auth method tuning (enabling, dis"
