id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"splunkadmin-014","2","Y","","2.14","Y","apps","apps","","","26","","4","A universal forwarder must send data to indexers, but the admin wants to central"
"splunkadmin-015","2","Y","","2.08","Y","parsing","parsing","","","28","","4","An admin needs a sourcetype's timestamps parsed correctly and events line-broken"
"splunkadmin-021","2","Y","","2.02","Y","delete","delete","","","27","","4","A user should be able to run searches but must not be allowed to delete data wit"
"splunkadmin-022","2","Y","","1.9","Y","performance","performance","","","26","","4","An admin wants a single built-in interface to monitor indexing rate, search perf"
"splunkadmin-010","2","Y","","1.65","Y","define","define|group","","","35","","3","On a heavy forwarder, an admin wants to route events from sourcetype `cisco:asa`"
"splunkadmin-020","2","Y","","1.3","Y","members","members|workflow","","","26","","4","In a search head cluster, an admin must deploy a new app and its knowledge objec"
"splunkadmin-016","1","Y","","2.13","","","","","","22","","4","Two apps define a conflicting setting for the same stanza. Given Splunk configur"
"splunkadmin-018","1","Y","","2.13","","","","","","29","","4","An admin must route a subset of incoming events to a different index based on th"
"splunkadmin-019","1","Y","","1.78","","","","","","28","","4","A daily indexing volume exceeds the licensed quota several days in a row. What i"
"splunkadmin-013","1","Y","","1.67","","","","","","25","","4","In an indexer cluster, an administrator sets replication factor (RF) = 3 and sea"
"splunkadmin-017","1","Y","","1.58","","","","","","23","","4","A hot bucket has stopped receiving new data and meets a roll condition. What is "
"splunkadmin-009","1","Y","","1.53","","","","","","37","","3","In a search head cluster the members must stay in sync and elect a leader to sch"
"splunkadmin-003","1","Y","","1.43","","","","","","20","","3","On an indexer cluster, what does a replication factor (RF) of 3 and a search fac"
"splunkadmin-008","1","Y","","1.34","","","","","","21","","3","A Splunk environment ingests 480 GB on Monday against a 500 GB/day license. On T"
"splunkadmin-002","1","Y","","1.3","","","","","","30","","3","A customer wants to forward syslog data from 500 endpoints to Splunk with the sm"
"splunkadmin-004","1","Y","","1.3","","","","","","27","","3","An admin needs to push a single set of inputs.conf and outputs.conf changes to 2"
"splunkadmin-005","1","Y","","1.22","","","","","","47","","3","An administrator is planning storage tiers and retention for an index and needs "
"splunkadmin-007","1","","Y","0.83","","","","","","30","","3","Which Splunk configuration file is the correct place to assign a sourcetype to i"
"splunkadmin-001","1","","Y","0.48","","","","","","24","","3","Which Splunk Enterprise component is responsible for parsing incoming data, writ"
"splunkadmin-006","0","","","1.11","","","","","","22","","3","An admin defines the same stanza `[monitor:///var/log/nginx/access.log]` in both"
"splunkadmin-011","0","","","1.07","","","","","","26","","3","Which Splunk role-based access mechanism controls whether a user can perform a s"
"splunkadmin-012","0","","","0.91","","","","","","31","","3","A Splunk admin needs a near-real-time, browser-based view of overall environment"
