id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"snowpro-core-010","2","Y","","1.15","Y","serverless","serverless|features","","","37","","4","A finance partner asks what Snowflake actually bills for. Storage is billed per "
"snowpro-core-007","1","","","1.1","Y","lets","lets|state","","","38","","4","A production table was accidentally dropped 30 minutes ago. The DBA needs a buil"
"snowpro-core-005","1","","","1.08","Y","key","key|scan","","","43","","4","A 4-TB events table is filtered frequently by event_date. As the table grows, qu"
"snowpro-core-009","1","","","1.05","Y","suspend","suspend|idle","","","34","","4","A cost review reveals two warehouses running idle overnight. The team wants ware"
"snowpro-core-011","1","","","1.04","Y","independent","independent","","","41","","4","A developer needs to test a risky transformation against a 10-TB production tabl"
"snowpro-core-013","1","","","1.04","Y","serverless","serverless|land","","","43","","4","An ingestion team must continuously load small files as they land in a cloud sto"
"snowpro-core-014","1","","","1.04","Y","tasks","tasks","","","34","","4","A security review asks which Snowflake system-defined role sits at the top of th"
"snowpro-core-015","1","","","1.04","Y","clusters","clusters","","","53","","4","A team running short, spiky bursts of many concurrent queries notices that some "
"snowpro-core-016","1","","","1.01","Y","csv","csv","","","45","","4","An analyst has placed a CSV in an internal stage but does not want to define a t"
"snowpro-core-008","1","","","0.99","Y","access","access|copying","","","39","","4","An organisation wants to give a business partner live, read-only access to speci"
"snowpro-core-002","0","","","1.04","","","","","","22","","4","A reviewer asks how Snowflake's multi-cluster shared-data design separates conce"
"snowpro-core-012","0","","","1.03","","","","","","37","","4","A reporting dashboard reruns the exact same aggregation query many times an hour"
"snowpro-core-003","0","","","1.01","","","","","","21","","4","An admin onboarding a new analyst is asked to explain Snowflake's RBAC primitive"
"snowpro-core-001","0","","","1","","","","","","28","","3","A new engineer joining a Snowflake team asks what a virtual warehouse actually i"
"snowpro-core-004","0","","","1","","","","","","27","","4","A pipeline engineer triggers an ad-hoc bulk load with COPY INTO rather than a co"
"snowpro-core-006","0","","","0.91","","","","","","38","","4","A logging pipeline ingests JSON payloads whose schema varies per event. The team"
