id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"cysa-011","1","","","0.87","","","","Y","","48","","3","An auditor reviewing a remediation backlog asks the SOC lead to clarify two term"
"cysa-012","1","","Y","0.84","","","","","","28","","4","An analyst receives a phishing email report. The email contains a URL that redir"
"cysa-054","1","","","0.82","Y","adversary","adversary","","","41","","3","During the fourth phase of NIST SP 800-61 (Containment, Eradication, and Recover"
"cysa-030","1","","","0.79","","","","Y","","53","","3","An analyst is triaging CVEs for the weekly patch window. Each CVE carries a numb"
"cysa-016","1","","Y","0.73","","","","","","21","","4","During a post-incident review, the team discovers that attackers exfiltrated dat"
"cysa-003","1","","Y","0.65","","","","","","26","","4","An analyst identifies a CVE with CVSS base score 9.8. The vulnerable service is "
"cysa-036","1","","","0.63","Y","create","create","","","28","","4","An attacker uses a compromised admin account to create a new admin account and t"
"cysa-064","1","","Y","0.63","","","","","","30","","5","A code review reveals the following Python snippet: `query = 'SELECT * FROM user"
"cysa-051","1","","Y","0.62","","","","","","37","","3","A malware analyst examines a sample without running it: they unpack the executab"
"cysa-061","1","","","0.58","Y","admission","admission","","","40","","5","A DevSecOps team is reviewing a Kubernetes cluster security posture. They find t"
"cysa-062","1","","Y","0.58","","","","","","29","","5","During a web application security assessment, the tester sends a request with th"
"cysa-065","1","","Y","0.55","","","","","","41","","5","An EDR platform generates 1,000 alerts per day. After analyst review, 950 are cl"
"cysa-056","1","","Y","0.54","","","","","","37","","5","A SOC team wants to automatically enrich every phishing alert with VirusTotal UR"
"cysa-053","1","","Y","0.45","","","","","","28","","4","An organization receives a threat intelligence report indicating APT group X is "
"cysa-017","1","","Y","0.44","","","","","","36","","3","A defensive team wants to receive STIX-formatted indicators from peer organisati"
"cysa-007","1","","Y","0.4","","","","","","57","","3","A SOC ingests alerts from EDR, SIEM, firewalls, vuln scanners, and ticketing. Ea"
"cysa-023","1","","Y","0.4","","","","","","32","","5","Network traffic analysis shows a host sending 10 KB outbound requests every 60 s"
"cysa-001","1","","Y","0.38","","","","","","29","","4","During a threat hunt, an analyst discovers that an attacker has been using Power"
"cysa-020","1","","Y","0.38","","","","","","21","","5","An analyst observes registry key 'HKCU\Software\Microsoft\Windows\CurrentVersion"
"cysa-059","1","","Y","0.34","","","","","","51","","5","A security analyst reviewing a cloud environment finds that 47 S3 buckets have '"
"cysa-008","1","","Y","0.32","","","","","","29","","5","An endpoint is suspected of being part of a botnet. During the investigation, DN"
"cysa-026","1","","Y","0.21","","","","","","37","","3","During containment of a confirmed breach, an experienced lead tells a junior ana"
"cysa-035","1","","Y","0.15","","","","","","44","","3","Before writing a single line of code for a new payment service, the architecture"
"cysa-047","0","","","1.24","","","","","","18","","5","Which tool is used to analyze Pcap (packet capture) files and provides deep pack"
"cysa-029","0","","","1.2","","","","","","28","","4","An analyst is reviewing firewall logs and sees thousands of SYN packets from a s"
"cysa-006","0","","","1.16","","","","","","26","","5","An analyst is reviewing a Snort/Suricata IDS alert for the rule: 'alert tcp $EXT"
"cysa-015","0","","","1.15","","","","","","19","","5","A SOC analyst is investigating a suspicious process. The process 'svchost.exe' i"
"cysa-045","0","","","1.15","","","","","","24","","5","A compromised account is detected using cloud APIs to enumerate IAM roles and cr"
"cysa-014","0","","","1.14","","","","","","20","","4","Which tool is specifically designed for memory forensics — analyzing RAM capture"
"cysa-039","0","","","1.14","","","","","","21","","5","A cloud security audit reveals that storage buckets are publicly accessible and "
"cysa-034","0","","","1.13","","","","","","24","","4","An incident responder needs to acquire a forensic image of a disk without modify"
"cysa-063","0","","","1.12","","","","","","45","","5","An organization is running a purple team exercise. The red team has successfully"
"cysa-046","0","","","1.11","","","","","","47","","3","A SOC threat-hunting team starts a new sprint by writing a sentence that describ"
"cysa-037","0","","","1.1","","","","","","27","","4","During a vulnerability assessment, an analyst discovers that a critical server i"
"cysa-038","0","","","1.1","","","","","","22","","4","What is the correct containment action when ransomware is confirmed on a worksta"
"cysa-025","0","","","1.09","","","","","","33","","4","A pentester discovers that an internal web app reflects user input directly in t"
"cysa-028","0","","","1.09","","","","","","38","","3","A vulnerability scanner reports critical SQL injection on a static marketing pag"
"cysa-044","0","","","1.08","","","","","","26","","4","An organization wants to proactively identify weaknesses before attackers do, us"
"cysa-005","0","","","1.07","","","","","","32","","4","During incident response, an analyst runs 'netstat -ano' on a compromised Window"
"cysa-031","0","","","1.07","","","","","","27","","4","A security team is implementing a new SIEM. After tuning, they still receive 500"
"cysa-027","0","","","1.06","","","","","","41","","3","A threat-intel analyst is curating feeds by the half-life of each indicator type"
"cysa-018","0","","","1.05","","","","","","23","","4","A web application vulnerability scan reports a high-severity finding: 'SQL Injec"
"cysa-050","0","","","1.05","","","","","","38","","5","An analyst reviews Sysmon logs and sees Event ID 3 (Network Connection) for 'pow"
"cysa-002","0","","","1.04","","","","","","29","","4","A SIEM alert fires because a user account logged in from two different countries"
"cysa-042","0","","","1.02","","","","","","22","","4","An analyst needs to determine if a suspicious file is malware without risking in"
"cysa-052","0","","","1.01","","","","","","19","","4","A SOC team wants to improve detection of insider threats. Which combination of c"
"cysa-013","0","","","1","","","","","","22","","4","An organization's incident response team needs to preserve evidence from a runni"
"cysa-021","0","","","1","","","","","","40","","4","A security analyst is triaging incidents. Three alerts have fired simultaneously"
"cysa-058","0","","","0.97","","","","","","43","","5","An analyst captures network traffic and opens it in Wireshark. They see repeated"
"cysa-049","0","","","0.94","","","","","","25","","4","A developer pushes code with hardcoded AWS access keys to a public GitHub reposi"
"cysa-010","0","","","0.92","","","","","","25","","5","During digital forensics on a compromised Linux host, an analyst checks '/etc/pa"
"cysa-004","0","","","0.89","","","","","","19","","5","Which log source would be most valuable for detecting lateral movement via pass-"
"cysa-009","0","","","0.88","","","","","","27","","4","A vulnerability scan finds a critical CVE affecting a legacy system that cannot "
"cysa-033","0","","","0.85","","","","","","30","","3","A development team relies heavily on third-party open-source packages pulled fro"
"cysa-041","0","","","0.8","","","","","","50","","3","A CISO asks why the SOC reports a CVSS score lower than the published base score"
"cysa-055","0","","","0.8","","","","","","40","","3","During a critical security incident, the IR lead emphasises that every communica"
"cysa-048","0","","","0.79","","","","","","40","","3","Two weeks after a contained ransomware incident, the incident-response team bloc"
"cysa-024","0","","","0.78","","","","","","41","","3","A network architect is comparing two perimeter sensors. One inspects traffic and"
"cysa-022","0","","","0.75","","","","","","52","","3","During a phishing incident the on-call analyst opens a document that describes, "
"cysa-043","0","","","0.74","","","","","","37","","3","A US federal agency must adopt a structured catalogue of security and privacy co"
"cysa-019","0","","","0.73","","","","","","48","","3","An analyst is mapping observed attacker behaviour — initial access, credential d"
"cysa-060","0","","","0.62","","","","","","47","","5","A threat intelligence analyst wants to share a structured report about a ransomw"
"cysa-057","0","","","0.56","","","","","","30","","5","During memory forensics on a suspected compromised Windows host, an analyst runs"
"cysa-032","0","","","0.49","","","","","","25","","4","Which artifact should an analyst examine to determine what PowerShell commands w"
"cysa-040","0","","","0.44","","","","","","38","","4","An analyst is using a SIEM correlation rule to detect brute-force attacks. The r"
"cysa-multi-1","0","","","0","","","","","","36","","3","A SOC analyst sees outbound connections from 50 internal hosts to a single exter"
