id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"comptia-data-010","1","Y","","1.46","","","","","","29","","3","A new analyst is granted access to a table containing customer names, email addr"
"comptia-data-007","1","Y","","1.4","","","","","","20","","3","A chart shows that monthly ice-cream sales and drowning incidents both peak in J"
"comptia-data-004","1","Y","","1.39","","","","","","22","","3","A team must collect real-time stock-trade events with millisecond latency to fee"
"comptia-data-009","1","Y","","1.34","","","","","","23","","3","Which visualization is best for showing average response time across days of the"
"comptia-data-011","1","","","1.21","Y","systems","systems","","","46","","3","A single customer is represented by one row in the CRM, the billing system, and "
"comptia-data-006","1","Y","","1.17","","","","","","24","","3","An exam-score distribution is heavily right-skewed by a small group of very high"
"comptia-data-012","1","","Y","0.84","","","","","","36","","3","You need a report listing every product, including products that have not yet ha"
"comptia-data-008","0","","","1.11","","","","","","21","","3","An executive wants to compare quarterly revenue across five product lines over t"
"comptia-data-002","0","","","1.07","","","","","","28","","3","A retailer needs a system that records thousands of small concurrent point-of-sa"
"comptia-data-003","0","","","0.92","","","","","","29","","3","An analytics team copies raw event logs from S3 into Snowflake first, then runs "
"comptia-data-001","0","","","0.91","","","","","","25","","3","Your team needs to ingest customer-support email bodies, JPEG screenshots, and v"
"comptia-data-005","0","","","0.87","","","","","","27","","3","A marketing analyst reports last quarter's revenue, average order value, and chu"
