id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"itil4-001","2","Y","","1.47","","","","","Y","10","","3","What is the official ITIL 4 definition of a 'service'?"
"itil4-002","2","Y","","1.25","","","","","Y","11","","2","How many guiding principles are defined in the ITIL 4 framework?"
"itil4-004","2","Y","","1.2","","","","","Y","16","","2","Which of the following is one of the four dimensions of service management in IT"
"itil4-012","2","Y","","1.2","","","","","Y","12","","3","What is the primary purpose of the ITIL 4 service desk practice?"
"itil4-011","1","Y","","1.48","","","","","","32","","3","A new collaboration platform lets employees message colleagues (the feature they"
"itil4-017","1","Y","","1.45","","","","","","24","","3","Which value chain activity ensures that services continuously meet stakeholder e"
"itil4-021","1","Y","","1.32","","","","","","36","","3","During a major incident, the resolution team posts progress updates to a channel"
"itil4-010","1","Y","","1.3","","","","","","22","","3","Which ITIL 4 practice is responsible for handling predefined, user-initiated req"
"itil4-005","1","","","1.26","","","","","Y","16","","3","Which of the following is NOT a component of the ITIL 4 Service Value System (SV"
"itil4-007","1","","","1.12","Y","restore","restore","","","32","","3","A user reports that the email service is unavailable. The service desk records a"
"itil4-019","1","","","1.12","","","","","Y","17","","3","Which of the following is the BEST example of an 'outcome' as ITIL 4 defines the"
"itil4-020","1","","","1.09","","","","","Y","13","","3","What is the purpose of the service level management practice in ITIL 4?"
"itil4-008","1","","","1.02","","","","","Y","12","","3","Which statement best describes a 'standard change' in ITIL 4 change enablement?"
"itil4-009","1","","","0.96","","","","","Y","12","","3","What is the FIRST step of the ITIL 4 continual improvement model?"
"itil4-014","1","","","0.91","","","","","Y","14","","3","What is the key difference between incident management and problem management in"
"itil4-013","1","","Y","0.8","","","","","","50","","3","After three similar outages in a month, an analyst investigates and identifies a"
"itil4-016","1","","Y","0.75","","","","","","35","","3","An organization plans to replace its monitoring stack. Instead of discarding eve"
"itil4-022","1","","","0.63","Y","governance","governance","","","31","","3","Which body of the ITIL 4 Service Value System has the purpose of ensuring that t"
"itil4-003","1","","Y","0.58","","","","","","35","","3","A service desk manager is deciding which improvement initiative to fund next. Th"
"itil4-015","0","","","1.18","","","","","","33","","3","A product team keeps adding approval steps to its deployment workflow 'just in c"
"itil4-018","0","","","0.89","","","","","","33","","3","A company outsources its data-centre operations and now depends on the supplier'"
"itil4-006","0","","","0.67","","","","","","25","","3","Within the ITIL 4 service value chain, which activity is responsible for providi"
