id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"sec-027","2","","Y","0.71","Y","cannot","cannot","","","36","","2","A forensics team obtains a multi-year archive of a company's TLS-encrypted traff"
"sec-064","1","Y","","1.68","","","","","","57","","3","An attacker has stolen the `/etc/shadow` file of a Linux server. The hashes are "
"sec-002","1","","","0.87","Y","stored","stored","","","46","","2","A forensic team investigates a financial database and finds that a privileged ac"
"sec-007","1","","Y","0.84","","","","","","65","","2","A cloud security architect is designing a system where remote contractors must a"
"sec-028","1","","","0.83","Y","job-function","job-function","","","44","","2","An IAM team manages access for 2,000 employees by defining named job-function pr"
"sec-041","1","","Y","0.83","","","","","","53","","2","A security analyst reviewing authentication logs observes thousands of failed lo"
"sec-001","1","","Y","0.82","","","","","","44","","2","A user receives an email appearing to be from their bank, urging them to click a"
"sec-006","1","","Y","0.81","","","","","","56","","2","A hospital's file servers become inaccessible over a holiday weekend. Administra"
"sec-022","1","","Y","0.8","","","","","","57","","2","A development team's penetration test report flagged two critical findings: a qu"
"sec-048","1","","Y","0.8","","","","","","61","","2","A tier-1 SOC analyst handles 80 identical low-severity alerts each shift: look u"
"sec-023","1","","Y","0.79","","","","","","58","","3","A new auth/authz design splits responsibilities between two services. Service A "
"sec-010","1","","Y","0.76","","","","","","67","","2","A network engineer deploys a security appliance in span/mirror-port mode off a c"
"sec-050","1","","Y","0.76","","","","","","57","","2","An employee installs a free screen-recording utility downloaded from a third-par"
"sec-017","1","","Y","0.75","","","","","","68","","2","A financial services company has deployed email filtering, MFA, EDR, and network"
"sec-033","1","","Y","0.71","","","","","","60","","2","A retail company's POS terminals, corporate workstations, and internal file serv"
"sec-034","1","","Y","0.71","","","","","","58","","2","A hospital's security team is paged at 2 AM when clinical systems go offline due"
"sec-021","1","","Y","0.69","","","","","","58","","2","A security researcher analyzes a crash dump from a legacy C-based file parsing l"
"sec-066","1","","Y","0.67","","","","","","48","","3","A SaaS startup wants users to grant a third-party app limited, scoped access to "
"sec-043","1","","Y","0.58","","","","","","52","","3","A national registrar wants resolvers to cryptographically verify that a DNS repl"
"sec-038","1","","Y","0.51","","","","","","47","","3","A vulnerability-management team has 2,400 open CVEs across the fleet and a fixed"
"sec-080","1","","Y","0.38","","","","","","49","","3","An organisation new to security wants a vendor-neutral, voluntary framework that"
"sec-074","1","","Y","0.37","","","","","","64","","3","A development team needs to store user passwords. They considered three primitiv"
"sec-042","1","","Y","0.34","","","","","","49","","3","A browser is presented with a TLS certificate from bank.example.com. The browser"
"sec-071","1","","Y","0.29","","","","","","63","","3","An HR director receives an email that uses her first name, references the cloud-"
"sec-032","1","","Y","0.28","","","","","","46","","3","A SOC manager wants weekly briefings combining (a) tactics, techniques, and proc"
"sec-065","1","","Y","0.27","","","","","","58","","3","Investigators seize a laptop that may be evidence in a fraud case. Each handoff "
"sec-052","1","","Y","0.19","","","","","","57","","3","A penetration tester is auditing a system that uses a 64-bit hash for user-sessi"
"sec-058","1","","Y","0.17","","","","","","48","","3","A bank is dismantling its corporate VPN. Going forward, every access to an inter"
"sec-072","1","","Y","0.08","","","","","","52","","3","A multi-cloud enterprise wants a single control plane to: (1) discover unsanctio"
"sec-088","0","","","1.13","","","","","","29","","3","A SaaS platform needs to let third-party apps access a user's calendar data on t"
"sec-046","0","","","1.12","","","","","","69","","3","An admin's MFA enrolment options include: (a) a small physical device (RSA Secur"
"sec-060","0","","","1.12","","","","","","50","","3","A software publisher wants every customer's installer to carry a verifiable clai"
"sec-078","0","","","1.1","","","","","","50","","3","During the DESIGN phase of a new payment service, the architect enumerates: whic"
"sec-062","0","","","1.09","","","","","","46","","3","A red-team report describes the operators' tradecraft: encoding payloads in base"
"sec-086","0","","","1.09","","","","","","35","","3","A mobile banking app must resist man-in-the-middle attacks even when an attacker"
"sec-020","0","","","1.07","","","","","","61","","3","A pharma company's CISO needs to stop a recurring leak: employees emailing patie"
"sec-055","0","","","1.07","","","","","","55","","3","A disgruntled developer is fired on Monday. On Friday at 5 pm, a payroll-system "
"sec-090","0","","","1.07","","","","","","33","","2","A government agency is concerned that an adversary is intercepting and storing t"
"sec-009","0","","","1.06","","","","","","45","","2","Threat intelligence analysts discover that attackers are actively exploiting a r"
"sec-053","0","","","1.06","","","","","","63","","3","An online-banking user reports that funds transfers appear to leave the account "
"sec-054","0","","","1.06","","","","","","48","","3","A standards body defines a security domain that covers four operations on a subj"
"sec-067","0","","","1.06","","","","","","54","","3","A 24×7 team works from a room full of dashboards. Their job is to ingest alerts "
"sec-025","0","","","1.05","","","","","","42","","2","A security team discovers a missing authentication check on an internal admin po"
"sec-030","0","","","1.05","","","","","","36","","3","Remote engineers connect to corporate resources over public Wi-Fi. The security "
"sec-056","0","","","1.04","","","","","","62","","3","A code review of a web API finds a handler that concatenates a user-supplied ord"
"sec-024","0","","","1.03","","","","","","53","","3","A SOC engineer deploys an internet-facing Linux VM that looks like a misconfigur"
"sec-073","0","","","1.03","","","","","","65","","3","A CISO is replacing legacy signature-only AV on 4 000 endpoints. They want a con"
"sec-081","0","","","1.03","","","","","","26","","2","A company is moving from a traditional perimeter-based model to a Zero Trust Arc"
"sec-087","0","","","1.03","","","","","","33","","3","A development team wants to test their running web application for vulnerabiliti"
"sec-015","0","","","1.02","","","","","","61","","2","After a breach, forensics reveals that attackers moved from the DMZ to the inter"
"sec-019","0","","","1.02","","","","","","60","","3","An IAM design review covers three responsibilities for the new VPN concentrator:"
"sec-004","0","","","1","","","","","","44","","2","A penetration tester on the same open Wi-Fi network as a target uses ARP spoofin"
"sec-008","0","","","1","","","","","","47","","2","A financial application encrypts gigabytes of transaction logs at rest and uses "
"sec-068","0","","","1","","","","","","70","","3","An organization's outbound mail is being marked as spam by recipients and a phis"
"sec-003","0","","","0.99","","","","","","42","","2","A company's remote-access policy requires employees to enter their password and "
"sec-013","0","","","0.99","","","","","","55","","2","A financial institution runs firewalls, IDS sensors, endpoint agents, and authen"
"sec-075","0","","","0.99","","","","","","58","","3","A bank's security architecture deliberately layers controls: TLS at the edge, WA"
"sec-085","0","","","0.99","","","","","","30","","3","A facilities team is deploying hundreds of IoT sensors (HVAC, lighting, badge re"
"sec-044","0","","","0.98","","","","","","61","","3","After a privileged session on a production server, forensic memory captures show"
"sec-070","0","","","0.98","","","","","","48","","3","A payments processor must meet PCI-DSS key-management requirements: the master e"
"sec-057","0","","","0.97","","","","","","57","","3","A signed-contract dispute lands in litigation. The relying party must prove that"
"sec-063","0","","","0.97","","","","","","60","","3","Procurement asks the CISO whether the upcoming PCI-DSS exercise is an 'audit' or"
"sec-076","0","","","0.97","","","","","","53","","3","A security architect is reviewing a new access-control component. They insist on"
"sec-040","0","","","0.95","","","","","","62","","3","An e-commerce site behind an internet load balancer is hit weekly with SQL-injec"
"sec-012","0","","","0.94","","","","","","46","","2","A threat actor calls an organization's IT help desk, claims to be the newly hire"
"sec-035","0","","","0.94","","","","","","50","","3","A NOC is buying a new perimeter security appliance. Vendor A's device sits inlin"
"sec-037","0","","","0.94","","","","","","58","","3","An incident response team traces a breach to a code-signed update for a widely u"
"sec-077","0","","","0.92","","","","","","50","","3","Threat-intel analysts find that a niche industry-association website used daily "
"sec-018","0","","","0.9","","","","","","57","","3","A security director scopes two engagements. Engagement A runs Nessus and Qualys "
"sec-031","0","","","0.9","","","","","","69","","2","A security firm is hired to evaluate a regional bank's external attack surface u"
"sec-039","0","","","0.89","","","","","","56","","3","A red-team report describes lateral movement inside a Windows domain. The attack"
"sec-079","0","","","0.89","","","","","","53","","3","A remote employee connects to the corporate VPN from an airport's public Wi-Fi. "
"sec-005","0","","","0.88","","","","","","48","","2","A network architect must enforce traffic policy between the corporate LAN and th"
"sec-016","0","","","0.87","","","","","","69","","2","A penetration tester auditing a retail application's order search feature submit"
"sec-047","0","","","0.87","","","","","","48","","3","A SOC analyst sees thousands of overnight login failures against the company log"
"sec-069","0","","","0.86","","","","","","57","","3","An OT environment has a small, fixed inventory of trusted engineering applicatio"
"sec-014","0","","","0.85","","","","","","68","","2","An e-commerce platform processing holiday orders observes a sudden flood of HTTP"
"sec-026","0","","","0.85","","","","","","65","","3","A web browser is presented with a TLS server certificate that is well within its"
"sec-049","0","","","0.85","","","","","","63","","2","A company hires a penetration tester after an employee fell for a phishing email"
"sec-061","0","","","0.84","","","","","","49","","3","An organisation wants to issue and manage thousands of digital certificates inte"
"sec-083","0","","","0.82","","","","","","35","","3","A SOC manager wants visibility that correlates telemetry from endpoints, network"
"sec-029","0","","","0.8","","","","","","46","","3","A bug-bounty report shows that a comment field on a forum reflects user input ba"
"sec-036","0","","","0.76","","","","","","63","","3","A SOC analyst examining exfiltrated data finds a JPEG of an office party uploade"
"sec-089","0","","","0.76","","","","","","34","","3","A CISO discovers that employees across multiple departments are using unsanction"
"sec-011","0","","","0.75","","","","","","38","","2","A PKI engineer is tasked with updating the organization's internal certificate a"
"sec-045","0","","","0.65","","","","","","58","","3","An analyst with TOP SECRET clearance is denied access to a particular TOP SECRET"
"sec-051","0","","","0.65","","","","","","60","","3","A flat-network breach allowed ransomware to spread across an entire /16. The rem"
"sec-059","0","","","0.6","","","","","","49","","3","A 4,000-employee enterprise is hiring for a C-suite role. The role owns the info"
"sec-082","0","","","0.52","","","","","","30","","2","A global enterprise wants to consolidate SD-WAN, ZTNA, secure web gateway, CASB,"
"sec-084","0","","","0.23","","","","","","37","","2","A security team forms a dedicated unit that proactively searches the environment"
"sec-multi-1","0","","","0","","","","","","22","","2","Which TWO of the following are characteristics of a TPM (Trusted Platform Module"
"sec-multi-2","0","","","0","","","","","","18","","2","A pentester is told to use ONLY passive reconnaissance against a target. Which T"
