id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"pcse-014","1","","","1.04","Y","orders","orders","","","47","","4","Two backend microservices run as separate workloads in a GKE cluster. The securi"
"pcse-010","1","","","1.03","Y","apply","apply","","","41","","3","A compliance officer requires that no Compute Engine VM in any project under the"
"pcse-011","1","","","1.02","Y","memory","memory|while","","","42","","3","A security team must ensure that a sensitive Compute Engine workload's data is e"
"pcse-013","1","","","1.01","Y","grants","grants","","","39","","4","A company grants engineers broad project access during incidents, but auditors r"
"pcse-012","1","","","0.95","Y","command","command|center","","","35","","3","An organization wants to detect and alert on active threats such as cryptomining"
"pcse-015","1","","","0.95","Y","disabled","disabled","","","40","","3","An auditor needs an immutable record of every administrative change to IAM polic"
"pcse-003","1","","","0.93","Y","bank","bank|hsm","","","37","","4","A regulated bank stores compliance archives in Cloud Storage and must hold the e"
"pcse-008","1","","","0.93","Y","app","app","","","35","","4","An internal HR app on Compute Engine should be reachable by employees from any n"
"pcse-001","0","","","1.06","","","","","","36","","3","A SaaS company runs analytics jobs on AWS that must query BigQuery datasets. The"
"pcse-016","0","","","1.03","","","","","","45","","4","A team stores application secrets (API tokens, database passwords) in Secret Man"
"pcse-004","0","","","1.01","","","","","","36","","3","A retailer must scan customer support transcripts in Cloud Storage for credit ca"
"pcse-006","0","","","1.01","","","","","","38","","3","A workload runs in a VPC subnet with no external IP and needs to call the storag"
"pcse-007","0","","","1","","","","","","40","","4","A GKE cluster runs payment workloads. The platform team must guarantee that only"
"pcse-009","0","","","1","","","","","","32","","3","A central security team must continuously inventory misconfigurations such as pu"
"pcse-005","0","","","0.97","","","","","","43","","3","A research team's BigQuery dataset holds genomic records subject to data exfiltr"
"pcse-002","0","","","0.94","","","","","","31","","4","A developer needs to list objects in a single Cloud Storage bucket but must not "
