id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"pcnse-011","2","Y","","1.3","Y","banking","banking","","","45","","4","After enabling SSL Forward Proxy, internal users browsing certain banking sites "
"pcnse-012","2","Y","","1.27","Y","pa-5260","pa-5260","","","41","","4","A Panorama administrator pushes a commit to a Device Group containing both a PA-"
"pcnse-007","2","Y","","1.26","Y","virtual","virtual","","","41","","4","A firewall has two virtual routers, VR-Trust and VR-Untrust, used to isolate rou"
"pcnse-003","2","Y","","1.2","Y","branch","branch|data-center","","","38","","4","An administrator wants to push different Security policies to branch firewalls t"
"pcnse-006","1","Y","","1.31","","","","","","34","","4","A Security rule explicitly allows application web-browsing. After enabling App-I"
"pcnse-005","1","Y","","1.21","","","","","","28","","4","A GlobalProtect deployment must allow remote users to authenticate once, automat"
"pcnse-004","1","Y","","1.19","","","","","","40","","4","An internal web server at 10.1.1.20 needs to be reachable from the internet at t"
"pcnse-015","1","","","1.14","Y","reconnaissance","reconnaissance","","","27","","3","The SOC reports SYN-flood and port-scan activity hitting the untrust interface. "
"pcnse-001","1","","","1.07","Y","app-id","app-id|state|passive|peer","","","52","","4","Two PA-5250 firewalls are deployed in active/passive HA. After a planned failove"
"pcnse-016","1","","","1.03","","","","","Y","15","","3","In Panorama, what is the division of labor between TEMPLATES (template stacks) a"
"pcnse-022","1","","","0.97","Y","commit","commit","","","28","","3","An administrator's committed change broke an application, and the team wants the"
"pcnse-002","1","","","0.93","Y","enterprise","enterprise|trust","","","33","","4","A security team must inspect outbound HTTPS traffic going from internal users to"
"pcnse-009","1","","Y","0.8","","","","","","30","","4","By default, what happens to traffic between two interfaces assigned to the SAME "
"pcnse-010","0","","","1.31","","","","","","34","","4","An administrator must trigger an immediate failover from the active firewall in "
"pcnse-008","0","","","1.1","","","","","","28","","4","A firewall in production needs WildFire signatures applied as quickly as possibl"
"pcnse-013","0","","","1.05","","","","","","33","","3","Security policy must allow the engineering AD group to use SSH to lab servers wh"
"pcnse-018","0","","","1.05","","","","","","33","","3","A firewall must be inserted between a router and a switch to inspect traffic WIT"
"pcnse-020","0","","","1.03","","","","","","30","","3","Traffic and threat logs for specific high-risk rules must stream to the corporat"
"pcnse-021","0","","","1.03","","","","","","29","","3","URL Filtering blocks the 'newly-registered-domain' category, but the business ne"
"pcnse-014","0","","","0.96","","","","","","33","","3","A Security rule allows web-browsing outbound for all users. Management asks that"
"pcnse-017","0","","","0.92","","","","","","30","","3","An internet user reaches a web server through destination NAT: public 203.0.113."
"pcnse-019","0","","","0.91","","","","","","39","","3","The threat intel team publishes a constantly-updated list of malicious IPs at an"
