id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"aws-mla-c01-013","1","Y","1.21","","","","","39","","4","A SageMaker real-time endpoint serves a deep-learning model and experiences spik"
"aws-mla-c01-016","1","","1.07","Y","processing","processing","","36","","4","A nightly SageMaker Processing job for feature engineering must read raw data fr"
"aws-mla-c01-001","1","","1.05","Y","store","store|offline","","28","","4","You need a managed feature store that supports both millisecond-latency lookups "
"aws-mla-c01-005","1","","1.05","Y","pytorch","pytorch","","32","","4","Your team wants to train a custom PyTorch model with their own training script w"
"aws-mla-c01-014","1","","1.01","Y","attributions","attributions","","30","","4","A team needs to explain individual predictions of a deployed SageMaker model to "
"aws-mla-c01-015","1","","0.97","Y","sentiment","sentiment","","31","","4","A customer-support team wants to add sentiment analysis and entity extraction to"
"aws-mla-c01-006","1","","0.93","Y","batch","batch","","31","","4","A model needs to score 10 GB of accumulated daily transactions in a nightly batc"
"aws-mla-c01-011","1","","0.92","Y","distinct","distinct","","33","","4","A tabular dataset has a categorical 'country' column with about 150 distinct val"
"aws-mla-c01-009","0","","1.02","","","","","28","","4","After deployment, the input feature distributions seen at the endpoint are drift"
"aws-mla-c01-010","0","","1","","","","","34","","5","To meet a compliance requirement, training jobs must not have direct internet eg"
"aws-mla-c01-008","0","","0.99","","","","","27","","4","You need a managed, lineage-tracked workflow that chains data processing, traini"
"aws-mla-c01-007","0","","0.98","","","","","31","","4","You want to roll a new model version to 10% of live production traffic before de"
"aws-mla-c01-003","0","","0.96","","","","","27","","4","You want SageMaker to automatically search a large hyperparameter space and conv"
"aws-mla-c01-004","0","","0.96","","","","","26","","4","You want to cut deep-learning training cost by up to 90% on long-running SageMak"
"aws-mla-c01-002","0","","0.93","","","","","31","","4","A binary fraud-detection training set has 99.2% legitimate and 0.8% fraudulent t"
"aws-mla-c01-012","0","","0.91","","","","","26","","4","A trained model achieves 99% accuracy on the training set but only 72% on the va"
