id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"pccse-017","2","Y","","2.31","Y","permissions","permissions|unused","","","22","","4","An organization must enforce identity least-privilege across cloud accounts, fin"
"pccse-014","2","Y","","2.01","Y","query","query","","","26","","4","An engineer must find all AWS S3 buckets that are publicly accessible across eve"
"pccse-020","2","Y","","1.92","Y","host","host","","","24","","4","A workload runs on AWS Fargate where you cannot install a host Defender. How doe"
"pccse-019","2","Y","","1.82","Y","unit","unit","","","25","","4","Alerts from Prisma Cloud must be routed so that each business unit only sees fin"
"pccse-022","2","Y","","1.75","Y","attacks","attacks","","","36","","4","An application team fronts a public web application with Prisma Cloud WAAS and w"
"pccse-011","2","Y","","1.2","Y","fargate","fargate","","","25","","4","You must protect containers running on AWS Fargate, where you cannot deploy a ho"
"pccse-007","2","Y","","1.17","Y","jenkins","jenkins","","","31","","4","A team wants to fail a Jenkins build when a container image contains critical vu"
"pccse-018","1","Y","","1.93","","","","","","19","","4","A team wants to catch misconfigurations in Terraform before infrastructure is pr"
"pccse-015","1","Y","","1.82","","","","","","27","","4","A team wants to block a container image with critical CVEs from being promoted, "
"pccse-016","1","Y","","1.78","","","","","","20","","4","Prisma Cloud runtime defense builds a behavioral model for a running container. "
"pccse-009","1","Y","","1.65","","","","","","31","","4","Security wants to identify and right-size IAM principals that hold far more perm"
"pccse-013","1","Y","","1.52","","","","","","31","","4","A security team onboards a new AWS account to Prisma Cloud for agentless posture"
"pccse-021","1","Y","","1.32","","","","","","25","","4","A compliance team needs Prisma Cloud to report against an internal control frame"
"pccse-012","1","Y","","1.23","","","","","","25","","4","In Prisma Cloud CSPM, what must an alert rule reference to determine which cloud"
"pccse-002","1","","","1","Y","node","node","","","26","","4","To protect every node in a Kubernetes cluster with container runtime defense, vu"
"pccse-004","1","","","0.96","Y","trust","trust","","","30","","4","When onboarding an AWS account into Prisma Cloud for read-only posture monitorin"
"pccse-003","0","","","1.05","","","","","","28","","3","An analyst needs to find all AWS EC2 security groups that allow unrestricted inb"
"pccse-005","0","","","1.04","","","","","","29","","3","Your organization must report against an internal security baseline that does no"
"pccse-008","0","","","1.03","","","","","","23","","3","Which Prisma Cloud capability provides Layer 7 protection—OWASP Top 10 mitigatio"
"pccse-006","0","","","1.02","","","","","","21","","4","How does Prisma Cloud Compute primarily build runtime protection for containers "
"pccse-001","0","","","0.91","","","","","","34","","3","A security team wants to continuously detect misconfigured cloud resources—such "
"pccse-010","0","","","0.9","","","","","","25","","4","Prisma Cloud Code Security (formerly Bridgecrew) scans Infrastructure-as-Code su"
