id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"gcp-cdl-004","1","","","1.03","Y","training","training|custom|models","","","37","","4","A bank wants to deploy a custom fraud-detection model that data scientists train"
"gcp-cdl-007","1","","","1.02","Y","later","later","","","39","","5","A company plans to move a 15-year-old Java application to Google Cloud with the "
"gcp-cdl-014","1","","","1.02","Y","threshold","threshold","","","36","","4","A finance team wants to be alerted automatically when monthly Google Cloud spend"
"gcp-cdl-003","1","","","1","Y","year","year","","","36","","5","A company must retain regulatory archives for at least seven years. The data wil"
"gcp-cdl-006","1","","","1","Y","control","control|plane|node|pools","","","31","","5","An engineering team already packages services as Docker images and wants Kuberne"
"gcp-cdl-005","1","","","0.98","Y","stateless","stateless|zero|idle|bills|request","","","40","","5","A small team wants to run a stateless containerised web service that scales to z"
"gcp-cdl-009","1","","","0.98","Y","iam","iam|permission","","","35","","4","A platform engineer needs to grant a deployment service account permission to pu"
"gcp-cdl-010","1","","","0.98","Y","metrics","metrics|alerts","","","34","","5","An SRE team needs centralised metrics, logs, traces, and alerts for workloads ru"
"gcp-cdl-016","1","","","0.97","Y","real-time","real-time","","","40","","4","A media company collects millions of IoT sensor events per second and needs a fu"
"gcp-cdl-011","1","","","0.96","Y","stored","stored","","","35","","4","A multinational retailer must keep certain customer records physically stored on"
"gcp-cdl-001","0","","","0.99","","","","","","34","","4","A CFO is reviewing the move from on-premises servers to Google Cloud and asks wh"
"gcp-cdl-012","0","","","0.99","","","","","","38","","4","A logistics company wants to add a chatbot to its website that understands custo"
"gcp-cdl-008","0","","","0.98","","","","","","35","","4","A CISO reviews who is accountable for what under Google Cloud's shared responsib"
"gcp-cdl-002","0","","","0.97","","","","","","39","","4","A retail analyst needs to run interactive SQL against a 50 TB clickstream datase"
"gcp-cdl-013","0","","","0.97","","","","","","32","","4","An operations manager is told that a critical customer-facing API must stay avai"
"gcp-cdl-015","0","","","0.97","","","","","","36","","4","A leadership team is debating whether to commit to Google Cloud for the long ter"
