id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"aws-dop-c02-005","1","","1","Y","route","route","","48","","5","A SaaS company runs an active-active deployment across us-east-1 and eu-west-1 f"
"aws-dop-c02-001","1","","0.97","Y","production","production","","36","","5","A team runs an Amazon ECS service behind an Application Load Balancer and needs "
"aws-dop-c02-016","1","","0.97","Y","isolated","isolated|inspection","","37","","5","A microservices platform on Amazon SQS-decoupled workers occasionally produces m"
"aws-dop-c02-011","1","","0.87","Y","alarms","alarms","","42","","5","A CodePipeline deploys an EC2 fleet via CodeDeploy. The team wants a deployment "
"aws-dop-c02-012","0","","1.03","","","","","36","","5","An organization needs every EC2 instance across hundreds of accounts to be conti"
"aws-dop-c02-003","0","","1.02","","","","","43","","5","After a CloudFormation stack deploys an EC2 launch template and Auto Scaling gro"
"aws-dop-c02-006","0","","1.02","","","","","38","","4","A DevOps engineer needs to query a Lambda function's CloudWatch Logs to extract "
"aws-dop-c02-007","0","","1.01","","","","","37","","5","A security team requires that any IAM user creation in any account triggers an i"
"aws-dop-c02-014","0","","1.01","","","","","29","","5","A team must aggregate application metrics, traces, and logs from EKS workloads i"
"aws-dop-c02-015","0","","1.01","","","","","36","","5","A regulated company requires that production deployments through CodePipeline pa"
"aws-dop-c02-002","0","","0.99","","","","","29","","6","A pipeline must build a containerized Java application and push the image to Ama"
"aws-dop-c02-009","0","","0.98","","","","","28","","6","An application in account A must encrypt objects to an S3 bucket in account B us"
"aws-dop-c02-010","0","","0.98","","","","","55","","5","A team uses CodeDeploy in-place deployments on EC2 to roll out a Node.js service"
"aws-dop-c02-008","0","","0.97","","","","","29","","5","A web application reads a database password from AWS Secrets Manager. Compliance"
"aws-dop-c02-004","0","","0.95","","","","","35","","5","A platform team manages 200 AWS accounts under AWS Organizations and needs a bas"
"aws-dop-c02-013","0","","0.9","","","","","42","","5","A stateless web application runs on an EC2 Auto Scaling group behind an ALB acro"
