id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"pl600-012","2","Y","","1.53","Y","synchronous","synchronous|web","","","38","","3","During testing, a model-driven app loads slowly because a custom JavaScript form"
"pl600-009","2","Y","","1.4","Y","connectors","connectors","","","42","","3","An enterprise wants to allow makers to build apps with most connectors but block"
"pl600-002","2","","Y","0.77","Y","store","store","","","41","","3","Your customer must store 600 GB of relational business data with row-level secur"
"pl600-005","1","Y","","1.41","","","","","","42","","4","A model-driven app must restrict salespeople so that each user only sees the Acc"
"pl600-007","1","Y","","1.3","","","","","","41","","4","A custom Dataverse plug-in must call a downstream API that occasionally takes lo"
"pl600-011","1","Y","","1.27","","","","","","48","","3","An architect must propose a disaster-recovery target for a Dataverse production "
"pl600-010","1","Y","","1.23","","","","","","48","","3","A model-driven app already exists for the sales team in Dataverse. The customer "
"pl600-001","1","","","1.12","Y","functional","functional|requirements","","","40","","3","A solution architect is gathering requirements for a Power Platform engagement. "
"pl600-008","0","","","1.1","","","","","","42","","4","A Power Platform solution will reuse a corporate Azure AD application registrati"
"pl600-003","0","","","1.05","","","","","","39","","3","A regulated customer wants their Power Platform deployment isolated from other t"
"pl600-004","0","","","1.01","","","","","","43","","4","The customer's ALM strategy must move Power Apps, Power Automate flows and Datav"
"pl600-006","0","","","1","","","","","","31","","3","A customer needs to surface real-time SAP ERP data inside a Dataverse-driven mod"
