id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"cisa-022","2","Y","","1.6","Y","testing","testing","","","21","","4","While testing change management, an auditor finds several production changes wit"
"cisa-020","2","Y","","1.45","Y","systems","systems","","","20","","4","A batch interface transfers payment files between two systems nightly. Which con"
"cisa-001","2","Y","","1.32","Y","statistical","statistical","","","31","","3","An IS auditor must conclude on the operating effectiveness of an access-review c"
"cisa-013","2","Y","","1.27","Y","approach","approach","","","28","","4","An IS auditor is planning the annual audit universe and must decide where to foc"
"cisa-007","2","Y","","1.16","Y","changes","changes","","","24","","3","An IS auditor reviewing change management finds that emergency changes bypass th"
"cisa-017","1","Y","","1.93","","","","","","25","","4","An auditor reviews a firm's data-retention practices and finds emails are kept i"
"cisa-021","1","Y","","1.74","","","","","","29","","4","An organization outsources its data center to a cloud provider. What is the MOST"
"cisa-019","1","Y","","1.73","","","","","","26","","4","An IS auditor participates in a project as an advisor during system development."
"cisa-015","1","Y","","1.69","","","","","","35","","4","A company grants developers standing access to modify code directly in productio"
"cisa-018","1","Y","","1.48","","","","","","21","","4","A CISA is assessing a newly deployed application's user access. Which test provi"
"cisa-014","1","Y","","1.29","","","","","","18","","4","During fieldwork an auditor discovers a control deficiency that management stron"
"cisa-009","1","Y","","1.27","","","","","","37","","4","An auditor is evaluating whether an organization's backup strategy will actually"
"cisa-005","1","Y","","1.22","","","","","","32","","4","A small organization has too few staff to fully segregate database administratio"
"cisa-016","1","Y","","1.21","","","","","","27","","4","An organization's disaster-recovery plan specifies an RTO of 4 hours and an RPO "
"cisa-012","1","Y","","1.19","","","","","","27","","4","A financial reporting application is reachable from the public internet using on"
"cisa-011","1","Y","","1.17","","","","","","30","","4","An IS auditor reviewing user access in a financial system finds that 18 terminat"
"cisa-002","1","Y","","1.16","","","","","","20","","3","An IS auditor must conclude on the integrity of a financial application's transa"
"cisa-004","0","","","1.13","","","","","","32","","3","An IS auditor reviews the newly formed IT steering committee's charter to assess"
"cisa-008","0","","","1.11","","","","","","26","","4","An organisation has set an RPO of 1 hour and an RTO of 4 hours for its order-ent"
"cisa-006","0","","","1.09","","","","","","19","","3","An IS auditor is engaged during the design phase of a new application. The audit"
"cisa-003","0","","","0.92","","","","","","32","","4","An IS audit manager with limited resources is drafting the annual audit plan and"
"cisa-010","0","","","0.89","","","","","","21","","4","A corporate laptop containing customer records is stolen from an employee's car."
