id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"isc2-cc-013","2","Y","","1.39","Y","fully","fully|equipped|current|replicated|connectivity","","","36","","4","A company maintains a fully equipped alternate facility with hardware, current d"
"isc2-cc-011","1","","","1.01","Y","signature","signature|deny","","","37","","4","A user digitally signs a contract with their private key. Later they deny ever h"
"isc2-cc-012","1","","","1.01","Y","procedure","procedure|step-by-step","","","30","","4","An organization documents a step-by-step technical procedure that the IT team mu"
"isc2-cc-008","1","","","0.92","Y","layers","layers|limit","","","24","","4","Which network security principle deploys multiple independent layers of controls"
"isc2-cc-004","1","","Y","0.84","","","","","","25","","5","An organization sets an RTO of 6 hours and an RPO of 2 hours for its order manag"
"isc2-cc-010","0","","","1.03","","","","","","33","","5","A SIEM fires an alert because the same user account logged into systems in Germa"
"isc2-cc-002","0","","","1.01","","","","","","29","","4","A payroll clerk receives temporary system access to cover a colleague's duties. "
"isc2-cc-015","0","","","1.01","","","","","","29","","4","A network engineer must separate the finance department's traffic from the rest "
"isc2-cc-007","0","","","1","","","","","","38","","5","A firewall is configured to allow all inbound TCP traffic on port 443 to the web"
"isc2-cc-005","0","","","0.99","","","","","","27","","4","A bank vault requires customers to enter a PIN and press their thumb to a finger"
"isc2-cc-014","0","","","0.97","","","","","","35","","4","A data center installs a man-trap (a small space with two interlocking doors tha"
"isc2-cc-003","0","","","0.95","","","","","","28","","4","A vulnerability has a 30% annual probability of exploitation and would cause $10"
"isc2-cc-006","0","","","0.94","","","","","","26","","4","All employees with the job title 'Financial Analyst' automatically receive ident"
"isc2-cc-009","0","","","0.93","","","","","","30","","4","During a confirmed security incident, the SOC detects an attacker actively exfil"
"isc2-cc-016","0","","","0.89","","","","","","22","","4","An administrator wants to apply a vendor's newly released security patch to prod"
"isc2-cc-001","0","","","0.88","","","","","","30","","4","An e-commerce platform stores customer credit card numbers in plaintext. After a"
