id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"gcppcd-020","2","Y","","2.12","Y","shows","shows","","","27","","4","A developer must debug elevated latency in a request that fans out across severa"
"gcppcd-021","2","Y","","2.05","Y","readiness","readiness|rollback","","","26","","4","A GKE Deployment must roll out a new version with zero downtime and automatic ro"
"gcppcd-014","2","Y","","1.71","Y","workload","workload","","","27","","4","A GKE workload must call Google Cloud APIs (e.g., Cloud Storage) using least pri"
"gcppcd-018","2","Y","","1.59","Y","access","access","","","30","","4","An application stores an API secret that several Cloud Run services need. The te"
"gcppcd-019","2","Y","","1.57","Y","regions","regions","","","21","","4","A globally distributed application needs a relational database with strong consi"
"gcppcd-008","2","Y","","1.49","Y","latest","latest|version|startup","","","34","","4","A microservice stores its database password as a Secret Manager secret and must "
"gcppcd-022","2","Y","","1.42","Y","function","function|trigger|event","","","25","","4","An event must trigger a lightweight function whenever a file lands in a Cloud St"
"gcppcd-003","2","Y","","1.19","Y","workload","workload","","","27","","4","A workload on GKE needs to call the BigQuery API using a specific Google service"
"gcppcd-016","1","Y","","1.8","","","","","","25","","4","Two microservices must communicate asynchronously so that a spike in one does no"
"gcppcd-017","1","Y","","1.75","","","","","","30","","4","A CI/CD pipeline in Cloud Build must produce a container image, store it, and de"
"gcppcd-013","1","Y","","1.45","","","","","","27","","4","A stateless HTTP API has bursty traffic and must scale to zero when idle to save"
"gcppcd-015","1","Y","","1.35","","","","","","28","","4","A Cloud Run service revision must receive only 5% of production traffic for a ca"
"gcppcd-006","1","Y","","1.18","","","","","","39","","4","A new revision of a Cloud Run service must receive only 10% of traffic while the"
"gcppcd-012","1","","","1.1","Y","query","query","","","39","","4","During a load test, one specific SQL query dominates the CPU profile of a Cloud "
"gcppcd-007","1","","","0.97","Y","globally","globally|consistent","","","24","","3","An application needs a globally distributed, strongly consistent relational data"
"gcppcd-001","0","","","1.09","","","","","","34","","3","You are building a low-traffic Python 3.11 web API and want to pay nothing when "
"gcppcd-005","0","","","1.06","","","","","","34","","4","Your team wants CI to build a container from a Git push and deposit versioned, v"
"gcppcd-009","0","","","1.05","","","","","","34","","3","A latency-sensitive HTTP endpoint occasionally spikes to 3 seconds. The develope"
"gcppcd-004","0","","","1.03","","","","","","27","","3","An order-processing service must accept bursts of writes, decouple producers fro"
"gcppcd-010","0","","","1","","","","","","20","","4","A Cloud Function must run daily at 03:00 UTC to clean up expired records. Which "
"gcppcd-002","0","","","0.99","","","","","","30","","3","You must deploy a stateless container that scales to zero, keeps request latency"
"gcppcd-011","0","","","0.96","","","","","","37","","4","A GKE Deployment must roll out a new image so that no more than one pod is unava"
