id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"cyberops-004","2","Y","1.41","Y","records","records|packet|full","","44","","4","A blue-team lead is choosing between collecting NetFlow records and full packet "
"cyberops-002","1","Y","1.38","","","","","27","","4","During a tabletop exercise, an analyst is asked to differentiate the terms event"
"cyberops-012","1","Y","1.34","","","","","52","","4","A SOC uses a SIEM that correlates events from firewalls, EDR, DNS, and identity "
"cyberops-011","1","Y","1.17","","","","","31","","3","An analyst is reviewing a host that was found to be running an unauthorized cryp"
"cyberops-006","1","Y","1.15","","","","","21","","3","When investigating a suspicious flow, an analyst pivots in the SIEM using the ne"
"cyberops-009","1","","1.14","Y","exploit","exploit|payload","","26","","3","Which stage of the Lockheed Martin Cyber Kill Chain represents the attacker pair"
"cyberops-003","1","","1","Y","local","local","","42","","4","A junior analyst is computing CVSS v3.1 base scores. They notice that exploiting"
"cyberops-008","0","","1.11","","","","","23","","4","On a Linux host, which log file is most commonly inspected first to investigate "
"cyberops-005","0","","1.1","","","","","50","","5","An analyst is reviewing two pieces of intel: (1) a SHA-256 hash of a known malwa"
"cyberops-007","0","","1.06","","","","","34","","4","A Windows security log on a domain member shows event ID 4625 generated repeated"
"cyberops-010","0","","1.02","","","","","39","","4","A SOC manager wants to formally describe a chain of evidence so it remains admis"
"cyberops-001","0","","0.93","","","","","44","","3","A SOC analyst is asked to classify a control objective. The organization encrypt"
