id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"vcpdcv-012","2","Y","","1.64","Y","backup","backup","","","20","","4","An administrator suggests using VMware snapshots as the primary long-term backup"
"vcpdcv-011","2","Y","","1.21","Y","ghz","ghz","","","43","","5","Within a DRS cluster, a tenant must be guaranteed at least 32 GHz of CPU and 64 "
"vcpdcv-003","1","Y","","1.4","","","","","","34","","4","An administrator wants to live-migrate a running VM from ESXi host A to ESXi hos"
"vcpdcv-004","1","Y","","1.35","","","","","","31","","4","A running production VM must be moved from an aging FC LUN to a newer all-flash "
"vcpdcv-002","1","Y","","1.21","","","","","","21","","4","A customer is deploying vCenter Server 8 from scratch and wants the VMware-suppo"
"vcpdcv-005","1","Y","","1.18","","","","","","29","","4","After an ESXi host suffers a hardware failure, the administrator notices that it"
"vcpdcv-009","1","Y","","1.17","","","","","","28","","4","A mission-critical VM must keep running with zero downtime — not even a brief HA"
"vcpdcv-008","1","","","1.07","Y","managed","managed|centrally","","","30","","4","A datacenter has six ESXi hosts that should share a consistent set of port group"
"vcpdcv-007","1","","","1.06","Y","shared","shared","","","38","","4","A team is designing shared storage for a vSphere cluster using only the local NV"
"vcpdcv-006","0","","","1.14","","","","","","41","","4","A vSphere cluster has eight hosts of varying CPU and memory utilization. The adm"
"vcpdcv-001","0","","","1.03","","","","","","22","","4","An administrator is asked to describe the hypervisor architecture of VMware ESXi"
"vcpdcv-010","0","","","0.9","","","","","","37","","4","An administrator wants to patch every ESXi host in a cluster to a known-good ima"
