id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"gcp-ace-046","2","Y","","1.58","Y","database","database","","","28","","4","You need to migrate a 5 TB PostgreSQL database from on-premises to Cloud SQL wit"
"gcp-ace-007","2","Y","","1.26","Y","zone","zone","","","27","","3","A platform engineer needs to list every Compute Engine VM in project `prod-netwo"
"gcp-ace-019","2","Y","","1.22","Y","dedicated","dedicated","","","26","","4","You need to connect your on-premises network to a GCP VPC with dedicated 10 Gbps"
"gcp-ace-025","2","Y","","1.19","Y","workload","workload","","","21","","5","Your GKE workload needs to authenticate to a Cloud SQL database. What is the rec"
"gcp-ace-058","2","Y","","1.19","","","","","Y","17","","3","An engineer is comparing Cloud Armor and Identity-Aware Proxy. Which statement c"
"gcp-ace-029","2","Y","","1.17","Y","disk","disk|boot","","","35","","4","A Compute Engine VM has been accidentally deleted. You took a snapshot of its bo"
"gcp-ace-006","2","","Y","0.85","Y","pod","pod","","","25","","4","Your GKE cluster must run a log-collector pod on every node, including nodes add"
"gcp-ace-017","2","","Y","0.82","Y","cluster","cluster","","","38","","3","A GKE cluster has pods stuck in `Pending` because no existing node has enough me"
"gcp-ace-032","1","Y","","1.48","","","","","","32","","4","You need to give an external auditor read-only access to every Cloud Logging ent"
"gcp-ace-014","1","Y","","1.28","","","","","","22","","4","You need to store structured, schemaless JSON documents with real-time sync for "
"gcp-ace-047","1","Y","","1.28","","","","","","37","","3","A platform team wants a fully managed in-memory cache for application session da"
"gcp-ace-028","1","Y","","1.24","","","","","","50","","3","A central platform team wants to enforce constraints on which APIs, regions and "
"gcp-ace-050","1","Y","","1.21","","","","","","24","","4","You need to prevent any VM in your organisation from being created with an exter"
"gcp-ace-023","1","Y","","1.2","","","","","","25","","4","A Cloud SQL primary is hot on read traffic. You want to offload read-only querie"
"gcp-ace-059","1","Y","","1.18","","","","","","21","","4","You are creating a custom VPC network for a new project and choose 'Custom' subn"
"gcp-ace-039","1","Y","","1.16","","","","","","20","","3","A brand-new GCP project needs to use the Pub/Sub API. What must you do before an"
"gcp-ace-015","1","","","1.11","Y","states","states|deletes","","","33","","3","A team enables Object Versioning on a Cloud Storage bucket. A user then overwrit"
"gcp-ace-008","1","","","1.09","Y","mysql","mysql","","","21","","3","You need a fully managed relational database service on GCP that is wire-compati"
"gcp-ace-009","1","","","1.06","Y","cpu","cpu|utilization","","","27","","4","A team wants to be alerted whenever the CPU utilization of their Compute Engine "
