id,hits,lengthTell,shortTell,lengthRatio,keywordTell,keywordWord,keywordAll,selfDefeat,recallOnly,stemWords,underTagged,tagCount,stemPreview
"consul-003-005","2","Y","","1.56","Y","returning","returning|check","","","41","","3","A web service is registered with Consul and has an HTTP health check that calls "
"consul-003-010","2","Y","","1.52","Y","sidecar","sidecar","","","22","","4","How is service-to-service traffic carried inside the mesh when Consul Connect is"
"consul-003-004","1","Y","","1.38","","","","","","28","","3","A platform team wants applications running as systemd units on bare-metal hosts "
"consul-003-012","1","Y","","1.32","","","","","","35","","4","A company runs three Consul datacenters and wants services in each datacenter to"
"consul-003-003","1","Y","","1.31","","","","","","32","","4","An operator is mapping out how the agents in a single Consul datacenter coordina"
"consul-003-022","1","","","1.31","Y","stores","stores","","","20","","3","A team stores database passwords in the Consul KV store, arguing 'it has ACLs'. "
"consul-003-008","1","Y","","1.19","","","","","","37","","4","A platform team has enrolled several services into the Consul service mesh and i"
"consul-003-009","1","","","1.11","Y","intention","intention|action","","","37","","4","Two services, `web` and `db`, are part of the Consul service mesh with intention"
"consul-003-013","1","","","1.03","","","","","Y","15","","3","An application resolves `db.service.consul` through its local Consul agent's DNS"
"consul-003-016","1","","","0.98","Y","external","external","","","29","","3","Services inside the Consul service mesh must call a third-party SaaS API that ca"
"consul-003-014","0","","","1.19","","","","","","18","","3","What is the functional difference between a Consul agent running in CLIENT mode "
"consul-003-017","0","","","1.11","","","","","","28","","3","Two federated Consul datacenters have overlapping private IP ranges and no direc"
"consul-003-007","0","","","1.09","","","","","","38","","4","An operator bootstraps a new Consul cluster with ACLs enabled and the default po"
"consul-003-019","0","","","1.07","","","","","","23","","3","A configuration service polls the Consul KV store every 2 seconds for changes, g"
"consul-003-001","0","","","1.02","","","","","","40","","4","You are deploying a new Consul datacenter for production and want the control pl"
"consul-003-018","0","","","1.01","","","","","","27","","3","When the local datacenter's `payments` service has no healthy instances, lookups"
"consul-003-020","0","","","1.01","","","","","","24","","3","An HAProxy configuration file must be regenerated and reloaded automatically whe"
"consul-003-021","0","","","0.97","","","","","","36","","3","A team wants to send 10% of traffic for the `search` service to version 2 and 90"
"consul-003-006","0","","","0.95","","","","","","18","","3","Using the Consul CLI, which command stores the string `true` under the key `web/"
"consul-003-002","0","","","0.93","","","","","","30","","4","Which protocol does the Consul server cluster use to elect a leader and keep the"
"consul-003-015","0","","","0.91","","","","","","27","","3","A Consul deployment must encrypt (a) the UDP gossip traffic between all agents a"
"consul-003-011","0","","","0.88","","","","","","35","","4","An operator wants to back up the full state of a Consul cluster — service catalo"
